date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,transaction
2017-01-30,-1.3900809349538863,-1.3867630764746155,-1.3837118654129992,-1.3561722140157586,-1.3979421238537126,-1.4315572945109354,-1.4329796065415672,-1.435416054645461,-1.4409023687581521,-1.442788449412729,-1.4818736322903463,-1.47781250665555,-1.4758746103756135,-1.4807629340732975,-1.4831977543756576,-1.4838931920317737,-1.4661727222691046,-1.475412425756891,-1.4753545381880753,-1.4798488397447027,-1.4758463878916754,-1.4784703476508447,-1.4829105801921596,-1.494260220439362,-1.4954037748347226,-1.4945460002108086,-1.4975277526916715,-1.5006188552312278,-1.5048181435531642,-1.5081981320118056,1
2017-01-31,-1.3836449086472111,-1.3806897250834296,-1.3532156024188309,-1.3950525299884946,-1.4285285902221074,-1.4297989574583245,-1.4322611579287636,-1.4377207459418433,-1.4395664650572095,-1.4785878351590909,-1.4744110938709598,-1.4725306813599195,-1.4774115374701995,-1.4798271243403671,-1.4805105839637964,-1.462781099558262,-1.472066292800431,-1.4719692030725857,-1.476472416681972,-1.4724407113046694,-1.4750486878677525,-1.479484662090661,-1.4907633935807805,-1.491804594893175,-1.490946192721073,-1.4939455249057838,-1.4970157153606798,-1.5012010471839796,-1.5045727622082365,-1.494235932466068,1
2017-02-01,-1.3775743782836563,-1.3502019959857114,-1.392088781012263,-1.4256341609035905,-1.426770652462672,-1.4290807634509202,-1.434565148307755,-1.4363852916064246,-1.4753521575987494,-1.4711287112970681,-1.4691319061823283,-1.47406696161562,-1.4764761365993473,-1.4771411571718094,-1.4594081491055932,-1.4686718182015714,-1.4686246908719596,-1.473086521919541,-1.4690678551728924,-1.4716434239389258,-1.4760624316481543,-1.4873331279200608,-1.4883093893968367,-1.4873511722924635,-1.4903462938197969,-1.493434008905207,-1.4975973229812085,-1.5009559137301893,-1.4906250634885991,-1.4890384883328884,1
2017-02-02,-1.3471008105147744,-1.3890642965354676,-1.4226647979632203,-1.423876501058767,-1.4260526215468463,-1.4313839373367343,-1.4332301001192114,-1.4721589467110796,-1.467895886839055,-1.465851939152342,-1.4706674192593874,-1.473131954422294,-1.4737913429493796,-1.4560481714216027,-1.4652961730707403,-1.4652318816579881,-1.4697414837869014,-1.4656856673788174,-1.4682709516920944,-1.472656643299558,-1.4839064818833967,-1.4848804823483734,-1.4838589072327346,-1.486751833176106,-1.4898352688298206,-1.4940150243623838,-1.4973524355620385,-1.4870223053681608,-1.48543301730388,-1.4826798536737136,1
2017-02-03,-1.3859450598080512,-1.4196317572720925,-1.420907460777426,-1.4231585836573604,-1.4283552724148392,-1.4300493622655037,-1.4689928755121133,-1.4647051840595788,-1.4626211330507968,-1.4673867496403903,-1.4697328789844806,-1.4704482907081176,-1.4527075728780487,-1.461933558886521,-1.4618578101079787,-1.4663481341588778,-1.4623441128948609,-1.4648891628542553,-1.4692836831989418,-1.4804966357293692,-1.4814552161848837,-1.4804324641081945,-1.4832599638386874,-1.4862412850399496,-1.490415726563,-1.4937703862751515,-1.483432812031492,-1.4818355043345548,-1.4790809865795027,-1.4776247670329037,1
2017-02-04,-1.416498322181072,-1.4178749118492913,-1.420189675166327,-1.4254608704963543,-1.4270210004065038,-1.4657994639674121,-1.4615413797463663,-1.4594322045702455,-1.4641553564764156,-1.466452636973517,-1.4670505554225808,-1.4493733940585551,-1.4585903889743812,-1.4584967355310692,-1.4629735519850515,-1.458954342841103,-1.46154798329213,-1.4659013873542197,-1.4771199007601201,-1.4780466380950532,-1.477009700426563,-1.479833852307647,-1.4827497527993136,-1.4868212011293882,-1.4901713233069245,-1.4798649349986028,-1.478251216866782,-1.475489890610304,-1.4740311500378667,-1.473998837962549,0
2017-02-05,-1.4147422928002156,-1.4171573270991331,-1.4224915393674378,-1.4241268094247748,-1.462762983772054,-1.458350608879122,-1.4562700039091276,-1.4609659119204068,-1.463221601106066,-1.4637715407349694,-1.4459861830315455,-1.4552537342832466,-1.4551550671920483,-1.4596119778086616,-1.4555831429181032,-1.458158598484033,-1.4625597313289338,-1.4737336818457476,-1.474671082772252,-1.4736034220463785,-1.4764114254086207,-1.4793239237368103,-1.483329285990776,-1.4865770259338351,-1.4762792200468153,-1.4746886154710273,-1.4719119720841778,-1.4704451555555993,-1.4704089867758097,-1.478342137141511,1
2017-02-06,-1.4140250413629645,-1.4194585471599852,-1.4211577231935562,-1.4598631422947983,-1.455315820212129,-1.4530811011236453,-1.4578032448184446,-1.4600324706426606,-1.4605415303823193,-1.442716806553323,-1.451863586766356,-1.4518198583077584,-1.4562698222121788,-1.4522248779699556,-1.454787762570091,-1.4591698569378093,-1.4703883390891201,-1.4712860898171454,-1.4702300060823892,-1.473005456522071,-1.47590178372667,-1.4799031360808586,-1.4830852720154235,-1.4726978858411501,-1.4711078693330362,-1.4683558249856254,-1.4668723003101234,-1.4668266515047643,-1.4747477751020304,-1.475324716567952,1
2017-02-07,-1.4163251925238045,-1.418125104233446,-1.4568874958349338,-1.4524171560664154,-1.4500475090864342,-1.4546137986796768,-1.4568700874248028,-1.4573533014295428,-1.4394948496010767,-1.4485915210246318,-1.4484314255797524,-1.452934144166471,-1.448885949851116,-1.4514298537720678,-1.4557985584290232,-1.466994676448997,-1.4679418991640618,-1.4668472364771372,-1.4696323284717907,-1.4724960784828458,-1.476480670202364,-1.479659257199154,-1.4692152958254936,-1.4675313606806986,-1.4647811577723544,-1.463321284349514,-1.463257428065785,-1.4711610566649638,-1.471733488353544,-1.4688488463268263,1
2017-02-08,-1.4149923689718242,-1.4538448784635438,-1.4494428764891667,-1.4471496778147144,-1.4515798585887905,-1.4536809719804045,-1.4541917330176837,-1.43631370023999,-1.4453673170039831,-1.4451609302569117,-1.4495451549929153,-1.4455533794191566,-1.4480912730050823,-1.45244019702355,-1.4636197985178114,-1.4645494203517508,-1.4635051352321766,-1.4662498580837158,-1.4691231956923922,-1.4730746654947917,-1.4762369285283876,-1.4657969598549958,-1.4640521819379184,-1.4612105527776322,-1.45975144985471,-1.4597100925845725,-1.467587482886563,-1.4681498150337455,-1.4652643438054518,-1.4683687387055013,0
