date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,transaction
2018-01-20,2.537172840957047,3.057637620776812,2.890418092705758,2.8386747016041247,3.014419253537839,3.957069767754065,3.8578125168235466,3.2618522155769725,3.121109619700316,3.22178297561015,2.823678044712012,3.000688321380074,3.4894868655928546,3.1023824784583844,3.007881374735786,2.0938661944859978,2.066632412950286,2.2121907571258985,2.2274595575269647,2.62803984294934,0
2018-01-21,3.0372622035965797,2.863179842084954,2.814406784138021,2.9898002019555907,3.922771790847006,3.801920329336864,3.2157133843847827,3.088486415432331,3.19089552590911,2.7942837877495266,2.976353461889656,3.458798144831827,3.0656473100597084,2.979040153791509,2.073258182138877,2.055533001313807,2.2009106616606893,2.2147481703438556,2.613737096984237,2.185829428294669,0
2018-01-22,2.843794236286502,2.787735505056105,2.964529118559303,3.8923446458267446,3.7687484695567703,3.167940936604575,3.044434570225528,3.1576736842973947,2.7667656648987715,2.945677117162107,3.4315259673071163,3.0380264261128187,2.943517043204473,2.0515726566348347,2.0351918459867524,2.1893814990200196,2.20346024866152,2.5996388596463698,2.1731325946132616,1.9623629032191778,0
2018-01-23,2.768733919192388,2.9367380706880812,3.861082503115764,3.7393061644581724,3.1393706729345427,2.998828048729825,3.1127889593624785,2.737182093350242,2.9169657906182715,3.397027323541669,3.013452161390765,2.916780162942203,2.025163564516368,2.013797765323998,2.1681085556449986,2.1919229261916566,2.587173092286502,2.160616257230434,1.9504776009393854,1.9151365482560578,1
2018-01-24,2.916978045453262,3.826604025943354,3.709059885980289,3.113952669965844,2.9714852527281854,3.0663180544413082,2.6973592667629114,2.8860937726029214,3.364758688791361,2.982464281318435,2.8929833075162827,2.005073913314083,1.9877598787282162,2.145696833326477,2.1706322906385096,2.574407715523019,2.149493990477275,1.9387606605726726,1.9034227511716115,1.9619335727195135,0
2018-01-25,3.802314485578332,3.675715351885656,3.0878574667104557,2.947140725274101,3.0384853974894384,2.6561417266258327,2.844478339934106,3.3300454144870786,2.9534630174286174,2.863007061448161,1.9871227548628143,1.9679409630029467,2.1183628036901605,2.1482012460100686,2.550454407161916,2.1381293843920073,1.928317318155234,1.8918747515767962,1.9500498295778605,1.9679441997148197,1
2018-01-26,3.652193851390105,3.0591465075173887,2.922152814032789,3.01371246466943,2.6312862418283767,2.8014003883439376,3.2830856702295352,2.9222779189633856,2.834947297401616,1.9647534487518896,1.9502278943699525,2.097598557459511,2.120842606062856,2.5251153548905716,2.1172132332758595,1.9176605772525013,1.8815748898066762,1.9383344250363468,1.9560386286392135,1.8919527012741624,1
2018-01-27,3.0387634099384617,2.894677852794498,2.9882826524867205,2.6091169795512665,2.7754905763863604,3.2344612583259504,2.880226899770097,2.8047788502873727,1.9437732537467973,1.9281684118711457,2.079054147582597,2.1000604105188128,2.494052863153476,2.0951911775407175,1.89827922258878,1.8710677457724907,1.9278923869884295,1.9443017225449128,1.8803230976492495,1.9812534452044257,1
2018-01-28,2.8751319186732935,2.9603144260095964,2.586372858434809,2.7523992577325926,3.205408171937732,2.8366968855838506,2.764142290632345,1.9212494743208732,1.907476561149695,2.0559128500403725,2.0815002156815714,2.4705692959437417,2.0683534558408083,1.8779333772391653,1.8520107477077452,1.917237006057229,1.9338414233237005,1.8688580326151838,1.9692995408464948,2.259888939486835,0
2018-01-29,2.9404343945451723,2.5614024939695588,2.7287040337278974,3.1795679188526194,2.810530881979889,2.722080237953143,1.891248884527155,1.8852641419514005,2.034214183919687,2.058338377347383,2.449633464577198,2.0479511874302565,1.8532306000095038,1.8320191447066567,1.8978586000898618,1.9231670027910486,1.858628606799202,1.957515024171023,2.246923154476362,1.997782669441518,0
2018-01-30,2.5435529679100473,2.7026720150560783,3.1530371638072907,2.7872155122439426,2.696746153376727,1.8602251075455902,1.8556967453496032,2.0109145842580674,2.036620594478611,2.4233802370524837,2.0297251075866156,1.8343854345358208,1.807767556510093,1.8775159751252337,1.9037473150747208,1.8481949012277579,1.9470142894946572,2.2341418872466954,1.985768738265216,1.6461609902161054,0
2018-01-31,2.684103411668775,3.123840026519627,2.7632891791262177,2.6741583341329105,1.8411466036094652,1.8251225471036983,1.9798346014833745,2.013300352149966,2.398785383596658,2.006998049348991,1.8175287000005982,1.7892514617819537,1.852817299614055,1.8833596047202803,1.8292971327661458,1.9362977098445056,2.2227946167511505,1.9739250923195801,1.6354239931760621,1.604730596998459,0
2018-02-01,3.103127631846664,2.736999188404204,2.6509824707173864,1.8240295701304914,1.8062988271675493,1.9476906034532873,1.9821916493846488,2.3723584198807264,1.9856849043147213,1.7965835554658185,1.7726841181860704,1.8339751256926042,1.8586035051503438,1.809479430554334,1.9167866125411939,2.2111954155765705,1.9633741394166528,1.6248381880684626,1.5941440567888785,1.1528602461013326,1
2018-02-02,2.718255855946597,2.6255301804440796,1.8064968325298243,1.7894046137208517,1.9279772509868358,1.9500178450295453,2.336927358526407,1.962801598438109,1.7769287883280729,1.7521155548372904,1.817121021984103,1.8397194494976419,1.7854493351558363,1.8962990702521685,2.1897706143393014,1.9526052008625097,1.6153555138032971,1.583706458812989,1.1439146987835864,0.9184457932843906,1
2018-02-03,2.607354237440043,1.787343596053569,1.772101715402923,1.9103050140020237,1.9302876008061893,2.3002677022563773,1.9323008021410122,1.7558362338158935,1.7328112614144684,1.7961793009146505,1.8228285142150429,1.7670947842482367,1.871415817409268,2.16719304219397,1.9329805787495564,1.6057003919340649,1.5743496562066073,1.1350935568297156,0.9103515353908169,1.5381843695504263,0
2018-02-04,1.7734341145244414,1.753205033548015,1.8921995829399478,1.9126005912225523,2.2779952486188977,1.9007578983320834,1.7278268967054806,1.7120971557977502,1.776527719901586,1.8018388646310086,1.7506695052953016,1.8524390236373676,2.139647774055794,1.9123690516385468,1.5884907521353042,1.5648257715902372,1.1271096031442671,0.902368953995637,1.5278394957524697,1.275648769005445,0
2018-02-05,1.7394693210393548,1.872407086053596,1.8944799221969801,2.2580849629121045,1.881385196296539,1.6988696915917003,1.6846143518487882,1.7554386058339109,1.7821426778724085,1.7302858090741944,1.8354665327264095,2.118729462885185,1.8873278826340623,1.5705167203283235,1.5479006809896687,1.1190170885655877,0.8950971860686963,1.5176399506824356,1.266257308179799,0.7885733171358102,1
2018-02-06,1.8580646220480543,1.8746704161644616,2.2376709803803143,1.8640108733880303,1.6809623494676194,1.6562035960269703,1.7274340553886018,1.7610053975816746,1.7111535663841528,1.8143707557172297,2.100049565432126,1.8682359141012215,1.5488348587611742,1.5302374163338952,1.1051955008779468,0.8877472159466242,1.508485325351821,1.2569969202189948,0.7809506985294383,1.1676721483397658,1
2018-02-07,1.8603164315608778,2.2153015978497144,1.8462127412564664,1.6648695495071757,1.6386059361128047,1.6984818179956578,1.7329338338249083,1.6906252447706613,1.7945757990935147,2.076731959425547,1.8511621363614945,1.5321929715065186,1.508951370600327,1.0909216914205744,0.875535616468445,1.4991722363229492,1.2486399168505182,0.7734327042569764,1.1586728107562065,1.064847493670063,1
2018-02-08,2.1992137632408006,1.826763262151142,1.6483933107089301,1.6227839671308186,1.6805772911643941,1.7039120483402599,1.6634009207373206,1.7733318650231509,2.054869207883784,1.8299345559372149,1.5172738408515076,1.4925981681360803,1.0739527043900527,0.8630201372137584,1.4827041936573013,1.240158450413616,0.7665555081101615,1.1497986828329678,1.0562215696709163,1.3067752302311375,1
2018-02-09,1.8126531302061153,1.630419375033563,1.6065870909966748,1.6644869533037547,1.6859681074095523,1.6352584218406478,1.7451119146481575,2.031392425330198,1.8100169335132767,1.4988500785302634,1.4779329122596716,1.0607481106502137,0.8482906884747937,1.4655400886744514,1.225493535568638,0.7596169293765942,1.1417697283990422,1.0477152718828542,1.297270731890377,1.6176105119884008,0
2018-02-10,1.6173086549686846,1.5889249896676965,1.648013254166092,1.6698433001516546,1.6178127877386226,1.7159361298175924,2.0000659293026444,1.7886405423295013,1.4815418922201642,1.459839514342509,1.0488517998979365,0.8367194822537448,1.4448898093057023,1.2102986960050968,0.7482973105455986,1.1336302948025,1.0399987139492264,1.2878989966026404,1.606977197634635,1.4381503631285446,1
2018-02-11,1.5760254805669223,1.630042153348419,1.6533340457658334,1.602123772146061,1.6979049148095453,1.9676660936495018,1.7602363053480001,1.4629832250853236,1.4428387890641379,1.034361599237727,0.8262596028912783,1.4290002974374492,1.1921566174885216,0.7367559977493597,1.1197069770906352,1.0321849935346579,1.279447426443886,1.5964935249027734,1.4281687685170938,1.2964712982391844,1
