date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,transaction
2016-01-20,-0.7805325687135524,-0.7809049060078983,-0.7816942460619437,-0.7825151138295385,-0.7829637085733386,-0.7837508065158802,-0.7843325974050375,-0.7853423576470205,-0.7859981246341774,-0.7868317230490577,-0.7877433413350139,-0.7885925425067044,-0.7894715742233485,-0.79087555690283,-0.7923013568665671,-0.7932667777838728,-0.7935056696573005,-0.7939952928055295,-0.7947883107031768,-0.7951397448436227,0
2016-01-21,-0.7802406939139206,-0.7810322976931278,-0.7818508662513213,-0.7822867694496628,-0.7830725947137367,-0.7836551778149072,-0.7846142337819035,-0.7852121376212927,-0.786067236760397,-0.7869939078988741,-0.7878523758488984,-0.7887521418798179,-0.7901766330772053,-0.7916739188956364,-0.7926127865592975,-0.792856769755511,-0.793345890456741,-0.7941417899312939,-0.7944952507874875,-0.7953209497605656,0
2016-01-22,-0.7803680574628508,-0.7811888833062223,-0.7816225724159573,-0.7823956313051851,-0.782976987370948,-0.7839367512122165,-0.7844840433812769,-0.7852812339614748,-0.7862293844411432,-0.7871029173880949,-0.7880119385521442,-0.7894570391110695,-0.7909748129117603,-0.791985280072831,-0.7922028705534814,-0.7926970263678375,-0.7934923547239204,-0.7938487956797649,-0.7946764150990046,-0.7958512406204424,1
2016-01-23,-0.7805246084917442,-0.7809606398701862,-0.7817314101746774,-0.7823000452857021,-0.7832584978802698,-0.7838065899247811,-0.7845531240020176,-0.7854433446057485,-0.786338368947874,-0.7872624434698816,-0.7887166738248131,-0.7902550359766372,-0.7912861030472366,-0.791575454249857,-0.7920431630187479,-0.7928434578065381,-0.7931994261895613,-0.794029919398892,-0.7952065871282971,-0.7958352519513004,1
2016-01-24,-0.7802964154665776,-0.7810694536013197,-0.7816358453133622,-0.782581493009735,-0.7831283656636966,-0.783875655097706,-0.7847151977660632,-0.7855523042191126,-0.7864978584699194,-0.7879670169977728,-0.789514487341042,-0.7905662547542085,-0.7908763707321651,-0.7914157818512957,-0.7921895615922535,-0.7925505949291367,-0.7933805092835289,-0.7945599726357492,-0.7951906020419868,-0.7955714389104572,0
2016-01-25,-0.7804052051646222,-0.7809739098373976,-0.7819172307383457,-0.78245138981655,-0.7831974154112661,-0.7840376926187992,-0.7848241325910774,-0.7857117573118408,-0.7872022705256195,-0.7887646474067062,-0.7898256346123712,-0.7901566163632172,-0.7907167347652542,-0.7915621482166435,-0.791896764445242,-0.7927316374351667,-0.7939104436320513,-0.7945439911311203,-0.7949268481178664,-0.7957952802784454,1
2016-01-26,-0.7803096825029243,-0.7812552331422793,-0.7817871563437779,-0.7825204241639543,-0.7833594167421023,-0.784146603083796,-0.7849835494081714,-0.7864160084713901,-0.7879997181358462,-0.7890757232661901,-0.7894160903407071,-0.7899970169901036,-0.7908630677349224,-0.7912694154859478,-0.79207776631794,-0.7932614530042836,-0.7938944657119954,-0.7942802963047442,-0.795150639326211,-0.79503848327239,1
2016-01-27,-0.7805909436734787,-0.7811251874636076,-0.7818561754102833,-0.7826823893636337,-0.7834683028825001,-0.7843059842520843,-0.7856876403503368,-0.787213273935031,-0.7883107227038346,-0.7886662729896043,-0.7892565276374613,-0.7901433164154577,-0.7905704017955857,-0.7914503775376506,-0.7926074629748063,-0.7932454786655163,-0.7936308300310723,-0.7945040373695481,-0.7943940119075221,-0.7921418693794949,0
2016-01-28,-0.7804609267172792,-0.7811941912931069,-0.782018104758623,-0.7827912512191557,-0.7836276484538144,-0.7850099177453577,-0.786484724435807,-0.7875242074658508,-0.7879013662639183,-0.7885067469078177,-0.7894027934487698,-0.7898507175647494,-0.7907513225580848,-0.7919799576595455,-0.792591492221333,-0.7929819020758552,-0.7938545209118555,-0.7937475794837822,-0.7914980471043013,-0.7928880072727891,1
2016-01-29,-0.7805299153062829,-0.7813560848930861,-0.7821269425173429,-0.7829505612516272,-0.7843314247271189,-0.7858068235867992,-0.7867955872291402,-0.7871149445278487,-0.7877418767418729,-0.7886529791494554,-0.7891102618261526,-0.7900315968542782,-0.7912807818483395,-0.7919639904196895,-0.7923279747890227,-0.793205542818598,-0.7930982326958737,-0.790852263561854,-0.7922440177987832,-0.7912518334639228,0
2016-01-30,-0.7806917731497153,-0.7814648986242195,-0.7822862172862016,-0.7836541805617097,-0.7851281525836901,-0.7861176168649613,-0.7863864173985989,-0.7869554914351204,-0.7878880754704144,-0.7883605146661798,-0.7892910995564979,-0.7905609347751048,-0.7912648182516484,-0.7917005309620634,-0.7925515653376496,-0.7924494241169436,-0.79020356617907,-0.7915980671112007,-0.7906082106330264,-0.7918007777711321,0
2016-01-31,-0.7808005628477598,-0.7816241382307564,-0.7829896808486607,-0.7844507307240671,-0.7854388764477528,-0.7857085385330214,-0.7862270005815049,-0.7871016567701212,-0.7875956780133313,-0.7885413108922048,-0.7898203158555964,-0.7905449748377934,-0.7910014189062454,-0.7919240723200491,-0.7917956163399108,-0.7895554064102596,-0.7909492024483478,-0.7899626264708475,-0.7911570319296811,-0.792427000645861,1
2016-02-01,-0.7809597672839226,-0.7823274464929609,-0.783786054692954,-0.7847613852873865,-0.7850298894813796,-0.7855491573647331,-0.786373132663841,-0.7868093261001196,-0.7877764328049828,-0.7890704057301305,-0.7898043595852718,-0.7902816358721562,-0.7912249092599207,-0.7911682896335257,-0.7889022481689882,-0.7903008755527358,-0.7893141286292884,-0.7905113247964384,-0.7917831144768355,-0.7920459373646429,1
2016-02-02,-0.7816629202103085,-0.7831236445256453,-0.7840966404922284,-0.7843524895373764,-0.7848705439100654,-0.7856952567689973,-0.7860808684991686,-0.7869900396052115,-0.7883054063864331,-0.7890544531219519,-0.7895410811249164,-0.7905050749945151,-0.7904692990165421,-0.7882755580129235,-0.7896475499977448,-0.7886661682188774,-0.7898627038845429,-0.7911372670610687,-0.7914021365864394,-0.7914436974936271,1
2016-02-03,-0.7824589423911227,-0.7834341617583922,-0.7836878352521579,-0.7841931795049049,-0.78501661068377,-0.7854030579604687,-0.7862615408918752,-0.78751889236276,-0.7882894574342285,-0.788791235087004,-0.7897644689094604,-0.7897496379617776,-0.787577227416005,-0.7890206958728763,-0.7880132095589715,-0.7892146205165563,-0.7904885057534011,-0.7907563745340809,-0.7908000316687503,-0.7911372480017385,1
2016-02-04,-0.7827693910416401,-0.7830254467682809,-0.7835285604832992,-0.784339213701337,-0.7847244771363606,-0.7855836899511955,-0.7867902733352371,-0.7875029470534871,-0.7880262997228539,-0.7890145716015052,-0.7890092054474304,-0.7868582293188706,-0.7883221952615895,-0.7873867149942657,-0.7885615387615568,-0.7898402821182773,-0.7901076986587342,-0.7901544045263938,-0.7904936508478025,-0.7909054122991792,1
2016-02-05,-0.7823607663221556,-0.782866207161744,-0.783674562354753,-0.7840471453084726,-0.7849050687838501,-0.7861123041593517,-0.7867743316535276,-0.7872398494504858,-0.7882495850537172,-0.7882594814810484,-0.7861184611402944,-0.7876030263934005,-0.7866885872002005,-0.7879349235626596,-0.7891870599392631,-0.7894595603776556,-0.7895058636699599,-0.7898480923543408,-0.7902618670963028,-0.7901272970676012,1
2016-02-06,-0.7822015618859928,-0.7830121768010694,-0.7833825586118454,-0.7842276966786069,-0.785433564928709,-0.7860963660425229,-0.7865112939053226,-0.787463083780305,-0.7874946679827026,-0.7853694006326799,-0.7868630870887746,-0.7859697928085386,-0.787236670686595,-0.7885603071236912,-0.7888064236481481,-0.7888578602840856,-0.7891996202022209,-0.7896163605372223,-0.7894839262292002,-0.7883685434619796,1
2016-02-07,-0.7823474992858086,-0.7827202375224185,-0.7835630700165519,-0.7847560749529707,-0.7854176303715775,-0.7858333871148473,-0.7867344774492542,-0.7867083391413918,-0.7846052494749816,-0.7861138556810177,-0.7852302287588928,-0.7865177506562285,-0.7878619115569963,-0.7881797545737869,-0.7882048586006518,-0.7885516854577116,-0.7889679403614095,-0.7888385939786179,-0.7877255667350642,-0.7872599957347998,0
2016-02-08,-0.7820556244861767,-0.7829007090764937,-0.7840913313332665,-0.7847401439497236,-0.7851547101789091,-0.7860565207504508,-0.7859799045150091,-0.7838195806114667,-0.7853495339111931,-0.7844813721107341,-0.7857780607067034,-0.7871428482009232,-0.7874814458358584,-0.7875783218725393,-0.7878987524924125,-0.788320057545585,-0.7881903482520197,-0.7870806284694434,-0.7866172674175482,-0.7881846737668463,0
2016-02-09,-0.7822360561804946,-0.7834288537715076,-0.7840754038563805,-0.7844772823961458,-0.785377793978749,-0.7853021165538862,-0.7830918031786557,-0.7845636950441981,-0.7837174244689292,-0.7850290783248683,-0.7864030146277494,-0.7867624696950025,-0.7868801503604937,-0.7872722831086302,-0.787667176567049,-0.7875426397255741,-0.7864327770458648,-0.7859725774818425,-0.7875417382424954,-0.7886536747283454,1
2016-02-10,-0.7827640842271013,-0.7834129298108539,-0.7838126004877639,-0.7847003164416058,-0.7846235582745283,-0.7824146610550633,-0.7838357483250944,-0.78293195839528,-0.784265005161285,-0.7856538888118662,-0.7860227235183469,-0.7861613120562749,-0.7865741814239143,-0.7870407581307163,-0.7868899332313457,-0.7857854624611663,-0.7853249745886518,-0.7868968411662115,-0.7880106341075983,-0.7885524131571127,0
2016-02-11,-0.7827481637834851,-0.7831501844600682,-0.7840355851641659,-0.783946248954574,-0.7817367476742191,-0.7831584398404087,-0.7822043828968323,-0.7834794140136467,-0.7848896724559624,-0.785273684983608,-0.7854217040027879,-0.7858554132578072,-0.7863427092718935,-0.7862636857910513,-0.7851331503492768,-0.7846779083066303,-0.7862490309652211,-0.7873656319686579,-0.787909395227633,-0.7886536747283454,1
