date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,transaction
2018-01-30,2.515894712952385,3.033389550915156,2.86706711426693,2.8156065999516464,2.9903109634986764,3.9273687007506046,3.8285394807327817,3.2360642088456144,3.0961313269141173,3.1961556893599052,2.8005031887663105,2.976385400713858,3.4620327879926682,3.0773704216645528,2.9835211183759944,2.075466613937583,2.0484421401220194,2.1932375574940295,2.2084499658849377,2.607110417055766,2.183955982916668,1.9720708884295073,1.9344630504254317,1.991362256413987,2.007627587441627,1.940763507882104,2.0414066499516204,2.337037572913633,2.082619357734253,1.7317131083554338,0
2018-01-31,3.0132086583920485,2.840027567972318,2.7914886025107735,2.965868989791785,3.893437936031049,3.7731262084400243,3.190250083642596,3.06373716399908,3.165494914767704,2.7712874270293515,2.9522259667563535,3.43160030316371,3.0409018458162556,2.9548241926124583,2.0548924381590106,2.037369253915091,2.181927589063155,2.195780682077459,2.5926978947575683,2.167072924915075,1.9603476691387225,1.9246319100586375,1.9816175693354234,1.9974364830026559,1.9306110176191695,2.0315385069429794,2.3254098692048064,2.069062581929517,1.721639478828763,1.6890455908166409,0
2018-02-01,2.8208144078298374,2.7650083699343595,2.940756163229184,3.8632588065839037,3.740300679137048,3.142852824235914,3.01998750968645,3.1325098837314127,2.743931729967889,2.921749048062725,3.404558360950967,3.0134875557724663,2.919552071644506,2.033342903428854,2.0170702529386517,2.1703942900157256,2.1844621229038097,2.578520931883561,2.1544084520789304,1.9447044640808715,1.9130913492240753,1.9716396249897725,1.9876741130486335,1.9206409039887713,2.021116365207142,2.3147739607434996,2.0582542985513856,1.7095678765798192,1.679106440593867,1.2236822518572692,0
2018-02-02,2.7461706636737904,2.913171286059328,3.832204709393054,3.711094361176168,3.114543563153935,2.9747285076173817,3.0879363350726186,2.7145377508754254,2.8932229003769017,3.3703215444145567,2.989093183838046,2.8930074808294024,2.007067475334424,1.9958118248189907,2.149134457685981,2.1729200818404215,2.565909465922309,2.1419512117282062,1.9329233502204544,1.8977101688037106,1.9599180662304079,1.9776773131460652,1.91110209610305,2.010886556163279,2.303510454556152,2.048340610134536,1.6998588647018338,1.6672098313218877,1.215209831866116,0.982268111171457,1
2018-02-03,2.8935920583819827,3.798022726917047,3.68104768588074,3.0893123961288103,2.9476239531394732,3.041823991772485,2.674971491130819,2.862557196506222,3.338305922437415,2.9583098157904604,2.8693760118859557,1.9870625518159029,1.9699028236845306,2.1268595689153087,2.1516420058773864,2.5530517514571085,2.1308144899432895,1.9213351541157189,1.8861157398372992,1.9442772432147157,1.9659325069468176,1.9013436843129374,2.001085031270741,2.292470345880855,2.037868556948185,1.690914051332339,1.6576303428868375,1.2052218247522213,0.9745565792624555,1.6205122724900827,0
2018-02-04,3.774015020702558,3.64798433084113,3.0633822985535475,2.923453150634378,3.014238659888364,2.6340454027263864,2.821217669907371,3.3038488147886893,2.9294992595417084,2.839587762344902,1.9691677002868235,1.9501642547521216,2.0996711101084666,2.129347817220935,2.5290280086838384,2.1194574882176975,1.910943679266513,1.8747112034195161,1.9324978264896988,1.9502583353409,1.8898927921750661,1.9910464797778553,2.2818490934045452,2.0275906792821186,1.6815037508205442,1.6487996887872693,1.1970550142828653,0.9655586878524222,1.6107891252942932,1.3501372779307899,0
2018-02-05,3.6247275323904637,3.0348899348759146,2.8986211429251263,2.9896446843867435,2.609382036974848,2.7784549361521678,3.257222632801952,2.8985245384352005,2.8117007525834623,1.9468622031028324,1.9325030503319534,2.079002507483114,2.1021350649139845,2.503829187217692,2.0985655691593137,1.9003450474253547,1.8644772255211812,1.920911300018481,1.9384551587202823,1.8746402420312858,1.9792501971045813,2.270936452165989,2.0177405264820685,1.6722484238449935,1.6395144910020858,1.189469465173946,0.9581247250498302,1.5991735928246922,1.3412662975156522,0.8485176028244641,1
2018-02-06,3.0147015332751694,2.871348083153166,2.964374448152983,2.5873599318400435,2.752756793741857,3.2089842928140757,2.8567541245633556,2.781729488544946,1.9259197628669722,1.9105023187142602,2.060525474483765,2.0814488034210443,2.4729602631444094,2.0766798947518446,1.8810357635549302,1.8540388639726024,1.9105212569597378,1.9268452573798158,1.863137458376477,1.9635021821917358,2.258062484601002,2.00765012220766,1.6634327192592864,1.630379647715955,1.1815487297696785,0.9511850926391476,1.5898021472254449,1.3307596583664014,0.8412276252100616,1.2389364420654387,0
2018-02-07,2.8519781710149865,2.9366147854461904,2.5647530672423025,2.729823893853036,3.1802011620472377,2.813545103152825,2.741358274554087,1.9034939526527443,1.889842724356917,2.0374605890655175,2.062956280005635,2.449616342079546,2.0499813548638577,1.860824354238764,1.8350640467125054,1.8999240821212393,1.9164351692545982,1.8518230821686525,1.9516463943737163,2.240768524326987,1.9957899090747082,1.654445365064546,1.6216858286646605,1.1737279702463896,0.9439721923512508,1.5811548577563286,1.3222089753096928,0.832778286914347,1.2304159439811824,1.1330414114898852,1
2018-02-08,2.9169182284307476,2.5399507758204845,2.706273830505707,3.1545529020973766,2.787595519685242,2.699598461958384,1.8736439641629015,1.8677242334816173,2.015813378159982,2.039871189135478,2.4287925110470465,2.029668872734854,1.836233275485191,1.8152064686356153,1.880617838856363,1.9058175963788624,1.8416664209552907,1.9399847343941998,2.227811295634334,1.9799501855387425,1.643945127164742,1.6128284431301008,1.1663635245108415,0.936833133288306,1.5720706021745103,1.3142850888826496,0.8257503431945317,1.2203653746112744,1.1248546729215179,1.3821931848899862,1
