date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,transaction
2016-01-20,-0.7799082366966127,-0.7802966320604802,-0.7810965513839363,-0.7819244794786857,-0.7823626974578407,-0.7831355797354612,-0.7837064023650547,-0.7846666204889882,-0.785217273141386,-0.7859659958096997,-0.7868587273068707,-0.7877563293336356,-0.7886831835351166,-0.7901400292824108,-0.7916815993381274,-0.7927168518582549,-0.7930108125121405,-0.7934814521909241,-0.794283479637474,-0.7946411469881907,0
2016-01-21,-0.7796166830135741,-0.7804238838001596,-0.7812529997075772,-0.7816963854772724,-0.7824714640949301,-0.7830400561207773,-0.7839877289460288,-0.7845365441474693,-0.7852863087534253,-0.7861280004011917,-0.7869676405695667,-0.7879157512390854,-0.7893874594400124,-0.7909375070412173,-0.7919926877230723,-0.7923072902909825,-0.7928512062865568,-0.7936277903151331,-0.7939907373917007,-0.7948221556558699,0
2016-01-22,-0.7797439064389,-0.7805802973968488,-0.7810249563883718,-0.7818051279663183,-0.782375961681876,-0.7833213200973462,-0.783857681752937,-0.7846055642470507,-0.7854482769201331,-0.7862368887331779,-0.7871270258320487,-0.7886198646548218,-0.7901847529172531,-0.7912485233671519,-0.7915832209599825,-0.7921477208491879,-0.7929975119933417,-0.793335114066715,-0.7941717053254514,-0.7953518721980486,1
2016-01-23,-0.7799002852325297,-0.7803523046965899,-0.7811336747149698,-0.7817096467564242,-0.7826571632314239,-0.7831913018440267,-0.783926686386006,-0.7847674960191459,-0.7855571407698873,-0.7863962375116944,-0.7878309774080116,-0.7894169741820705,-0.7904956973733769,-0.7908391514509646,-0.7914236884548825,-0.7922939928374995,-0.7927049005797718,-0.7935160412021007,-0.7947013026609869,-0.7953359008450182,1
2016-01-24,-0.7796723432621542,-0.7804609988908994,-0.7810382147208836,-0.7819907858744455,-0.7825271738358782,-0.7832602911212984,-0.7840885818712836,-0.7848763354069475,-0.7857164537207473,-0.7871000279501427,-0.7886279037204224,-0.7897278468976975,-0.79008642005506,-0.7906796558992033,-0.7915699265845574,-0.7920014488608762,-0.7928857876354333,-0.7940455191424207,-0.7946853349021266,-0.7950723735200147,1
2016-01-25,-0.7797810132712868,-0.7803655600861398,-0.7813192913701369,-0.7818608253387564,-0.7825961478008616,-0.7834221505795126,-0.7841973968695848,-0.7850356125598278,-0.786420085920379,-0.7878967718427256,-0.7889387049822624,-0.7893186640070431,-0.7899269613596119,-0.7908258601549844,-0.7912774503252075,-0.7921822942282434,-0.7934151482836188,-0.7940295549834161,-0.7944218668809306,-0.7952959724624419,1
2016-01-26,-0.7796855957022922,-0.7806465743445984,-0.7811893597115199,-0.7819297839903465,-0.7827579713340921,-0.7835309413629024,-0.7843566383305135,-0.7857390866517163,-0.7872166506746792,-0.7882075019608328,-0.7885296161418917,-0.7891592421015934,-0.7900731318304393,-0.790533451643422,-0.7914582538309874,-0.7927115328768618,-0.7933991876610604,-0.79376614635984,-0.7946454155049757,-0.7945399950856641,1
2016-01-27,-0.7799665474332204,-0.7805166715270091,-0.781258303040582,-0.7820915715960003,-0.7828667379711812,-0.7836901473873753,-0.7850599547829485,-0.7865354724161184,-0.7875273109288562,-0.7877985067626403,-0.7883702308794095,-0.7893053788482556,-0.7897807908887844,-0.7907142132687515,-0.7919873699729022,-0.7926955759326824,-0.7931358373888476,-0.7939896445859046,-0.7938896082522516,-0.7916465182949692,1
2016-01-28,-0.7798366735198669,-0.7805855995526687,-0.7814200546972279,-0.7822003140850462,-0.7830259086596046,-0.7843933073287976,-0.7858561620875921,-0.7868460628642352,-0.7871184076883155,-0.7876391579841238,-0.7885163340366846,-0.7890131053549311,-0.7899615107436256,-0.7912432068487598,-0.7919714167223922,-0.7924322863537215,-0.7933592861046647,-0.7932340077263524,-0.790996782605382,-0.7923918481030598,1
2016-01-29,-0.7799055862085851,-0.7807473153051779,-0.7815287730238257,-0.7823594494348696,-0.7837289125334744,-0.7851893374511626,-0.786166682936403,-0.7864372515051755,-0.7869590947374555,-0.7877852276977638,-0.7882241277221341,-0.7891937835144408,-0.7904903820835286,-0.7912272572935837,-0.7917081880889775,-0.7926556835722337,-0.7926038166369023,-0.7903418342533481,-0.7917419446855325,-0.7907574463096039,0
2016-01-30,-0.7800672659782701,-0.7808560094994873,-0.7816878730139691,-0.7830622972299227,-0.7845247659755912,-0.7854997891988849,-0.785757963186686,-0.7862779743522951,-0.7871051316090771,-0.7874930882704835,-0.7884047643529473,-0.7897225328341825,-0.7904744362139837,-0.7909640896331777,-0.7919315335961172,-0.7919003882144063,-0.7897122838500794,-0.7910868283402306,-0.7901079106954884,-0.7913057960969849,1
2016-01-31,-0.7801759359874026,-0.7810150741740866,-0.7823905646371024,-0.7838579739790394,-0.7848351488180166,-0.7850911604027376,-0.7855987217257574,-0.786423978409102,-0.7868130578658338,-0.7876736835528023,-0.7889333921401797,-0.7897065906436375,-0.7902113293664945,-0.7911873834056434,-0.7911764130719775,-0.7890095218272292,-0.7904571129028028,-0.7894531627354241,-0.7906561370830276,-0.7919313407573467,1
2016-02-01,-0.7803349652690601,-0.7817176098202332,-0.7831860645878195,-0.784168287911195,-0.7844266107177301,-0.7849319543782646,-0.7857446930649419,-0.786131970295488,-0.7869936125434751,-0.7882021903348823,-0.7889174536139314,-0.7894435444996455,-0.7904345715401218,-0.7904324377939732,-0.7882862158545836,-0.7897541792222702,-0.7888238091943307,-0.7900012655279163,-0.7912815409717253,-0.7915506901767861,1
2016-02-02,-0.7810373445963803,-0.7825129331932293,-0.7834963095685991,-0.783759840513315,-0.7842674400293067,-0.7850778932340314,-0.7854527503865726,-0.7863124844020858,-0.7875220004971608,-0.7881862554570306,-0.788654467930836,-0.789666735167275,-0.7896798003816673,-0.7875429100478976,-0.7890307008783833,-0.788121251934573,-0.7893717905688344,-0.790626528422264,-0.7909009760522199,-0.7909491025459701,1
