crypto,end_date,normalize,normalize_by_row,predictor_cls,predictor_params.daily_allowance,predictor_params.lookahead_days,predictor_params.prob_buy,predictor_params.prob_sell,predictor_params.starting_investment,price_column,start_date,window_size,cv_folds,dev_size,shuffle_data,training_size,mlp_training,mlp_eval,svc_training,svc_eval
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,2017-01-01,10,4,0.5,True,0.7,0.572446555819,0.530805687204,0.553444180523,0.526066350711
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,2018-01-01,10,4,0.5,True,0.7,0.606694560669,0.502092050209,0.589958158996,0.506276150628
ETH,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,2016-01-01,10,4,0.5,True,0.7,0.539735099338,0.517355371901,0.519867549669,0.525619834711
ETH,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,2017-01-01,10,4,0.5,True,0.7,0.572446555819,0.535545023697,0.546318289786,0.514218009479
ETH,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,2018-01-01,10,4,0.5,True,0.7,0.589958158996,0.514644351464,0.569037656904,0.510460251046
ETH,2019-05-04,True,True,BiffPredictor,5,3,1,1,100,Close,2016-01-01,10,4,0.5,True,0.7,0.539735099338,0.539735099338,0.539735099338,0.523178807947
ETH,2019-05-04,True,True,BiffPredictor,5,3,1,1,100,Close,2017-01-01,10,4,0.5,True,0.7,0.546318289786,0.489311163895,0.524940617577,0.527315914489
ETH,2019-05-04,True,True,BiffPredictor,5,3,1,1,100,Close,2018-01-01,10,4,0.5,True,0.7,0.554621848739,0.531380753138,0.554621848739,0.510460251046
ETH,2019-05-04,True,True,BiffPredictorSmart,5,3,1,1,100,Close,2016-01-01,10,4,0.5,True,0.7,0.541390728477,0.523178807947,0.546357615894,0.516556291391
ETH,2019-05-04,True,True,BiffPredictorSmart,5,3,1,1,100,Close,2017-01-01,10,4,0.5,True,0.7,0.562945368171,0.49406175772,0.510688836105,0.541567695962
ETH,2019-05-04,True,True,BiffPredictorSmart,5,3,1,1,100,Close,2018-01-01,10,4,0.5,True,0.7,0.575630252101,0.543933054393,0.588235294118,0.518828451883
ETH,2019-05-04,True,False,BiffPredictor,5,3,1,1,100,Close,2016-01-01,10,4,0.5,True,0.7,0.586092715232,0.495033112583,0.576158940397,0.486754966887
ETH,2019-05-04,True,False,BiffPredictor,5,3,1,1,100,Close,2017-01-01,10,4,0.5,True,0.7,0.586698337292,0.515439429929,0.553444180523,0.558194774347
ETH,2019-05-04,True,False,BiffPredictor,5,3,1,1,100,Close,2018-01-01,10,4,0.5,True,0.7,0.571428571429,0.502092050209,0.53781512605,0.493723849372
ETH,2019-05-04,True,False,BiffPredictorSmart,5,3,1,1,100,Close,2016-01-01,10,4,0.5,True,0.7,0.562913907285,0.506622516556,0.541390728477,0.511589403974
ETH,2019-05-04,True,False,BiffPredictorSmart,5,3,1,1,100,Close,2017-01-01,10,4,0.5,True,0.7,0.553444180523,0.527315914489,0.55106888361,0.510688836105
ETH,2019-05-04,True,False,BiffPredictorSmart,5,3,1,1,100,Close,2018-01-01,10,4,0.5,True,0.7,0.634453781513,0.460251046025,0.617647058824,0.464435146444
