crypto,end_date,normalize,normalize_by_row,predictor_cls,predictor_params.daily_allowance,predictor_params.lookahead_days,predictor_params.prob_buy,predictor_params.prob_sell,predictor_params.starting_investment,price_column,save_data,save_roi,start_date,window_size,cv_folds,dev_size,save_results,shuffle_data,training_size,mlp_training,mlp_eval,svc_training,svc_eval
ETH,2019-05-04,True,True,BiffPredictor,5,2,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,True,0.7,0.573221757322,0.485355648536,0.573221757322,0.493723849372
ETH,2019-05-04,True,True,BiffPredictor,5,2,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,False,0.7,0.577405857741,0.539748953975,0.569037656904,0.535564853556
ETH,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,True,0.7,0.534768211921,0.467768595041,0.541390728477,0.523966942149
ETH,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,False,0.7,0.574503311258,0.504132231405,0.574503311258,0.492561983471
ETH,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,True,0.7,0.574821852732,0.504739336493,0.548693586698,0.481042654028
ETH,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,False,0.7,0.567695961995,0.530805687204,0.555819477435,0.462085308057
ETH,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,True,0.7,0.589958158996,0.493723849372,0.585774058577,0.493723849372
ETH,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,False,0.7,0.564853556485,0.502092050209,0.548117154812,0.52719665272
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,True,0.7,0.554635761589,0.495867768595,0.548013245033,0.507438016529
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,False,0.7,0.53642384106,0.489256198347,0.524834437086,0.476033057851
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,True,0.7,0.558194774347,0.502369668246,0.553444180523,0.547393364929
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,False,0.7,0.574821852732,0.443127962085,0.567695961995,0.443127962085
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,True,0.7,0.610878661088,0.514644351464,0.627615062762,0.539748953975
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,False,0.7,0.610878661088,0.535564853556,0.577405857741,0.535564853556
ETH,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,True,0.7,0.572847682119,0.459504132231,0.53642384106,0.504132231405
