crypto,end_date,normalize,normalize_by_row,predictor_cls,predictor_params.daily_allowance,predictor_params.lookahead_days,predictor_params.prob_buy,predictor_params.prob_sell,predictor_params.starting_investment,price_column,standardize,start_date,window_size,cv_folds,dev_size,shuffle_data,training_size,MLPClassifier_training,MLPClassifier_eval,SVC_training,SVC_eval
LTC,2019-09-30,True,False,BiffPredictorSmart,5,1,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.56856187291,0.501672240803,0.558528428094,0.501672240803
LTC,2019-09-30,True,True,BiffPredictor,5,2,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.557228915663,0.534638554217,0.545180722892,0.545180722892
LTC,2019-09-30,True,True,BiffPredictor,5,2,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.564759036145,0.507530120482,0.540662650602,0.527108433735
LTC,2019-09-30,True,True,BiffPredictor,5,2,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.532224532225,0.530145530146,0.530145530146,0.590436590437
LTC,2019-09-30,True,True,BiffPredictor,5,2,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.528066528067,0.492723492723,0.536382536383,0.444906444906
LTC,2019-09-30,True,True,BiffPredictor,5,2,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.577181208054,0.491638795987,0.587248322148,0.538461538462
LTC,2019-09-30,True,True,BiffPredictor,5,2,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.58389261745,0.508361204013,0.58389261745,0.511705685619
LTC,2019-09-30,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.543674698795,0.477409638554,0.551204819277,0.521084337349
LTC,2019-09-30,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.566265060241,0.513554216867,0.53313253012,0.519578313253
LTC,2019-09-30,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.569646569647,0.540540540541,0.540540540541,0.550935550936
LTC,2019-09-30,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.54261954262,0.530145530146,0.523908523909,0.455301455301
LTC,2019-09-30,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.577181208054,0.501672240803,0.587248322148,0.555183946488
LTC,2019-09-30,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.577181208054,0.508361204013,0.577181208054,0.508361204013
LTC,2019-09-30,True,False,BiffPredictor,5,2,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.540662650602,0.53313253012,0.572289156627,0.560240963855
LTC,2019-09-30,True,False,BiffPredictor,5,2,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.536144578313,0.457831325301,0.522590361446,0.459337349398
LTC,2019-09-30,True,False,BiffPredictor,5,2,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.557172557173,0.503118503119,0.559251559252,0.536382536383
LTC,2019-09-30,True,False,BiffPredictor,5,2,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.557172557173,0.471933471933,0.538461538462,0.422037422037
LTC,2019-09-30,True,False,BiffPredictor,5,2,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.573825503356,0.518394648829,0.677852348993,0.56856187291
LTC,2019-09-30,True,False,BiffPredictor,5,2,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.630872483221,0.508361204013,0.593959731544,0.511705685619
LTC,2019-09-30,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.555722891566,0.512048192771,0.542168674699,0.546686746988
LTC,2019-09-30,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.536144578313,0.518072289157,0.53313253012,0.509036144578
LTC,2019-09-30,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.530145530146,0.548856548857,0.557172557173,0.565488565489
LTC,2019-09-30,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.538461538462,0.449064449064,0.555093555094,0.469854469854
LTC,2019-09-30,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.560402684564,0.558528428094,0.56711409396,0.531772575251
LTC,2019-09-30,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.580536912752,0.508361204013,0.587248322148,0.508361204013
LTC,2019-09-30,True,True,BiffPredictor,5,3,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.571644042232,0.530120481928,0.594268476621,0.563253012048
LTC,2019-09-30,True,True,BiffPredictor,5,3,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.544494720965,0.512048192771,0.529411764706,0.439759036145
LTC,2019-09-30,True,True,BiffPredictor,5,3,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.597916666667,0.596673596674,0.5875,0.598752598753
LTC,2019-09-30,True,True,BiffPredictor,5,3,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.525,0.530145530146,0.51875,0.523908523909
LTC,2019-09-30,True,True,BiffPredictor,5,3,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.624161073826,0.580536912752,0.647651006711,0.664429530201
LTC,2019-09-30,True,True,BiffPredictor,5,3,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.620805369128,0.5,0.620805369128,0.496644295302
LTC,2019-09-30,True,True,BiffPredictorSmart,5,3,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.552036199095,0.522590361446,0.589743589744,0.546686746988
LTC,2019-09-30,True,True,BiffPredictorSmart,5,3,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.559577677225,0.451807228916,0.555052790347,0.451807228916
LTC,2019-09-30,True,True,BiffPredictorSmart,5,3,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.6,0.54261954262,0.604166666667,0.567567567568
LTC,2019-09-30,True,True,BiffPredictorSmart,5,3,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.529166666667,0.446985446985,0.53125,0.446985446985
LTC,2019-09-30,True,True,BiffPredictorSmart,5,3,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.60067114094,0.590604026846,0.593959731544,0.61744966443
LTC,2019-09-30,True,True,BiffPredictorSmart,5,3,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.607382550336,0.506711409396,0.60067114094,0.510067114094
LTC,2019-09-30,True,False,BiffPredictor,5,3,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.574660633484,0.524096385542,0.56862745098,0.631024096386
