crypto,end_date,normalize,normalize_by_row,predictor_cls,predictor_params.daily_allowance,predictor_params.lookahead_days,predictor_params.prob_buy,predictor_params.prob_sell,predictor_params.starting_investment,price_column,start_date,window_size,cv_folds,dev_size,shuffle_data,training_size,mlp_training,mlp_eval,svc_training,svc_eval
BTC,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,2018-01-01,60,4,0.5,True,0.7,0.602803738318,0.528037383178,0.598130841121,0.5
BTC,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,2016-01-01,60,4,0.5,True,0.7,0.599309153713,0.629310344828,0.607944732297,0.655172413793
BTC,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,2017-01-01,60,4,0.5,True,0.7,0.590909090909,0.561712846348,0.590909090909,0.627204030227
BTC,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,2018-01-01,60,4,0.5,True,0.7,0.68691588785,0.542056074766,0.672897196262,0.546728971963
BTC,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,2016-01-01,60,4,0.5,True,0.7,0.602763385147,0.553448275862,0.616580310881,0.577586206897
BTC,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,2017-01-01,60,4,0.5,True,0.7,0.616161616162,0.564231738035,0.606060606061,0.561712846348
BTC,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,2018-01-01,60,4,0.5,True,0.7,0.61214953271,0.57476635514,0.598130841121,0.556074766355
BTC,2019-05-04,True,True,BiffPredictor,5,3,1,1,100,Close,2016-01-01,60,4,0.5,True,0.7,0.607944732297,0.60103626943,0.6701208981,0.732297063903
BTC,2019-05-04,True,True,BiffPredictor,5,3,1,1,100,Close,2017-01-01,60,4,0.5,True,0.7,0.643939393939,0.641414141414,0.679292929293,0.709595959596
BTC,2019-05-04,True,True,BiffPredictor,5,3,1,1,100,Close,2018-01-01,60,4,0.5,True,0.7,0.652582159624,0.598130841121,0.657276995305,0.668224299065
