price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,transaction
0.8499999999999995,0.8333333333333333,0.7999999999999998,0.8333333333333333,0.7833333333333335,0.7500000000000002,1.0,0.9499999999999996,0.9333333333333332,0.8999999999999999,0.9333333333333332,0.8166666666666669,0.7999999999999998,0.7833333333333335,0.0,0.14999999999999974,0.04999999999999967,0.08333333333333302,0.03333333333333336,0.6500000000000001,0
0.8333333333333333,0.7999999999999998,0.8333333333333333,0.7833333333333335,0.7500000000000002,1.0,0.9499999999999996,0.9333333333333332,0.8999999999999999,0.9333333333333332,0.8166666666666669,0.7999999999999998,0.7833333333333335,0.0,0.14999999999999974,0.04999999999999967,0.08333333333333302,0.03333333333333336,0.6500000000000001,0.3666666666666669,0
0.7999999999999998,0.8333333333333333,0.7833333333333335,0.7500000000000002,1.0,0.9499999999999996,0.9333333333333332,0.8999999999999999,0.9333333333333332,0.8166666666666669,0.7999999999999998,0.7833333333333335,0.0,0.14999999999999974,0.04999999999999967,0.08333333333333302,0.03333333333333336,0.6500000000000001,0.3666666666666669,0.13333333333333344,1
0.8333333333333333,0.7833333333333335,0.7500000000000002,1.0,0.9499999999999996,0.9333333333333332,0.8999999999999999,0.9333333333333332,0.8166666666666669,0.7999999999999998,0.7833333333333335,0.0,0.14999999999999974,0.04999999999999967,0.08333333333333302,0.03333333333333336,0.6500000000000001,0.3666666666666669,0.13333333333333344,0.1666666666666668,1
0.7833333333333335,0.7500000000000002,1.0,0.9499999999999996,0.9333333333333332,0.8999999999999999,0.9333333333333332,0.8166666666666669,0.7999999999999998,0.7833333333333335,0.0,0.14999999999999974,0.04999999999999967,0.08333333333333302,0.03333333333333336,0.6500000000000001,0.3666666666666669,0.13333333333333344,0.1666666666666668,0.3000000000000002,0
0.7500000000000002,1.0,0.9499999999999996,0.9333333333333332,0.8999999999999999,0.9333333333333332,0.8166666666666669,0.7999999999999998,0.7833333333333335,0.0,0.14999999999999974,0.04999999999999967,0.08333333333333302,0.03333333333333336,0.6500000000000001,0.3666666666666669,0.13333333333333344,0.1666666666666668,0.3000000000000002,0.21666666666666645,1
1.0,0.9499999999999996,0.9333333333333332,0.8999999999999999,0.9333333333333332,0.8166666666666669,0.7999999999999998,0.7833333333333335,0.0,0.14999999999999974,0.04999999999999967,0.08333333333333302,0.03333333333333336,0.6500000000000001,0.3666666666666669,0.13333333333333344,0.1666666666666668,0.3000000000000002,0.21666666666666645,0.2499999999999998,1
1.0,0.9824561403508776,0.9473684210526319,0.9824561403508776,0.8596491228070181,0.8421052631578949,0.8245614035087725,0.0,0.15789473684210506,0.05263157894736809,0.08771929824561375,0.035087719298245654,0.6842105263157899,0.38596491228070223,0.14035087719298261,0.17543859649122828,0.3157894736842109,0.22807017543859637,0.26315789473684204,0.5087719298245617,0
1.0,0.9642857142857143,1.0,0.8750000000000003,0.857142857142857,0.8392857142857145,0.0,0.16071428571428545,0.053571428571428215,0.08928571428571395,0.03571428571428574,0.6964285714285716,0.3928571428571432,0.14285714285714296,0.17857142857142871,0.3214285714285717,0.23214285714285693,0.2678571428571427,0.5178571428571429,0.21428571428571447,0
0.9642857142857143,1.0,0.8750000000000003,0.857142857142857,0.8392857142857145,0.0,0.16071428571428545,0.053571428571428215,0.08928571428571395,0.03571428571428574,0.6964285714285716,0.3928571428571432,0.14285714285714296,0.17857142857142871,0.3214285714285717,0.23214285714285693,0.2678571428571427,0.5178571428571429,0.21428571428571447,0.19642857142857117,0
1.0,0.8750000000000003,0.857142857142857,0.8392857142857145,0.0,0.16071428571428545,0.053571428571428215,0.08928571428571395,0.03571428571428574,0.6964285714285716,0.3928571428571432,0.14285714285714296,0.17857142857142871,0.3214285714285717,0.23214285714285693,0.2678571428571427,0.5178571428571429,0.21428571428571447,0.19642857142857117,0.14285714285714296,0
1.0,0.9795918367346934,0.9591836734693877,0.0,0.18367346938775472,0.06122448979591794,0.10204081632653021,0.04081632653061226,0.7959183673469387,0.4489795918367349,0.16326530612244905,0.2040816326530613,0.3673469387755104,0.2653061224489793,0.3061224489795915,0.5918367346938773,0.24489795918367357,0.22448979591836699,0.16326530612244905,0.10204081632653021,1
1.0,0.9791666666666671,0.0,0.18749999999999972,0.0624999999999996,0.1041666666666663,0.041666666666666706,0.8125000000000003,0.45833333333333376,0.16666666666666682,0.20833333333333354,0.37500000000000033,0.27083333333333315,0.31249999999999983,0.6041666666666667,0.2500000000000002,0.2291666666666664,0.16666666666666682,0.1041666666666663,0.16666666666666682,0
1.0,0.0,0.19148936170212727,0.0638297872340421,0.10638297872340384,0.04255319148936172,0.8297872340425531,0.46808510638297895,0.1702127659574469,0.21276595744680862,0.3829787234042555,0.27659574468085074,0.31914893617021245,0.6170212765957445,0.25531914893617036,0.234042553191489,0.1702127659574469,0.10638297872340384,0.1702127659574469,0.1702127659574469,0
0.0,0.23076923076923034,0.0769230769230764,0.12820512820512772,0.05128205128205131,1.0,0.5641025641025644,0.20512820512820523,0.25641025641025655,0.4615384615384618,0.3333333333333329,0.38461538461538425,0.7435897435897434,0.3076923076923079,0.28205128205128166,0.20512820512820523,0.12820512820512772,0.20512820512820523,0.20512820512820523,0.12820512820512772,1
0.1891891891891887,0.027027027027026442,0.08108108108108053,0.0,1.0,0.5405405405405409,0.16216216216216225,0.21621621621621634,0.4324324324324327,0.29729729729729687,0.351351351351351,0.7297297297297296,0.27027027027027045,0.24324324324324278,0.16216216216216225,0.08108108108108053,0.16216216216216225,0.16216216216216225,0.08108108108108053,0.3783783783783786,0
0.027027027027026442,0.08108108108108053,0.0,1.0,0.5405405405405409,0.16216216216216225,0.21621621621621634,0.4324324324324327,0.29729729729729687,0.351351351351351,0.7297297297297296,0.27027027027027045,0.24324324324324278,0.16216216216216225,0.08108108108108053,0.16216216216216225,0.16216216216216225,0.08108108108108053,0.3783783783783786,0.3243243243243245,0
0.08108108108108053,0.0,1.0,0.5405405405405409,0.16216216216216225,0.21621621621621634,0.4324324324324327,0.29729729729729687,0.351351351351351,0.7297297297297296,0.27027027027027045,0.24324324324324278,0.16216216216216225,0.08108108108108053,0.16216216216216225,0.16216216216216225,0.08108108108108053,0.3783783783783786,0.3243243243243245,0.21621621621621634,0
0.0,1.0,0.5405405405405409,0.16216216216216225,0.21621621621621634,0.4324324324324327,0.29729729729729687,0.351351351351351,0.7297297297297296,0.27027027027027045,0.24324324324324278,0.16216216216216225,0.08108108108108053,0.16216216216216225,0.16216216216216225,0.08108108108108053,0.3783783783783786,0.3243243243243245,0.21621621621621634,0.1891891891891887,0
1.0,0.5000000000000007,0.08823529411764772,0.1470588235294124,0.38235294117647123,0.23529411764705882,0.29411764705882354,0.7058823529411765,0.20588235294117713,0.17647058823529413,0.08823529411764772,0.0,0.08823529411764772,0.08823529411764772,0.0,0.3235294117647065,0.26470588235294185,0.1470588235294124,0.11764705882352941,0.029411764705883005,1
