0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,transaction
-1.2566355882587112,-1.252323384930132,-1.2482990800566787,-1.2201663231342397,-1.2605774307261928,-1.2929652607190465,-1.2934401144459216,-1.2949789295123013,-1.2995147541743088,-1.300427425672322,-1.3382387379136147,-1.3332258272305637,-1.3303623960096522,-1.334286169258584,-1.3358125297418924,-1.3355842107167597,-1.3169888435899046,-1.3252498295436028,-1.3242406505195938,-1.327742765788761,-1.3227396131017066,-1.3243194037281667,-1.3277063378614782,-1.3379104451937884,-1.3378604884332548,-1.3358624489502096,-1.3377006460080325,-1.3396490878168417,-1.3427025960354786,-1.3449381510607306,-1.3334880036851462,-1.3311176096812687,-1.327606773065173,-1.3253553732122503,-1.3245736152067034,-1.3318081658006988,-1.3317274337558547,-1.3281927310272115,-1.3306467441974767,-1.353017094508221,-1.357615746657719,-1.3561723351250234,-1.3606742885550485,-1.3661552423444925,-1.3652489686317855,-1.367525196848698,-1.3649743303159863,-1.3627609883387004,-1.3635397638233642,-1.3685426777855094,-1.3625166509281375,-1.3555670520990986,-1.3581409898695775,-1.347168266914674,-1.3481574043073201,-1.3597491132851103,-1.3566725942567661,-1.3554768048556498,-1.3585083481618885,-1.3493241224191908,1
-1.250279975998821,-1.2463235947091202,-1.218155636177308,-1.2586222428053435,-1.2908494943974453,-1.2912238870889399,-1.292728198011216,-1.2972640847580745,-1.298189394859956,-1.3359634721249878,-1.330827630637985,-1.3279778461172083,-1.3318903296828974,-1.333355329462813,-1.3331381528829125,-1.3145612630085144,-1.322860548164702,-1.3218176609679515,-1.3253554830178245,-1.3203511694745396,-1.3219433248990626,-1.3253323381572595,-1.3355517495677047,-1.3354563818118848,-1.3334055033018468,-1.3352622979375817,-1.3371888969403871,-1.3402309511321255,-1.3424573542684042,-1.3309842931104923,-1.3282883545929425,-1.324749344867044,-1.3225384972455898,-1.3217160484706016,-1.3289376994671187,-1.328773009420938,-1.3252062833167313,-1.3277087286989273,-1.3499971724044544,-1.3546274272821008,-1.3531604304035132,-1.3576619644261778,-1.3630909759045613,-1.3622143910316376,-1.3644179099458058,-1.3618571962067705,-1.3596380223117819,-1.36042416374757,-1.3654062678058283,-1.3593818687732633,-1.3524282298507424,-1.3549550928790641,-1.344032413084433,-1.3451733459159168,-1.3567199875217435,-1.3536129163595327,-1.3524246503762813,-1.3554768048556498,-1.3462484180906453,-1.341096187450188,1
-1.2442852930431858,-1.2162051366915563,-1.2565790809635742,-1.288870061334055,-1.2891096267336632,-1.2905126218034035,-1.2950112403707892,-1.2959399505953504,-1.3336926282869042,-1.3285592173722656,-1.3255848266362003,-1.329504282399265,-1.3309604023665058,-1.3306836270401432,-1.3121361862030911,-1.3204271083839862,-1.3194317150523087,-1.3229313927788455,-1.3179710974602363,-1.319555661351036,-1.3229552744899227,-1.3331701258708943,-1.3331000584095092,-1.331005792288771,-1.3328059539009844,-1.334751058186084,-1.337770177131354,-1.339985956052006,-1.3285175892808372,-1.3257899541454095,-1.3219270223523194,-1.3196866022952438,-1.3189031077979707,-1.3260753935806904,-1.3259058388723184,-1.3222590752849113,-1.3247228187152098,-1.3470378681930169,-1.351605717244487,-1.3501771556232878,-1.3546483592159126,-1.3600758988155248,-1.3591546619664205,-1.3613842907910432,-1.3587564999211772,-1.356527117446802,-1.3573039206221431,-1.3622885000535268,-1.356256123855153,-1.3493052641543737,-1.3518169835000737,-1.3408628730831273,-1.3420398056488687,-1.3537262830715082,-1.350590738947344,-1.3493698625865558,-1.3524246503762813,-1.3432308714452255,-1.338029969787538,-1.3341756023727878,0
-1.2141924730816478,-1.2545967323339289,-1.286801356105683,-1.2871315871444662,-1.2883989765611326,-1.2927935759949514,-1.2936883305208573,-1.3314103651151674,-1.3262952104230843,-1.323321261017828,-1.327109757095205,-1.328575266421496,-1.3282913189480725,-1.3097026627938737,-1.3179961774295508,-1.317001696802156,-1.3205443645120734,-1.315554297912626,-1.3171763653822897,-1.3205666195913217,-1.3307854418159226,-1.3307208172103835,-1.328653771054815,-1.3304068344464082,-1.332295226633583,-1.3353317598603396,-1.3375254275772626,-1.326060212975211,-1.3233284964366046,-1.3194351183975797,-1.3168697911461,-1.316055181753682,-1.3232577390377671,-1.3230468254161623,-1.3193989780213142,-1.3217761456851713,-1.3440304835282877,-1.348644643364239,-1.3471603866708066,-1.351663399707061,-1.357059537974526,-1.3561440689143751,-1.3583255174776534,-1.3557294099711594,-1.3534326188509231,-1.3541957404292557,-1.359166084576727,-1.3531489826818828,-1.3461912504718498,-1.3486947337499449,-1.3377411796865393,-1.3388725758067532,-1.3505828237346786,-1.3476039393167016,-1.346352489816076,-1.3493698625865558,-1.340192757807763,-1.3350218058084702,-1.3311173640243494,-1.3399013908605117,0
-1.2525513882368775,-1.284793956271099,-1.2850643500060421,-1.286421506137451,-1.2906779581489034,-1.291471876134855,-1.3291259486039824,-1.3240197853656952,-1.3210620906561041,-1.324844781482278,-1.3261816575878396,-1.3259087987330913,-1.3073309218255131,-1.3155567938988402,-1.3145741844291088,-1.3181132359821235,-1.3131744388825435,-1.3147603504830778,-1.3181863373980136,-1.328389116139108,-1.3283385145265478,-1.3262788506565755,-1.3280553921958655,-1.3298966110992099,-1.332875346192751,-1.3350872538922318,-1.3236136404231196,-1.3208763398026813,-1.3169800788752934,-1.3143830518746127,-1.313242323814858,-1.3204050588612033,-1.3202324457407106,-1.3165470306504767,-1.3189165728202914,-1.3410624446422266,-1.34563547357171,-1.344204203398935,-1.3486449805949698,-1.3540718483741245,-1.3531321964602037,-1.3553158689423863,-1.3526771475132189,-1.3504116688394345,-1.3511039527035185,-1.3560557306198682,-1.35003721670166,-1.3430957982045713,-1.3455814308500982,-1.3346354167731933,-1.3357532009011863,-1.3474056894169553,-1.3444675802255333,-1.343370464725948,-1.346352489816076,-1.337152051011424,-1.3319931044541664,-1.3281170918846055,-1.3368365507775464,-1.336446870286013,0
-1.2827229070692683,-1.2830583899735768,-1.2843548686414001,-1.2886986624702925,-1.2893574013148903,-1.3268770814593347,-1.3217422022869396,-1.3187915030530835,-1.3225842043428968,-1.3239175401224061,-1.3235178203587346,-1.3049689430217852,-1.3131793142696038,-1.3121382229674692,-1.3156846142862804,-1.3107506645821412,-1.312381263030038,-1.315769325341462,-1.326001202831156,-1.3259445859679246,-1.3239008667305625,-1.3256810532885865,-1.3275456620567603,-1.3304761582707556,-1.3326310853257328,-1.3211893123868417,-1.3184349623581428,-1.3145343080695866,-1.311933114782434,-1.3107592890842565,-1.317587465591157,-1.3173830684028291,-1.3137396793677492,-1.3160651493144002,-1.3381819293657873,-1.3426656586041539,-1.3411999669368233,-1.3456871640210613,-1.3510507551893443,-1.3501489536482634,-1.3523049419212416,-1.3496739332970267,-1.3473655290646998,-1.3480856883017969,-1.3529617801414602,-1.346937519166347,-1.3399957463389274,-1.342486686800793,-1.3315384818034062,-1.3326497664858923,-1.3442763743142516,-1.3412975357067036,-1.3402390153083947,-1.343370464725948,-1.3341485131368058,-1.3289618368565448,-1.3250963072805697,-1.3338297492761597,-1.3333860132051791,-1.334798974506532,0
-1.2809888181563434,-1.282349496697124,-1.2866301019831832,-1.2873791632810117,-1.3247319876808656,-1.3195000886319512,-1.31651875411659,-1.3203122097100677,-1.3216578191726585,-1.321256165953807,-1.3025986217281151,-1.3108116039793178,-1.3097640944793163,-1.3132475423700987,-1.3083293907768965,-1.3099582802162237,-1.313389257342597,-1.3235764750653536,-1.3235590573832992,-1.3215112854879825,-1.3233036505785796,-1.3251718184936327,-1.328124649008244,-1.3302321384090523,-1.3187470755890958,-1.3160157883798371,-1.3120992864010979,-1.3094924206821263,-1.3083130118798252,-1.315099993396646,-1.314568764909808,-1.3108973904533112,-1.3132583191021676,-1.3353095847650434,-1.3397834024459268,-1.3382350602995634,-1.3426812799891585,-1.3480902918603321,-1.347132216008109,-1.3493226357800554,-1.346669446836707,-1.3443683655583796,-1.3450422265893485,-1.3499413731399854,-1.3438541711288943,-1.3369077705354417,-1.3393873446804834,-1.3284600466240688,-1.3295551432205128,-1.3411629567981138,-1.3381753359729958,-1.3370738732394554,-1.3402390153083947,-1.3311802362665879,-1.3259675732090843,-1.3220729790721182,-1.3308024147002593,-1.3303831510414368,-1.3317400174208667,-1.3490239802807213,0
-1.28028052831867,-1.2846228441009209,-1.285311717071875,-1.3227254178524286,-1.3173613745887556,-1.3142814180503335,-1.3180380547071302,-1.3193866808829264,-1.3189989024451017,-1.3003563098158126,-1.30843551892488,-1.3073997311406087,-1.3108723264433935,-1.3058996742477302,-1.3075377972153484,-1.3109652686812439,-1.321188819892234,-1.3211367407766375,-1.3191300817405753,-1.3209146543953547,-1.3227949108935568,-1.3257502427987704,-1.327880865028672,-1.3163618276335916,-1.3135787376983286,-1.3096864179781418,-1.3070624518276968,-1.3058759592153617,-1.3126493322158215,-1.312084375554941,-1.3080901473513156,-1.3104165557087781,-1.3324819450572845,-1.3369093187353909,-1.335357615194683,-1.3397147341313245,-1.3450817379525257,-1.344176063728686,-1.3463068155910694,-1.3436935215652324,-1.3413699356775532,-1.3420477096641712,-1.3468957748492207,-1.3408442677729273,-1.3338360848528485,-1.3363000790838522,-1.3253770485458434,-1.3264790114043041,-1.3380584224322274,-1.3350690645370866,-1.333956593636837,-1.3370738732394554,-1.3280629241827415,-1.3230085124627704,-1.3190865160548662,-1.3277725177895088,-1.3273597682378762,-1.328739034423202,-1.3459486220108405,-1.3702474926490291,1
-1.2825519405567265,-1.2833055519971674,-1.320628122778502,-1.3153607079444218,-1.312147217192601,-1.3157993290236811,-1.3171133816367653,-1.3167302220368842,-1.2981183446699085,-1.3061878100495783,-1.3050270118845553,-1.3085068770256196,-1.303531661255595,-1.305108872297341,-1.3085437806998155,-1.318757048279431,-1.3187514565954723,-1.3167121379140505,-1.3185340326821153,-1.3204064130942272,-1.3233727728183924,-1.325506695722923,-1.3140239620079992,-1.3111985891961846,-1.3072557120725667,-1.3046545962935632,-1.3034496146599173,-1.3102079176774755,-1.3096367600543741,-1.305612374266546,-1.3076098360495654,-1.3296191944308628,-1.3340799491947677,-1.332488337640455,-1.3368356822931655,-1.3421125357486379,-1.341171858529758,-1.3433515713903879,-1.3406839513166298,-1.3384000108531968,-1.3390519289318605,-1.3438991464616215,-1.3378091436088397,-1.330837735179826,-1.3332291000105285,-1.3223061376192145,-1.3233983216566978,-1.334972415277548,-1.331971624712314,-1.3308552635682023,-1.333956593636837,-1.3249118986468988,-1.319900677345394,-1.316135207067627,-1.324779600873035,-1.3243338344000346,-1.3257175367173908,-1.3429314176303455,-1.3671476640385678,-1.3591393475435605,1
-1.2812357697855705,-1.3185926839805922,-1.3132696321498198,-1.310150726609426,-1.313663815453519,-1.314875501698789,-1.3144593789893761,-1.2958689660835343,-1.3039444602538257,-1.3027824546128812,-1.306133065574749,-1.3011734057674786,-1.302741634508926,-1.3061138497759608,-1.316327784055038,-1.3163221171549977,-1.3143311536674471,-1.3161166773418895,-1.3180262871878716,-1.3209837089199643,-1.3231294625342511,-1.3116632585253234,-1.3088657146220548,-1.3048818023216346,-1.302228934457003,-1.3010453547870653,-1.3077772317754404,-1.307198375841007,-1.3031712952860501,-1.3051325534813718,-1.3267915705363253,-1.3312154539606795,-1.329663748618676,-1.3339647996411084,-1.3392308802098716,-1.3382069829972527,-1.340348282202748,-1.3377348932086728,-1.335396317928291,-1.336084628703713,-1.3409012522186192,-1.3348228662225188,-1.327814132228888,-1.3302314503624637,-1.3192514303705645,-1.3203297205617086,-1.331881828894069,-1.3288926864996498,-1.3277627294724672,-1.3308552635682023,-1.3218087864901322,-1.3167591148323259,-1.3130353431061945,-1.321821878420406,-1.3213448112927184,-1.322693493367963,-1.3398936473381824,-1.3641062575786786,-1.356052326431181,-1.37985204108005,1
