0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,transaction
-1.1743180260451744,-1.1747687372057922,-1.1710528342753204,-1.1667037270766483,-1.1715621063528125,-1.1727785567397397,-1.1754083947153473,-1.1751227966665734,-1.1762161141569896,-1.1766559089663537,-1.18111030030398,-1.1820119997439305,-1.1837293322350133,-1.1856193103190145,-1.1861613387157706,-1.1886392423406735,-1.1877915182926078,-1.1895861430486172,-1.1905125129033247,-1.1912372072000559,-1.1915509284542571,-1.1937755401527093,-1.194816851042043,-1.196952295198368,-1.1986622435603156,-1.20007555132452,-1.2018042887390779,-1.2032775615128308,-1.2051239965429408,-1.2063165183701705,-1.2072659676648303,-1.2088057603773859,-1.2099699410020355,-1.2103002189167082,-1.2105329369779647,-1.2122668555244815,-1.213549363618308,-1.2144817024603916,-1.216291639884872,-1.2192496669706065,1
-1.1735544747204676,-1.1698575281320105,-1.1655202102064273,-1.17034554638049,-1.1715621063528125,-1.1741639504412125,-1.1738763220035684,-1.1749768039161985,-1.1754127103976144,-1.1796886121820702,-1.1805984430491645,-1.1823412542728537,-1.184168605617315,-1.184703579241525,-1.1871143037507483,-1.1862185850743312,-1.188048428194511,-1.188961805286597,-1.1897775071353065,-1.190097223127854,-1.1923236657716407,-1.1933336962276246,-1.1955168887476813,-1.197173498597265,-1.1985884613305167,-1.2002601263450674,-1.2017304094207122,-1.2035732765860878,-1.2047910939294768,-1.2057242994770025,-1.2072659676648303,-1.2084721919830426,-1.2088944074560826,-1.2091126876357599,-1.210830005437653,-1.2121182275515487,-1.2130660187027986,-1.2148165346224507,-1.2177807437411994,-1.2183183782108375,0
-1.1686459304902095,-1.164327870508197,-1.169160094462278,-1.17034554638049,-1.1729467477969884,-1.1726327258237952,-1.1737304103167325,-1.1741738437891358,-1.1784437336716198,-1.179177071880624,-1.1809274941415462,-1.1827802603114181,-1.1832534527375198,-1.185655939562114,-1.1846952386619582,-1.1864753214510644,-1.187424504147032,-1.188227290272455,-1.1886382481948785,-1.1908694704025715,-1.1918821015902787,-1.1940332824423419,-1.195737953286304,-1.197099764130966,-1.198772916905014,-1.2001862963368486,-1.202025926694175,-1.2032405971286737,-1.2041992670610961,-1.2057242994770025,-1.2069326218748406,-1.207397360490159,-1.2077076118191692,-1.209409570455997,-1.210681471207809,-1.2116351866395174,-1.2134006421058434,-1.2163046775649369,-1.2168500538309948,-1.2180576173581021,1
-1.1631192732828075,-1.1679658031554427,-1.169160094462278,-1.1717294377159495,-1.1714163546218466,-1.1724868949078506,-1.172927896039134,-1.1772031933594171,-1.1779324767338357,-1.179505919217268,-1.181366228931388,-1.1818656643977425,-1.1842052117325068,-1.1832384095175414,-1.1849518061713753,-1.1858518188218552,-1.18669047585588,-1.1870887920005353,-1.1894100042512976,-1.19042818624559,-1.1925812448774353,-1.194254204404884,-1.195664265106763,-1.1972841002967134,-1.1986991346752152,-1.2004816163697245,-1.2016934697615294,-1.2026491669821595,-1.2041992670610961,-1.2053911763495957,-1.2058585076626516,-1.2062113395324945,-1.2080043107283975,-1.2092611290458786,-1.2101987349608156,-1.211969599578616,-1.2148878572304875,-1.215374588225883,-1.2165894606561374,-1.2178713596061486,1
-1.1667552319718877,-1.1679658031554427,-1.1705432504795015,-1.170199873608336,-1.1712706028908808,-1.171684824870156,-1.1759555635409826,-1.1766922187331048,-1.1782611419081257,-1.1799443823327933,-1.1804521981192173,-1.1828168441479652,-1.1817892081298473,-1.1834948142192385,-1.1843287136485054,-1.185118286316903,-1.1855527320045947,-1.1878600327653843,-1.1889690007904867,-1.1911268861608106,-1.1928020269681163,-1.1941805637507035,-1.195848485555615,-1.1972103658304145,-1.198994263594411,-1.200149381332739,-1.2011024352146031,-1.2026491669821595,-1.2038663644476322,-1.204317779605729,-1.2046732781871325,-1.2065078447719106,-1.2078559612737836,-1.2087786944629932,-1.2105329369779647,-1.2134558793079435,-1.213958347777585,-1.215114163210948,-1.2164033226740967,-1.2183556297612284,1
-1.1667552319718877,-1.169348217561396,-1.169014499092044,-1.1700542008361825,-1.1704689683705685,-1.1747108163760043,-1.1754448726370563,-1.1770207024214485,-1.178699362140512,-1.1790309175087825,-1.1814027901638748,-1.1804023109358617,-1.18204545093619,-1.1828721170865457,-1.1835956636215992,-1.1839813109342272,-1.1863234617103042,-1.1874193237568993,-1.1896672562701038,-1.1913475282393011,-1.1927284329378893,-1.194364665386155,-1.1957747973760742,-1.1975053036956105,-1.1986622435603156,-1.1995587412669868,-1.2011024352146031,-1.2023164875247454,-1.2027936782486923,-1.2031333418193932,-1.2049695855560123,-1.2063595921522026,-1.2073738255462876,-1.2091126876357599,-1.2120182792764063,-1.212526954477114,-1.2136980851307722,-1.2149281453431373,-1.216887281427403,-1.211799356892455,0
-1.1681368962737382,-1.1678202858495528,-1.16886890372181,-1.1692530005893373,-1.1734933167881103,-1.1742004081701987,-1.1757731739324377,-1.1774586806725735,-1.1777864033230405,-1.1799809209257537,-1.178989748819744,-1.1806583977916907,-1.1814231469779293,-1.1821395322245538,-1.1824594360798948,-1.184751520064427,-1.185883044735613,-1.1881171130203338,-1.1898877580005094,-1.1912739808798045,-1.1929124180134567,-1.1942910247319745,-1.1960695500942378,-1.197173498597265,-1.1980719857219233,-1.1995587412669868,-1.2007699782819574,-1.2012445203841886,-1.2016100245119312,-1.2034294512659771,-1.2048214318715726,-1.2058777711381514,-1.2077076118191692,-1.2105971017369457,-1.2110899403398805,-1.2122668555244815,-1.2135121832401918,-1.2154117917994451,-1.210335224459563,-1.2122091239467532,0
-1.1666097936243245,-1.167674768543663,-1.1680681291855228,-1.1722757106115258,-1.1729831857297297,-1.1745285277310737,-1.176210908992946,-1.1765462259827297,-1.1787358804932109,-1.1775693737903647,-1.1792456774471518,-1.1800364725703916,-1.180691024674093,-1.1810040256884666,-1.1832291386081462,-1.1843114005614557,-1.1865803716122074,-1.1883374675245764,-1.1898142574237076,-1.1914578492785464,-1.1928388239832297,-1.1945855873486975,-1.195737953286304,-1.1965836228668727,-1.1980719857219233,-1.1992265062300014,-1.1996987281656541,-1.2000616600911604,-1.2019059379461214,-1.2032813965426852,-1.204339932397143,-1.2062113395324945,-1.2091911063653111,-1.2096693429237046,-1.210830005437653,-1.2120810705583156,-1.213995528155701,-1.2088639628525069,-1.210744728020053,-1.2122836270475348,0
-1.1664643552767613,-1.166874423361269,-1.1710892331178788,-1.1717658559089879,-1.173311127124403,-1.1749660204789074,-1.1752989609502205,-1.1774951788601673,-1.176325669215086,-1.1778251439410878,-1.178624136494876,-1.179304795839451,-1.179556235103147,-1.181773239793558,-1.1827893085920025,-1.1850082564411601,-1.186800580099553,-1.1882640160231623,-1.189998008865712,-1.1913843019190495,-1.1931332001041377,-1.194254204404884,-1.1951484478499768,-1.1965836228668727,-1.1977399656878278,-1.1981559711108254,-1.1985166590718024,-1.2003573751644174,-1.2017579812290264,-1.2028002186919864,-1.2046732781871325,-1.2076938657295753,-1.2082639222739726,-1.209409570455997,-1.210644337650348,-1.2125641114703472,-1.2074517816072672,-1.2092732021616903,-1.2108191832128694,-1.2131031611561314,0
-1.1656644443651636,-1.1698939074584829,-1.17057964932206,-1.1720936196463339,-1.1737483823173007,-1.174054577254254,-1.1762473869146548,-1.1750862984789796,-1.176581297683978,-1.1772039878607605,-1.1778929118451391,-1.1781706969064933,-1.180324963522175,-1.181333688876363,-1.1834857061175634,-1.1852283161926458,-1.1867271772704377,-1.1884476447766976,-1.1899245082889103,-1.191678491357037,-1.1928020269681163,-1.1936650791714378,-1.1951484478499768,-1.1962518177685273,-1.196670123355742,-1.196974690979321,-1.1988121763452653,-1.2002095176277892,-1.2012771218984672,-1.2031333418193932,-1.2061548150315315,-1.2067672868564,-1.2080043107283975,-1.209224018693349,-1.2111270738973414,-1.2060244806613072,-1.207860765766544,-1.209347609308815,-1.2116381903338493,-1.2126188910010516,0
