0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,transaction
-1.1782759243338354,-1.178787473132455,-1.175139196000508,-1.1708503111063733,-1.1757104796668503,-1.1769520621088139,-1.1795448726815083,-1.1792372059591272,-1.1803185298012644,-1.1807348222280913,-1.184962546579979,-1.1856689581988467,-1.1872615507932263,-1.188954142296217,-1.1893242429852917,-1.1915545062596744,-1.1904197210756537,-1.1919525672639801,-1.192791049873591,-1.1934997695916687,-1.1937771240596817,-1.1960211970637773,-1.1970630585080058,-1.199313406717379,-1.2011367101825965,-1.2026376831446144,-1.2044091806784443,-1.205832565885541,-1.2076213152931043,-1.208785231090081,-1.2097193506753874,-1.2111940363449687,-1.2123884955780306,-1.2128392577175704,-1.2132329404150708,-1.215105930070421,-1.2165390720284766,-1.217611059365619,-1.2195157944090171,-1.2225736409161574,-1.2231788273587778,-1.224356893606283,-1.2256272674029547,-1.2275879078263958,-1.2224998516689252,-1.224342062614751,-1.2259124354281359,-1.2282216410807814,-1.2292407134476957,-1.230983004457848,0
-1.1775142991540455,-1.173888536476345,-1.1696202725791,-1.1744831817670913,-1.1757104796668503,-1.1783340740354977,-1.1780165577750732,-1.17909157256995,-1.179517106482624,-1.1837600234274295,-1.184451996701123,-1.1859973479295682,-1.1876996506651032,-1.1880409228592552,-1.1902745343177963,-1.189140852777094,-1.1906758607359755,-1.1913301597208945,-1.192058338333357,-1.1923633496201917,-1.1945474353937398,-1.1955807361717101,-1.1977609058788365,-1.1995339275208763,-1.2010631525812827,-1.2028217022009695,-1.2043355226524246,-1.20612739046257,-1.2072894212934484,-1.2081948117774974,-1.2097193506753874,-1.2108614902781265,-1.2113162454307653,-1.211655299304848,-1.2135291323870758,-1.2149577329163717,-1.2160571012660777,-1.217944956934863,-1.221000795413852,-1.2216448817593315,-1.2229186006274897,-1.2241708994467861,-1.2261111623415637,-1.221032463863513,-1.222909832146623,-1.2244166516228872,-1.2267334526168343,-1.2277361777245213,-1.2294275533058379,-1.232216983950726,1
-1.1726181372839661,-1.1683726966857622,-1.173251143251079,-1.1744831817670913,-1.1770917261517495,-1.1768065871691629,-1.1778710039744604,-1.1782905889294741,-1.182540658093858,-1.1832497485263362,-1.1847802073375306,-1.1864352009038635,-1.186786942598693,-1.1889906710736955,-1.1878622563198997,-1.1893968463282767,-1.190053807275194,-1.1905979155525581,-1.1909226354459947,-1.1931331825040956,-1.1941072574885638,-1.1962781325841498,-1.1979812787327833,-1.1994604205863773,-1.2012470465845673,-1.2027480945784275,-1.2046301547565035,-1.2057957128134127,-1.2066993875162817,-1.2081948117774974,-1.2093870192916103,-1.209789952951634,-1.2101330728544728,-1.2119512889080286,-1.2133810364010733,-1.2144760921657112,-1.2163907733323538,-1.219428946131503,-1.2200726697858304,-1.2213848291954201,-1.2227327243908557,-1.2246544842614782,-1.219559969326548,-1.2214421791111931,-1.222984374051659,-1.2252371307123837,-1.2262483060962397,-1.227922894400006,-1.2306606963695765,-1.231319544319542,0
-1.1671054216969141,-1.172001538653251,-1.173251143251079,-1.1758636726181642,-1.1755650853000186,-1.176661112229512,-1.1770704580710896,-1.1813124817549054,-1.1820306614365415,-1.183577782391325,-1.1852178215194071,-1.185523007207415,-1.1877361589877595,-1.1865797717601159,-1.1881181039863433,-1.1887751477039759,-1.1893219796742744,-1.189462937091637,-1.1916919825632402,-1.1926932779990078,-1.1948042058384258,-1.1964983630301833,-1.197907821114801,-1.1996441879226247,-1.2011734889832535,-1.2030425250685957,-1.2042986936394147,-1.2052060636593547,-1.2066993875162817,-1.2078627009141694,-1.208316173721662,-1.2086075669361942,-1.2104288659985458,-1.2118032941064383,-1.212899724446565,-1.214809535762322,-1.2178737602935812,-1.2185014528836031,-1.2198127946099842,-1.221199077364055,-1.2232160026061047,-1.2181074898471866,-1.2199694188899863,-1.2215166727925897,-1.223804335007055,-1.2247523021594993,-1.2264349009118531,-1.2291552244582045,-1.2297638650504938,-1.2315812975453038,1
-1.170732208267343,-1.172001538653251,-1.174630874106431,-1.1743378669406626,-1.1754196909331873,-1.175861000061432,-1.1800906994338065,-1.1808027648927846,-1.1823585164305308,-1.184015160877976,-1.1843061253071643,-1.1864716886517215,-1.1853266096924364,-1.1868354732024653,-1.187496759653552,-1.1880437375577393,-1.1881876468928494,-1.1902317934683901,-1.1912523556391,-1.193389793465397,-1.1950242947910137,-1.1964249528815056,-1.1980914651597563,-1.1995706809881257,-1.2014677193885088,-1.2027112907671564,-1.2037094294312567,-1.2052060636593547,-1.2063674935166258,-1.2067925659101115,-1.2071345510237879,-1.2089031634400542,-1.2102809694265095,-1.2113223110012699,-1.2132329404150708,-1.2162915073028164,-1.216946893442814,-1.2182417547741908,-1.2196271694843799,-1.2216820321256046,-1.2166731590765785,-1.2185166769980795,-1.2200438642651572,-1.2223361032879498,-1.223319812624321,-1.2249387746798395,-1.227666426694901,-1.2282589844158782,-1.230025440851893,-1.2296368450110717,0
-1.170732208267343,-1.1733804986008967,-1.1731059084241997,-1.1741925521142338,-1.174620021915614,-1.1788796050591888,-1.1795812611316614,-1.181130440018434,-1.1827956564225166,-1.1831039556974527,-1.1852542893678968,-1.1840634972930972,-1.1855821679510312,-1.1862144839853312,-1.1867657663208557,-1.1869100518310727,-1.188956065873815,-1.1897924469673884,-1.1919484316023221,-1.1936097457179409,-1.1949509318068179,-1.1966084782532,-1.1980180075417743,-1.199864708726122,-1.2011367101825965,-1.2021224297868198,-1.2037094294312567,-1.2048743860101971,-1.2052980572955114,-1.2056117272849445,-1.2074299566982565,-1.2087553651881242,-1.2098003055673905,-1.211655299304848,-1.214713900275097,-1.2153652750900077,-1.216687370724599,-1.218056256124611,-1.2201097948109512,-1.2151435676615507,-1.2170820867971737,-1.2185910746618784,-1.220862763392034,-1.2218518943588732,-1.2235061673869112,-1.2261694933140845,-1.226770771579957,-1.2285203877615567,-1.228082306327214,-1.2298238116009017,1
-1.172110387164106,-1.1718563849745514,-1.1729606735973208,-1.1733933205688758,-1.1776369550273675,-1.1783704427704105,-1.1799087571830404,-1.181567340185966,-1.1818849481058797,-1.1840516090851971,-1.1828474113675758,-1.1843189115281028,-1.1849615264658724,-1.1854839084357616,-1.1856327266551772,-1.187678032484621,-1.1885169693132631,-1.1904880789273078,-1.1921682450643922,-1.1935364283004262,-1.1951343392673075,-1.1965350681045221,-1.198311838013703,-1.1995339275208763,-1.2005482493720856,-1.2021224297868198,-1.2033779683141679,-1.203805646918467,-1.2041179897411785,-1.2059069369412363,-1.2072822538610224,-1.208275020869352,-1.2101330728544728,-1.2131352473207513,-1.2137883003625807,-1.215105930070421,-1.216501997354446,-1.218538552613519,-1.2135757903896784,-1.2155522216905539,-1.2171564372918275,-1.2194094489636649,-1.220378868453425,-1.2220381285623643,-1.224736108820005,-1.2252744252164518,-1.2270320043218155,-1.2265785343365165,-1.2282691461853563,-1.2280289323385336,1
-1.170587136804526,-1.171711231295852,-1.1721618820494852,-1.1764086032172716,-1.1771280747434574,-1.1786977613846252,-1.1803454185848792,-1.1806571315036072,-1.1828320847551819,-1.181646027408615,-1.1831026863070038,-1.183698619814518,-1.184231360012744,-1.1843515163339289,-1.186400269654508,-1.1872391863968792,-1.1892122055341368,-1.1907077521778087,-1.1920949739103688,-1.1937197218442126,-1.1950609762831117,-1.1968287086992335,-1.1979812787327833,-1.1989458720448833,-1.2005482493720856,-1.2017911954853806,-1.2023099269368815,-1.2026263486103514,-1.2044130066297616,-1.2057593321130904,-1.206802219640011,-1.2086075669361942,-1.2116120385748388,-1.2122102798108116,-1.2135291323870758,-1.2149206836278594,-1.2169839681168448,-1.2120090001483035,-1.2139841656660078,-1.2156265224231,-1.2179742927330182,-1.2189258641489729,-1.2205649818913515,-1.2232672743054047,-1.223841605959573,-1.225535486744928,-1.2250914182394372,-1.2267652510120013,-1.226475483547191,-1.2244017804958311,1
-1.170442065341709,-1.1709128860630043,-1.1751755047072279,-1.1759000013247711,-1.1774552120688284,-1.179134186203578,-1.1794357073310486,-1.1816037485332604,-1.1804278147992606,-1.1819011648591615,-1.1824827328826788,-1.182968864857359,-1.1830996020103952,-1.185118620660977,-1.1859616736548904,-1.1879340260358038,-1.1894317538144126,-1.1906345277609751,-1.192278151795427,-1.1936464044266981,-1.1953544282198956,-1.1964983630301833,-1.1973936177889255,-1.1989458720448833,-1.2002172401661735,-1.2007238849585207,-1.2011313985205658,-1.2029211731873803,-1.2042654981854701,-1.2052796164216164,-1.2071345510237879,-1.210085549455494,-1.21068768499961,-1.2119512889080286,-1.2133440124045727,-1.21540232437852,-1.2104588254874442,-1.2124170971773793,-1.2140584157162497,-1.2164438304811067,-1.217491014517769,-1.21911185830847,-1.2217933305816668,-1.222373350128648,-1.224102502627199,-1.2235961725333904,-1.2252780130550505,-1.2249727709273488,-1.2228507902992323,-1.2211111685148228,1
-1.1696441722962143,-1.17392482489602,-1.1746671828131507,-1.1762269596842359,-1.1778913951693228,-1.1782249678307597,-1.1803818070350323,-1.1792007976118328,-1.180682813127919,-1.1812815453364056,-1.1817533759128842,-1.181837744673763,-1.18386627678618,-1.1846802753312353,-1.1866561173209516,-1.1881534490796748,-1.1893585710543206,-1.190817588803059,-1.1922048806414038,-1.1939396740967565,-1.1950242947910137,-1.1959110818407603,-1.1973936177889255,-1.1986150908396376,-1.1991506549471225,-1.1995461629978477,-1.2014260306246447,-1.202773760898866,-1.2037860957415223,-1.2056117272849445,-1.2086115793961305,-1.2091618103809318,-1.2104288659985458,-1.2117662954060409,-1.2138253243590813,-1.208881649600346,-1.2108666469017815,-1.2124912966372114,-1.2148751662689086,-1.2159608757195572,-1.2176768907544033,-1.2203394197611495,-1.2208999860796192,-1.2226340780135354,-1.222164413096263,-1.2237826450537306,-1.2234867028251626,-1.2213504674229472,-1.2195624087959294,-1.2195406491602507,1
