0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,transaction
-1.2601792613066656,-1.2562246727114288,-1.2526592418885891,-1.2245198270177262,-1.2661206632304487,-1.2996000164287427,-1.3006055584271083,-1.3027063246539305,-1.3077642629480624,-1.3091759493086035,-1.3481302798683976,-1.3435491569873033,-1.341106894255265,-1.345620778996836,-1.347654341375254,-1.3479362706852942,-1.3295216878840492,-1.3384415517063828,-1.3379082985440083,-1.3420372151677225,-1.337574400294933,-1.3397737161442296,-1.3437268405941625,-1.3546906943819939,-1.355194255005451,-1.3536632220228577,-1.356039681290794,-1.3585560607267582,-1.362217822570936,-1.3650893090744618,1
-1.253719996533243,-1.2501264491606454,-1.2220176444091146,-1.263615099174115,-1.2968992389921228,-1.2978293174089748,-1.299881576213285,-1.305030444901767,-1.3064161768770126,-1.3453251384000082,-1.3405905032952017,-1.3382094751046387,-1.3426616876895134,-1.3446734745493036,-1.3449324018265072,-1.3265372617987736,-1.3354990377845708,-1.3349472838945093,-1.339043412482403,-1.3345103161456144,-1.336763441910193,-1.3408054302276105,-1.3517185840255739,-1.3521905473910953,-1.3506550600707976,-1.353051661236252,-1.3555181457808114,-1.3591491170248253,-1.361967835037511,-1.3508637568142672,1
-1.247627547393836,-1.2195138638484513,-1.2610760789273192,-1.2943658056357161,-1.2951302598671262,-1.2971060741473797,-1.3022033122783048,-1.3036837324523036,-1.3425282062276873,-1.337793129866262,-1.335256675390632,-1.339762583620902,-1.3417154130499978,-1.3419545151762984,-1.3235569238285882,-1.3325080361667965,-1.3320085121625496,-1.3360811667828603,-1.3315246874845208,-1.3337002462957015,-1.3377940348574666,-1.3487885293645907,-1.3492211642032579,-1.3476563825092962,-1.350044177761835,-1.3525307020476618,-1.3561105420937807,-1.3588994091098496,-1.3477583163762519,-1.3455682793435588,1
-1.2170439491562257,-1.2585353169450213,-1.2917978104429473,-1.2925984282810694,-1.2944077190977616,-1.2994254404690473,-1.3008579813445715,-1.339758965737716,-1.3350039402599936,-1.3324647972685066,-1.3368080812093501,-1.338817334452117,-1.3389994094386448,-1.3206024405934274,-1.3295211325828828,-1.3290213503843442,-1.333141180717808,-1.3285705959679417,-1.3307154973502195,-1.334729710063299,-1.3457684589740757,-1.3462938108842843,-1.3446919452034642,-1.347046177142026,-1.3495237965356814,-1.3531224437347016,-1.3558611120672674,-1.3447057842154422,-1.3424688074303772,-1.3390897091618867,1
-1.2560284528164858,-1.2892279604206254,-1.290032098404947,-1.291876541755932,-1.2967248325995173,-1.2980814826840903,-1.336896207099338,-1.332242366561022,-1.3296810849485294,-1.334014604713389,-1.3358638683322486,-1.33610427415351,-1.317670546546199,-1.3265601193018006,-1.326038280847847,-1.330152772919373,-1.3256386533567404,-1.3277622834138698,-1.3317438431458941,-1.3426953969207764,-1.3432764514376356,-1.3417694909284745,-1.344082405450221,-1.346526372569907,-1.3501148817327797,-1.3528732893401585,-1.3416832826056764,-1.3394221917417544,-1.3359975392355854,-1.3339392743071863,1
-1.2866920334103857,-1.2874639201992806,-1.2893108920795666,-1.2941915571641314,-1.2953821802120005,-1.334082925039056,-1.329387318774357,-1.3269249349306675,-1.3312292992610546,-1.333071364634726,-1.3331537824047572,-1.314798525189834,-1.323621748703861,-1.3230810808440499,-1.327168459242188,-1.3226584989002224,-1.3248312064658632,-1.3287895139513362,-1.3397008794665228,-1.340206119777815,-1.3387570479393454,-1.3411606104858236,-1.3435631678826434,-1.3471168027632379,-1.3498660037550543,-1.3387111270503325,-1.3364055699992226,-1.332958161851818,-1.3308529094284003,-1.3302449535582874,0
-1.2849296635597378,-1.2867433967285906,-1.2916237261575105,-1.2928501205178031,-1.3313486540648218,-1.3265817008661118,-1.3240753419947715,-1.3284715717025253,-1.3302870287907744,-1.3303640708396263,-1.311871391272215,-1.320743278074346,-1.3201464922844008,-1.324210021837569,-1.3196824261153157,-1.32185194026139,-1.3258573368896862,-1.3367379207330436,-1.3372143056163264,-1.3356916680100708,-1.3381488291507904,-1.340641934553195,-1.3441529540327724,-1.3468682005765722,-1.3357195532484276,-1.3334392465657952,-1.3299487336310687,-1.3278192864652183,-1.3271627525429592,-1.33467017533295,1
-1.2842098223531353,-1.289054040962183,-1.290283553483911,-1.3287840275468659,-1.3238547158936713,-1.321275145900767,-1.3256203921599041,-1.327530261351251,-1.3275825179719472,-1.3091036064117147,-1.3178096268296788,-1.3172717877642064,-1.3212742060140892,-1.3167321849597042,-1.3188767543886568,-1.322876941864906,-1.3337972313166457,-1.33425404361376,-1.3327047564303767,-1.335084115622636,-1.3376307168494288,-1.3412310827592786,-1.3439046230221918,-1.3327374262845106,-1.3304535214924618,-1.3269895453070535,-1.3248155770627077,-1.3241332571293853,-1.3315829866566975,-1.3315958406681618,1
-1.2865182786363782,-1.2877151371948086,-1.3261836016806223,-1.3212968749662262,-1.3185533152295585,-1.322818619068233,-1.3246800474453977,-1.324828506272225,-1.306343908345369,-1.315035723956579,-1.3143419423695277,-1.3183982793989826,-1.3138044982402135,-1.315927395340562,-1.3199006288746191,-1.330808101813424,-1.3313160143082208,-1.3297493851092965,-1.3320978638296508,-1.3345665709963028,-1.3382192248439102,-1.340983020356717,-1.3297892626253274,-1.327477230016654,-1.3240109756599758,-1.3218620611193537,-1.3211336497395154,-1.3285485470805447,-1.328512117069968,-1.324997823626248,0
-1.2851806426777488,-1.323581194402494,-1.318703503892099,-1.3160002745997963,-1.3200952892086244,-1.3218792341422527,-1.3219810639432898,-1.3036115375581054,-1.3122699279401686,-1.3115716121632603,-1.315467199013625,-1.3109366664914053,-1.3130005835022178,-1.3169501488148887,-1.3278230675200982,-1.3283296143295122,-1.326816180072603,-1.3291431506937426,-1.3315808812438472,-1.3351544341859967,-1.3379714320041285,-1.3268829278838448,-1.324534804196906,-1.3210418234118324,-1.3188891800047378,-1.3181842024999044,-1.3255440261174116,-1.325481112352265,-1.3219215366433144,-1.3245086602938305,0
