price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,transaction
0.47851280876467195,0.6570539167463987,0.6865524815718194,0.7402131874351477,0.9868610777958953,1.0,0.8585847696308971,0.6823884539194417,0.6049429299122724,0.6558680447936178,0.4446346032045494,0.5220936030293639,0.5732478068106783,0.49398304742140237,0.5004244882558249,0.1865322678453516,0.1458487743743853,0.1844300402926948,0.20228549867263199,0.3763661110137859,0.2013017639845299,0.11118897139083918,0.10269920627434073,0.16886547091244763,0.15538965326721202,0.14353093373940468,0.17982131065802434,0.22639373643995847,0.1603757057959492,0.0,0
0.6570539167463987,0.6865524815718194,0.7402131874351477,0.9868610777958953,1.0,0.8585847696308971,0.6823884539194417,0.6049429299122724,0.6558680447936178,0.4446346032045494,0.5220936030293639,0.5732478068106783,0.49398304742140237,0.5004244882558249,0.1865322678453516,0.1458487743743853,0.1844300402926948,0.20228549867263199,0.3763661110137859,0.2013017639845299,0.11118897139083918,0.10269920627434073,0.16886547091244763,0.15538965326721202,0.14353093373940468,0.17982131065802434,0.22639373643995847,0.1603757057959492,0.0,0.015470238656730643,0
0.7216524700650754,0.7693042269094809,0.9883323799790821,1.0,0.8744205082056276,0.7179547320276768,0.6491815912479686,0.69440408977007,0.5068246602030044,0.5756097677724779,0.6210357017205851,0.5506470443225959,0.5563671698302869,0.27762473583311587,0.2414969975324479,0.27575791662976895,0.2916139130684523,0.4462009032532915,0.2907403374156042,0.21071841425675453,0.20317933670477678,0.2619362744511431,0.249969484686099,0.23943870969286024,0.271665274530124,0.3130224999581161,0.2543971968991653,0.11198043190537602,0.12571830655564672,0.0,0
0.7783182406209574,0.9887882708063821,1.0,0.8793272962483828,0.728975132959609,0.6628891763691246,0.7063446888026448,0.5260945809975563,0.5921920367974702,0.6358430357912894,0.5682046859278425,0.5737013080350725,0.3058502227971827,0.27113410952996986,0.3040563461262038,0.31929279862009485,0.46783958602846065,0.31845335633175226,0.24155814287767713,0.2343136409371855,0.29077475923530255,0.2792755498059508,0.2691562455081213,0.3001236165013656,0.339864884289205,0.28353025729481096,0.14667816587609595,0.15987925830099184,0.03907316371999435,0.0,0
0.9887882708063821,1.0,0.8793272962483828,0.728975132959609,0.6628891763691246,0.7063446888026448,0.5260945809975563,0.5921920367974702,0.6358430357912894,0.5682046859278425,0.5737013080350725,0.3058502227971827,0.27113410952996986,0.3040563461262038,0.31929279862009485,0.46783958602846065,0.31845335633175226,0.24155814287767713,0.2343136409371855,0.29077475923530255,0.2792755498059508,0.2691562455081213,0.3001236165013656,0.339864884289205,0.28353025729481096,0.14667816587609595,0.15987925830099184,0.03907316371999435,0.0,0.039575679172056906,0
1.0,0.8865512287040309,0.7451997245402427,0.683069927643165,0.7239240258638117,0.5544643832047386,0.6166049909243145,0.6576428731274305,0.5940536151930975,0.5992211883472306,0.34740469989697287,0.3147668267749479,0.34571821158725574,0.3600425513973528,0.4996967564289259,0.35925336135498526,0.2869613913096122,0.2801505731357547,0.33323171160185033,0.32242088910366384,0.31290736530525975,0.34202091029287607,0.3793831128466084,0.32642089342799285,0.19776129487707544,0.21017211910499364,0.09659794226804577,0.05986384850145782,0.0970703752112164,0.0,0
1.0,0.8626911690731157,0.8023382932538571,0.8420239584219409,0.6774108857811061,0.7377742632317932,0.7776384561341606,0.7158678600720623,0.7208876398948577,0.4762731390321487,0.4445687137496811,0.47463488452931163,0.4885495461719978,0.624209620964617,0.48778292707772164,0.41755851771572716,0.4109424899158084,0.46250550022946063,0.4520038688010182,0.44276243314398894,0.47104332658078446,0.5073369647974812,0.4558894724295419,0.3309095567996488,0.3429654296795008,0.23263949054485625,0.19695599711415168,0.23309841183827906,0.1388042632422947,0.0,1
1.0,0.9300411572728832,0.9760433265204513,0.7852298830286201,0.8552008988621798,0.9014100109192765,0.8298077988223737,0.8356265437020607,0.5520783753285217,0.5153277669775272,0.5501793707234355,0.566308736760225,0.7235609257890913,0.5654200999898963,0.4840185372064911,0.4763494801474893,0.5361194327819321,0.523946326339072,0.5132339926693552,0.5460161683199775,0.5880864241865016,0.5284503757229303,0.3835782359464528,0.3975529621428563,0.2696671750967458,0.22830417671455155,0.2701991398482987,0.16089681709785836,0.0,0.097230253091056,1
0.9528687221175277,1.0,0.8045031011358151,0.8761915333317537,0.9235348333692941,0.8501751677157606,0.8561367318406142,0.5656289637230093,0.5279763233612247,0.5636833486529733,0.5802086048568039,0.7413204989255467,0.5792981567791591,0.49589861848858136,0.4880413268595902,0.5492783139998229,0.5368064225252337,0.5258311580275953,0.559417961768664,0.6025208187048439,0.5414210223708317,0.3929930419317462,0.4073107733445747,0.27628607026913105,0.23390783022762446,0.27683109192657046,0.16484597837623455,0.0,0.09961673877498584,0.08306653878820607,1
1.0,0.8045031011358151,0.8761915333317537,0.9235348333692941,0.8501751677157606,0.8561367318406142,0.5656289637230093,0.5279763233612247,0.5636833486529733,0.5802086048568039,0.7413204989255467,0.5792981567791591,0.49589861848858136,0.4880413268595902,0.5492783139998229,0.5368064225252337,0.5258311580275953,0.559417961768664,0.6025208187048439,0.5414210223708317,0.3929930419317462,0.4073107733445747,0.27628607026913105,0.23390783022762446,0.27683109192657046,0.16484597837623455,0.0,0.09961673877498584,0.08306653878820607,0.16342168836983648,0
0.8711128937073002,0.9487368550411684,1.0,0.9205664334436652,0.9270215923715684,0.612460887543839,0.571690751971997,0.6103541829564897,0.6282476674323726,0.8026990126847925,0.6272618377216259,0.5369571353139057,0.5284492898649952,0.594756466300154,0.5812519497145819,0.5693679751192785,0.6057356382842242,0.652407247603961,0.5862486208512435,0.42553136896635063,0.4410345540065875,0.29916150456520185,0.2532745076590865,0.29975165193999126,0.1784945975181399,0.0,0.10786462532393953,0.08994413181488545,0.17695238172406758,0.24061132245679553,1
