0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,transaction
-1.1842239169272741,-1.1847212704387053,-1.181100442404785,-1.1768396189986674,-1.1816630788404452,-1.18290284205028,-1.1855126465758798,-1.1852022355974476,-1.1862724948860401,-1.1866801897970285,-1.1909068942338454,-1.1916548157526012,-1.1932798861824834,-1.1949974634363543,-1.1953658711230355,-1.1976015615086106,-1.1964896268659682,-1.1979988999871165,-1.198639815828859,-1.1991799257101743,-1.1993062575732922,-1.2013148180535564,-1.202124884622778,-1.2041185576949394,-1.2056276062476974,-1.2068734016456888,-1.2083745107793382,-1.2096168591901517,-1.2112313308354883,-1.212413064919579,-1.2133182727209006,-1.2147840516892991,-1.215983861314194,-1.2164521651080829,-1.2168788603948255,-1.2188259599469127,-1.2203014789268787,-1.2214573992307654,-1.2233303650661536,-1.2263486584830878,-1.2269683967496383,-1.2282821821903287,-1.229619187223463,-1.2316777353118846,-1.2267196130036333,-1.2287398791983852,-1.230430147297941,-1.2328687305218697,-1.2339805156571353,-1.2357795456924285,-1.2386233222999765,-1.2393018273410827,-1.2410375602827248,-1.2405902323123468,-1.242286238937341,-1.241993764459103,-1.2398435525767084,-1.2380785744371121,-1.2380140757041334,-1.233793970208796,1
-1.18346482936179,-1.1798386792341673,-1.1755999001392328,-1.1804604096924471,-1.1816630788404452,-1.1842802488683917,-1.1839894090923702,-1.1850570862588379,-1.1854737376723545,-1.1896953182440961,-1.1903980417344955,-1.191982119304538,-1.1937165433872452,-1.1940872404313119,-1.1963130442762118,-1.1951958159080827,-1.1967449292375545,-1.1973785314859928,-1.197909558026414,-1.1980473822584154,-1.2000738974953389,-1.2008759223353203,-1.2028201924215365,-1.2043382558707902,-1.2055543313022032,-1.2070566967714156,-1.208301149629851,-1.2099104761064685,-1.2109008171627569,-1.2118250963716388,-1.2133182727209006,-1.2144528894657545,-1.214916069310984,-1.2152731211511847,-1.2171738265578325,-1.2186783718614969,-1.2198214807481784,-1.2217899406783095,-1.2248093219924685,-1.2254236885101353,-1.2267092301316957,-1.2280969361894216,-1.230101148396871,-1.2251482363528647,-1.2271279873391405,-1.2288141810325734,-1.2312480409215034,-1.2323850897861022,-1.2341666606226616,-1.2370089641521245,-1.237728572160697,-1.2395629756831565,-1.2390963380380533,-1.2407770113289416,-1.2404919692160474,-1.238365443264838,-1.2365497279799804,-1.23650546472824,-1.23227965539925,-1.2274931496431225,1
-1.1785849807265334,-1.17434124321128,-1.1792186779455172,-1.1804604096924471,-1.1830397214589816,-1.1827578518588997,-1.1838443388558455,-1.1842587648964844,-1.1884872307967134,-1.1891867423614584,-1.1907251611983636,-1.1924185240404532,-1.192806840877325,-1.195033872356556,-1.19390868165661,-1.1954509707445022,-1.1961249091922732,-1.196648686190553,-1.1967776584326248,-1.1988145891128328,-1.1996352461113122,-1.201570840555861,-1.2030397633053551,-1.2042650231455068,-1.2057375186659387,-1.2069833787211248,-1.2085945942278005,-1.2095801570756122,-1.2103132373001229,-1.2118250963716388,-1.2129873238537303,-1.2133858111898876,-1.2137378160660626,-1.2155678821404092,-1.217026343476329,-1.2181987105838954,-1.2201537871795862,-1.2232679026673952,-1.2238849739135218,-1.2251646969177086,-1.22652411111888,-1.2285785757917802,-1.223576135587655,-1.2255563300378034,-1.2272022372183238,-1.2296315012086414,-1.2307647401439437,-1.2325711054537052,-1.2353952173951352,-1.236114841635982,-1.2379895409513202,-1.2376230165706086,-1.239282994023118,-1.2389839327696317,-1.2368660491542667,-1.235073770428804,-1.234977675331542,-1.2307748507887772,-1.2259830370252607,-1.2258804396173848,0
-1.1730906326335038,-1.1779579774368638,-1.1792186779455172,-1.1818363101560834,-1.1815181690911256,-1.1826128616675198,-1.1830464525549593,-1.187270613672636,-1.1879789307516408,-1.1895136840002971,-1.1911613204835205,-1.1915093475072962,-1.1937529314876418,-1.1926308836232438,-1.1941636898132344,-1.1948313089989118,-1.1953954738448833,-1.1955174259826211,-1.1975444291251918,-1.198376185196023,-1.2003297774693544,-1.2017902884149791,-1.202966573010749,-1.2044481049587157,-1.2056642437204446,-1.2072766509222879,-1.2082644690551072,-1.2089929232429784,-1.2103132373001229,-1.2114943640634226,-1.211920933059515,-1.2122083455061727,-1.214032379377293,-1.215420501645797,-1.2165470234614426,-1.2185307837760808,-1.2216307046525106,-1.2223441764242167,-1.2236261564514164,-1.2249797029231182,-1.2270054205522014,-1.222057916559849,-1.223983948888231,-1.2256305288896105,-1.2280189858893384,-1.2291485392864194,-1.2309506250583897,-1.2337988088598844,-1.2345017215606089,-1.2363756273698567,-1.2360509156495485,-1.2378095511006613,-1.237491096566498,-1.2353604198476933,-1.2335765546652284,-1.2335027447570603,-1.229250912112231,-1.224482411953289,-1.22437140256049,-1.2290308499002216,1
-1.1767053353262864,-1.1779579774368638,-1.1805938135119052,-1.180315578064696,-1.181373259341806,-1.1818154156149285,-1.1860566599628475,-1.1867625909875021,-1.1883056950663304,-1.1899496061854153,-1.19025265530611,-1.1924548911017796,-1.1913513168614522,-1.1928857460646556,-1.193544384290004,-1.19410229518057,-1.194264849056429,-1.1962837635428332,-1.197106274443725,-1.199070324730972,-1.2005491031613678,-1.2017171391286063,-1.2031495487472643,-1.2043748722334322,-1.2059573435024211,-1.2069467196959796,-1.2076775798592077,-1.2089929232429784,-1.2099827236273915,-1.2104286710702812,-1.210744225976243,-1.2125027119271012,-1.2138850977216777,-1.2149415150383072,-1.2168788603948255,-1.2200066646302399,-1.220707631231933,-1.2220855330761264,-1.2234412868356273,-1.2254606873090534,-1.22048923130108,-1.2224654577618446,-1.224058096761063,-1.2264467162594879,-1.2275363616746477,-1.2293342938718894,-1.2321774654937332,-1.2329059336553903,-1.2347623245123458,-1.2344383619182147,-1.236237321928565,-1.2360188196121555,-1.2338699704562457,-1.2320731091556254,-1.2320065686590964,-1.227779722667137,-1.2229627015184779,-1.2228718472513487,-1.2275197117474845,-1.2264805177664966,0
-1.1767053353262864,-1.1793323364425856,-1.1790739268332657,-1.1801707464369446,-1.180576255720548,-1.1848239620860672,-1.1855489141350108,-1.187089176999374,-1.1887413808192497,-1.1890414349664191,-1.191197667090617,-1.1900546650542447,-1.1916060335642298,-1.192266794421227,-1.192815789556791,-1.1929723237621401,-1.1950307561711884,-1.1958458563655692,-1.1978000193560474,-1.1992895266893768,-1.2004759945973633,-1.201900012344538,-1.2030763584526583,-1.2046678031345666,-1.2056276062476974,-1.2063601752936532,-1.2076775798592077,-1.208662604212122,-1.2089177351263674,-1.2092527339744008,-1.211038402747061,-1.2123555287166372,-1.2134064323409284,-1.2152731211511847,-1.218353691209861,-1.2190842390963905,-1.220449170674171,-1.221900787827491,-1.2239219478366796,-1.2189488986994688,-1.220896493129275,-1.2225395561622077,-1.224873723362215,-1.225964423722742,-1.2277219863726059,-1.2305602741359913,-1.2312852179043925,-1.2331663555900343,-1.232826416870872,-1.234624637442411,-1.2344478216500063,-1.2324000497291334,-1.2305848251191092,-1.2305041654162292,-1.226287333922473,-1.2214956199801625,-1.2213532190450769,-1.2260180666690927,-1.2249710805008698,-1.2253178663525925,0
-1.1780789223495438,-1.1778133080678403,-1.1789291757210145,-1.1793741724843132,-1.1835831330189301,-1.1843164964162367,-1.1858753221671916,-1.1875246250152032,-1.1878337021673344,-1.189985933034175,-1.1887987910222528,-1.1903092344835287,-1.1909874358574841,-1.191538616017193,-1.1916864677203116,-1.193737788271399,-1.1945930949627546,-1.196539209396237,-1.1980190966967807,-1.1992164593699086,-1.2006587660073742,-1.2018268630581654,-1.2033691196310827,-1.2043382558707902,-1.205041406683744,-1.2063601752936532,-1.2073474546865144,-1.2075982428904735,-1.2077425754010995,-1.2095467182483708,-1.2108913143616522,-1.2118771832826278,-1.2137378160660626,-1.2167469260973076,-1.217431921950464,-1.2188259599469127,-1.2202645559900556,-1.2223811254739438,-1.2174145373608944,-1.2193558854875675,-1.2209705407344016,-1.2233546385661989,-1.224391762188807,-1.2261499208522597,-1.2289471093791278,-1.2296686521257354,-1.231545456784617,-1.2312317926469643,-1.2330125618363985,-1.232836392410126,-1.230831539837086,-1.229117042000206,-1.2290169148445669,-1.2247887275084293,-1.2200073898979455,-1.2198871889352825,-1.2244973243419535,-1.2234711271404428,-1.2238092044913835,-1.2280182180235955,0
-1.176560747218575,-1.177668638698817,-1.1781330446036318,-1.1823794287601501,-1.1830759488963116,-1.184642724346842,-1.1863105328767658,-1.1866174416488924,-1.1887776879653262,-1.1875883610160247,-1.189053217271928,-1.189690994440982,-1.1902596738495477,-1.1904099394909404,-1.192451492190185,-1.193300379980394,-1.195286058542775,-1.196758162984869,-1.1979460709165364,-1.1993991276685794,-1.2005856574433698,-1.2021194602036562,-1.2030397633053551,-1.203752394068521,-1.205041406683744,-1.206030244067345,-1.2062837180189465,-1.206423775225206,-1.2080363653324164,-1.209399726111386,-1.210413277109073,-1.2122083455061727,-1.2152106326222145,-1.2158257980059808,-1.2171738265578325,-1.2186414748401428,-1.220744554168756,-1.215878092721968,-1.217821250515631,-1.2194298830854038,-1.2217850643907915,-1.2228729989638403,-1.224577131870887,-1.227374201907076,-1.2280561108289298,-1.2299287085453934,-1.2296122536743785,-1.2314178083145673,-1.2312255701673456,-1.229222647240717,-1.2275507893263953,-1.2275501519477634,-1.223305241701591,-1.218512952550845,-1.21840002327262,-1.2230292402787695,-1.2219520962444819,-1.222310022355323,-1.2265077552230934,-1.2364193121111602,1
-1.176416159110864,-1.1768729571691887,-1.1811366301828479,-1.1818725180630212,-1.1834019958322808,-1.1850776949209827,-1.1854038438984864,-1.1875609123498556,-1.1863814163242699,-1.1878426489573437,-1.188435324951289,-1.188963653214456,-1.1891316427372465,-1.191174526815176,-1.1920143353502572,-1.1939929431078187,-1.195504889146992,-1.196685178455325,-1.1981286353671474,-1.199326060349111,-1.2008780916993875,-1.2017902884149791,-1.2024542409485055,-1.203752394068521,-1.2047116694290203,-1.2049671323381288,-1.2051099396271476,-1.2067173921415228,-1.2078894703667582,-1.2089220016661846,-1.210744225976243,-1.2136801776108166,-1.2142901222746196,-1.2155678821404092,-1.2169894727059531,-1.2191211361177445,-1.2142461172878896,-1.2162845322689662,-1.2178951983619468,-1.2202438566616018,-1.2213037549574701,-1.2230582449647476,-1.2258005717726148,-1.2264838156853914,-1.228315985406071,-1.2279968608565053,-1.2297981385888246,-1.2296320579055793,-1.2276143578361352,-1.2259441980148613,-1.2259849765826565,-1.2218421953281509,-1.2170336006034217,-1.21690665300813,-1.2215399952848838,-1.2204856749054702,-1.2207917716706345,-1.2250067818562465,-1.2349032463884124,-1.2322937748360168,1
-1.1756209245184517,-1.179874846576423,-1.180630001289968,-1.1821983892254615,-1.1838367250802397,-1.1841715062248566,-1.186346800435897,-1.1851659482627952,-1.1866355663468062,-1.1872250925284265,-1.1877083928093601,-1.1878362743133413,-1.1898957928455798,-1.1907376197727557,-1.1927065003468094,-1.1942116472533213,-1.1954319456122529,-1.1968676397791849,-1.198055609586903,-1.1996183296269842,-1.2005491031613678,-1.2012050941239973,-1.2024542409485055,-1.2034228468047448,-1.2036491827193547,-1.2037940435334764,-1.2054033842250973,-1.2065705836833645,-1.2074120617283681,-1.2092527339744008,-1.2122151098303333,-1.2127602825454142,-1.214032379377293,-1.215383656522144,-1.2174687927208396,-1.212627260359446,-1.2146522695929436,-1.2163584303684207,-1.2187086246714198,-1.2197628722756666,-1.221488873970286,-1.2242808685707345,-1.2249107972986308,-1.226743511666716,-1.2263854885473089,-1.2281826154419755,-1.228013643410143,-1.226023353954083,-1.224338206442872,-1.2243794836116118,-1.2202809444447509,-1.2155746351183807,-1.2154283591318664,-1.2200445404869222,-1.2189981131797176,-1.219326108338231,-1.2234867190679575,-1.2333967003035642,-1.2307804605483004,-1.2263680031135382,1
