0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,transaction
-1.1673929693394578,-1.1680208096611346,-1.1644927669843048,-1.1602767978276722,-1.1653378004835628,-1.1667378220579725,-1.1695881718137064,-1.1695039189301524,-1.1708150947022131,-1.1714382295887962,-1.1759436917580037,-1.1768847829153868,-1.178632947024505,-1.1804083242642305,-1.180835960966092,-1.1831636021506886,-1.182086427565865,-1.183686827160433,-1.1844564726832782,-1.1851045980585941,1
-1.166623864108211,-1.1630735597853743,-1.1589190989970286,-1.163945861832543,-1.1653378004835628,-1.1681337549679012,-1.1680443320316725,-1.1693567940136282,-1.1700053988947394,-1.1744948861753775,-1.17542778878485,-1.1772166436836686,-1.1790757004175108,-1.1794853810975587,-1.1817963909087998,-1.18072412840659,-1.1823453143190186,-1.1830577315363482,-1.1837159081741138,-1.1839560259966333,0
-1.161679616193052,-1.157503322888222,-1.162585985830763,-1.163945861832543,-1.1667328856332686,-1.1665908817516641,-1.167897299671479,-1.1685476069727436,-1.1730601603502073,-1.1739793055463155,-1.1757594406961633,-1.1776591247080446,-1.1781532975154152,-1.1804452419908973,-1.1793583764388487,-1.180982860470358,-1.1817165893470738,-1.1823176190374245,-1.1825680331849089,-1.1847340909418327,0
-1.1561127592811697,-1.1611679524258223,-1.162585985830763,-1.1653401061543938,-1.1651909494151726,-1.166443941445356,-1.1670886216904135,-1.1716004489906255,-1.1725448993818153,-1.1743107502364267,-1.1762016432445805,-1.176737289240595,-1.1791125965335947,-1.1780086720308836,-1.179616953731116,-1.1803545111726357,-1.1809769129094914,-1.1811704446640932,-1.1833456259195316,-1.184289482401719,0
-1.1597751651442503,-1.1611679524258223,-1.163979402827582,-1.163799099272348,-1.1650440983467827,-1.1656357697606603,-1.1701395431644326,-1.17108551178279,-1.1728761385757818,-1.1747526764899086,-1.1752803879353777,-1.1776959981267425,-1.1766774528720623,-1.1782670961175516,-1.178988980307038,-1.179615276704727,-1.179830414431239,-1.181947562787963,-1.182901287214033,-1.1849934459235658,0
-1.1597751651442503,-1.1625605116501103,-1.1624393103574135,-1.1636523367121532,-1.164236417470637,-1.1686847811165573,-1.1696249299037547,-1.17141654284497,-1.1733177908344037,-1.1738319967951552,-1.1762384934569488,-1.1752623524926753,-1.176935725684649,-1.177639494764215,-1.1782501880434162,-1.1784694632794686,-1.1806070746907005,-1.181503495288609,-1.1836048234977392,-1.1852157501936227,0
-1.161166879372221,-1.1610213672443181,-1.1622926348840643,-1.1628451426310815,-1.1672835771397314,-1.1681704900444783,-1.1699557527141906,-1.1718579175945436,-1.1723976819622748,-1.1747895036776985,-1.173806379440653,-1.1755204664235612,-1.176308491711224,-1.1769011402308773,-1.1771050600348028,-1.1792456594707728,-1.1801632688281511,-1.182206602162586,-1.1838269928504885,-1.1851416487702704,0
-1.159628668909727,-1.1608747820628142,-1.1614859197806426,-1.1658904657551241,-1.166769598400366,-1.168501105733672,-1.1703968497947719,-1.1709383868662657,-1.1733545951892888,-1.1723589092835496,-1.1740643309272298,-1.1748936183056957,-1.1755705693895475,-1.1757566907042043,-1.1778807919116054,-1.1788021187900275,-1.1808659614438541,-1.1824286359122633,-1.183752936399572,-1.185326902328651,0
-1.1594821726752038,-1.1600685635645422,-1.1645294358526421,-1.1653767967944424,-1.167100013304244,-1.1689419266525969,-1.1694778975435611,-1.1718946988236747,-1.1709255077668683,-1.1726166995980805,-1.173437877316972,-1.1741561499317357,-1.174426789790949,-1.1765319629642088,-1.1774375165534325,-1.1795043915345407,-1.1810878643751288,-1.1823546246623708,-1.183938077526863,-1.1852528009052987,1
-1.158676443385326,-1.1631102060807503,-1.1640160716959194,-1.1657070125548807,-1.1675405665094143,-1.1680235497381701,-1.17043360788482,-1.1694671377010213,-1.1711831382510645,-1.1719906374056484,-1.1727008730696096,-1.1730130739520983,-1.1752016082287096,-1.1760889502442062,-1.178139369203873,-1.1797261618749133,-1.1810138967313708,-1.1825396527871017,-1.1838640210759466,-1.1855492065987079,1
-1.161716240251683,-1.1625971579454863,-1.1643460915109556,-1.1661473002354654,-1.1666227473319761,-1.168978661729174,-1.168007573941624,-1.1697246063049391,-1.170557464218017,-1.1712540936498455,-1.1715585164861981,-1.173787415744756,-1.1747588548357035,-1.176790387050877,-1.1783610068829595,-1.1796522384281225,-1.181198815840766,-1.1824656415372095,-1.1841602468796124,-1.1852157501936227,1
-1.1612035034308517,-1.1629269746038704,-1.1647861179310037,-1.1652300342342476,-1.1675772792765118,-1.166554146675087,-1.168264880571963,-1.1690993254097104,-1.1698213771203136,-1.1701124508283511,-1.1723323709459286,-1.1733449347203802,-1.1754598810412962,-1.1770118934108782,-1.1782871276565974,-1.1798370470450996,-1.181124848197008,-1.1827616865367787,-1.1838269928504885,-1.1846229388068041,1
-1.161533119958529,-1.1633667301483825,-1.1638693962225701,-1.166183990875514,-1.1651542366480752,-1.1668112922111264,-1.16763999304114,-1.1683637008270882,-1.1686804421188737,-1.170885821771944,-1.1718901683975111,-1.174045529675642,-1.175681257737799,-1.1769380579575444,-1.1784718257225026,-1.1797631235983088,-1.181420718772041,-1.1824286359122633,-1.1832345412431569,-1.1846229388068041,1
