0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,transaction
-1.051963943484638,-1.051576894072887,-1.0535813491157884,-1.052116981994529,-1.0621839055029443,-1.0704504998606676,-1.0707377090001629,-1.072066464127975,-1.069162021465796,-1.066544042809145,-1.0798470491961483,-1.0804555391340833,-1.083796888405326,-1.0859897086169013,-1.087939033274307,-1.0908025412174491,-1.0925696668114047,-1.0964334993576998,-1.098504910888833,-1.1002877966408855,-1.1023674768334804,-1.1055088266330984,-1.1078251954909442,-1.1108456477653232,-1.114375692574716,-1.1148168151168723,-1.1166849576199367,-1.1191802703676628,-1.1215111055479867,-1.1211595567992403,-1.1224881177581576,-1.1247021024100536,-1.1267373469628665,-1.1290438343216653,-1.1315499656351604,-1.134042918663236,-1.1361833572121494,-1.1382907095976893,-1.1408478896727325,-1.1464988749450893,0
-1.049855855796206,-1.0518782466039542,-1.0504150880646672,-1.0604149811019707,-1.068675723909611,-1.0689397624236086,-1.0702841788748305,-1.067376804221436,-1.0647719328028133,-1.0777539161606216,-1.0781795471222426,-1.0815174262211833,-1.0836450829797577,-1.085533973635142,-1.0883950810485061,-1.0901940575369529,-1.0940919518649619,-1.096128823286666,-1.0980475678606336,-1.100135235716854,-1.1032835252827702,-1.1055088266330984,-1.1085897127188196,-1.112069800674715,-1.1125380709550856,-1.1143570580839421,-1.116838326876606,-1.1191802703676628,-1.1188998250667526,-1.120237212899917,-1.1224881177581576,-1.1245481396283132,-1.1268914296127361,-1.1293522394515723,-1.1318586126050179,-1.134042918663236,-1.1361833572121494,-1.13860008368505,-1.1442537204815553,-1.1468087438892662,0
-1.050157011180268,-1.0487140450277495,-1.0587076765318892,-1.0669025076768799,-1.0671659986987583,-1.0684865411924909,-1.0655977009130628,-1.0629897030185447,-1.0759742280118032,-1.076087583635402,-1.079240684805637,-1.0813657280658833,-1.0831896667030527,-1.0859897086169013,-1.0877870173495743,-1.0917152667381937,-1.0937874948542505,-1.0956718091801152,-1.097895120184567,-1.1010506012610433,-1.1032835252827702,-1.106272772458662,-1.1098129402834207,-1.1102335713106275,-1.1120786655501782,-1.1145103104282523,-1.116838326876606,-1.1165709989895813,-1.117978196661611,-1.120237212899917,-1.122334274505238,-1.1247021024100536,-1.1271995949124751,-1.1296606445814792,-1.1318586126050179,-1.134042918663236,-1.1364924892391746,-1.142003198646017,-1.1445633414641754,-1.1466538094171776,0
-1.04699487964762,-1.057001239632095,-1.0651909729698994,-1.065393780566436,-1.0667130811355026,-1.0638032551376073,-1.0612135763681834,-1.0741843750535085,-1.0743090219672238,-1.0771479770605417,-1.079089093708009,-1.0809106335999832,-1.0836450829797577,-1.0853820619745558,-1.0893071765969042,-1.0914110248979456,-1.0933308093381833,-1.0955194711445981,-1.098809806240966,-1.1010506012610433,-1.1040468989905114,-1.107495085779564,-1.1079780989365193,-1.1097745139696058,-1.1122318006851475,-1.1145103104282523,-1.1142310495132286,-1.1156500796796702,-1.117978196661611,-1.1200834889166964,-1.1224881177581576,-1.1250100279735347,-1.127507760212214,-1.1296606445814792,-1.1318586126050179,-1.134351808268838,-1.1398929415364503,-1.1423125727333776,-1.144408530972865,-1.1471186128334432,1
-1.0552766527093167,-1.0634803190500377,-1.0636832296122227,-1.0649411624333027,-1.062032932981859,-1.0594221165701359,-1.0724006527930483,-1.0725203021834464,-1.0753686985410469,-1.0769964922855215,-1.0786343204151259,-1.0813657280658833,-1.0830378612774847,-1.0869011785804201,-1.0890031447474382,-1.0909546621375732,-1.0931785808328274,-1.0964334993576998,-1.098809806240966,-1.1018134058812008,-1.1052682969228977,-1.105661615798211,-1.107519388599794,-1.1099275330832798,-1.1122318006851475,-1.1119050205749825,-1.113310833973213,-1.1156500796796702,-1.1178245919274206,-1.120237212899917,-1.1227958042639963,-1.1253179535370155,-1.127507760212214,-1.1296606445814792,-1.1321672595748753,-1.1377495939304592,-1.1402020735634752,-1.1421578856896972,-1.1448729624467955,-1.1477383507217973,1
-1.0617514934666432,-1.0619735563947021,-1.0632309066049197,-1.0602641083909266,-1.057654729870386,-1.0706015736043737,-1.0707377090001629,-1.073579257646213,-1.0752173161733578,-1.0765420379604618,-1.079089093708009,-1.0807589354446834,-1.0845559155331674,-1.0865973552592472,-1.0885470969732391,-1.0908025412174491,-1.0940919518649619,-1.0964334993576998,-1.099572044621298,-1.1030338932734536,-1.1034362000243185,-1.1052032483028729,-1.1076722920453692,-1.1099275330832798,-1.1096285033906714,-1.1109855065091225,-1.113310833973213,-1.1154965931280183,-1.117978196661611,-1.120544660866358,-1.1231034907698352,-1.1253179535370155,-1.127507760212214,-1.1299690497113861,-1.1355623762433067,-1.138058483536061,-1.1400475075499628,-1.1426219468207381,-1.1454922044120361,-1.1469636783613548,1
-1.0602457165463348,-1.0615215275981016,-1.0585569021961216,-1.055888799770639,-1.0688266964306963,-1.0689397624236086,-1.0717959459592716,-1.0734279782943892,-1.0747631690702908,-1.0769964922855215,-1.0784827293174981,-1.0822759169976834,-1.084252304682031,-1.0861416202774878,-1.0883950810485061,-1.0917152667381937,-1.0940919518649619,-1.0971951895352845,-1.1007916260298298,-1.1012031621850749,-1.1029781757996735,-1.1053560374679858,-1.1076722920453692,-1.1073262081508226,-1.1087096925808564,-1.1109855065091225,-1.1131574647165436,-1.1156500796796702,-1.1182854061299914,-1.1208521088327992,-1.1231034907698352,-1.1253179535370155,-1.127815925511953,-1.1333615061403626,-1.135871023213164,-1.13790403873326,-1.1405112055905005,-1.1432406949954597,-1.1447181519554857,-1.1463439404730007,0
-1.0597939834702423,-1.0568505633665615,-1.054184446458859,-1.0670533803879243,-1.0671659986987583,-1.06999727862955,-1.0716447692508275,-1.0729741402389177,-1.0752173161733578,-1.0763905531854419,-1.0799986402937758,-1.0819725206870834,-1.083796888405326,-1.0859897086169013,-1.0893071765969042,-1.0917152667381937,-1.0948530943917403,-1.0984138938194201,-1.0989622539170323,-1.10074547941298,-1.1031308505412218,-1.1053560374679858,-1.1050729334705922,-1.106408093468779,-1.1087096925808564,-1.1108322541648126,-1.113310833973213,-1.1159570527829739,-1.1185926155983719,-1.1208521088327992,-1.1231034907698352,-1.1256258791004965,-1.131205743809082,-1.1336699112702695,-1.1357166997282353,-1.138367373141663,-1.1411294696445506,-1.142467259777058,-1.144098909990245,-1.1466538094171776,1
-1.055126075017286,-1.0524809516660882,-1.065341747305667,-1.065393780566436,-1.0682228063463552,-1.069846204885844,-1.0711912391254952,-1.0734279782943892,-1.0746117867026017,-1.0779054009356412,-1.0796954580985203,-1.0815174262211833,-1.0836450829797577,-1.0869011785804201,-1.0893071765969042,-1.092475871338814,-1.0960709224345861,-1.096585837393217,-1.098504910888833,-1.1008980403370117,-1.1031308505412218,-1.1027586216610694,-1.1041555127971416,-1.106408093468779,-1.108556557445887,-1.1109855065091225,-1.1136175724865516,-1.1162640258862775,-1.1185926155983719,-1.1208521088327992,-1.1234111772756743,-1.1290130602987862,-1.1315139091088209,-1.133515708705316,-1.1361796701830214,-1.138985152352867,-1.140356639576988,-1.1418485116023367,-1.144408530972865,-1.1460340715288235,0
-1.0507593219483913,-1.0636309953155714,-1.0636832296122227,-1.0664498895437466,-1.06807183382527,-1.0693929836547262,-1.0716447692508275,-1.072822860887094,-1.0761256103794923,-1.0776024313856014,-1.079240684805637,-1.0813657280658833,-1.0845559155331674,-1.0869011785804201,-1.0900672562205693,-1.093692838699807,-1.0942441803703176,-1.096128823286666,-1.0986573585648995,-1.1008980403370117,-1.1005353799349014,-1.101841886670393,-1.1041555127971416,-1.106255074355105,-1.1087096925808564,-1.1112920111977425,-1.11392431099989,-1.1162640258862775,-1.1185926155983719,-1.1211595567992403,-1.1267957288399022,-1.129320985862267,-1.1313598264589513,-1.1339783164001764,-1.1367969641227362,-1.138212928338862,-1.1397383755229378,-1.1421578856896972,-1.1437892890076249,-1.1466538094171776,0
