0,1,2,3,4,5,6,7,8,9,transaction
-0.8488057607586865,-0.8495864313248775,-0.8501554762941871,-0.8509261297422397,-0.8516566265044209,-0.8523649799240439,-0.8531014793684986,-0.8536654135086075,-0.8543911587568069,-0.8550764608942255,1
-0.8488462454280138,-0.8494572125507074,-0.8502202311076906,-0.8509421285665058,-0.8516540832525422,-0.8523979135136432,-0.8529348736105336,-0.8536652497745287,-0.8543450103223805,-0.8548502013101738,1
-0.8487170621909614,-0.8495219501125922,-0.8502362256395309,-0.8509395860024263,-0.8516870079533974,-0.8522313524886164,-0.852934709921418,-0.8536191139766078,-0.8541188130154238,-0.8545523394608073,1
-0.8487817819490373,-0.849537940383258,-0.8502336837576121,-0.8509725017990981,-0.8515204918830308,-0.8522311888434507,-0.8528885867929066,-0.8533929786076897,-0.8538210331514052,-0.8545895721919781,1
-0.8487977678221368,-0.8495353991785333,-0.850266590723097,-0.8508060307614751,-0.8515203282820327,-0.8521850780988034,-0.8526625135233062,-0.8530952802826647,-0.8538582556344075,-0.8543661758049533,1
-0.8487952273162818,-0.8495682973771267,-0.8501001643490401,-0.8508058672047214,-0.8514742299826309,-0.8519590655289156,-0.8523648969495924,-0.8531324925732928,-0.8536349207363936,-0.8542917103426116,1
-0.8488281164673729,-0.8494019153414624,-0.8501000008361681,-0.8507597813721818,-0.8512482784133181,-0.8516615288639875,-0.8524020990213066,-0.852909218829524,-0.8535604757703888,-0.8542544776114409,1
-0.8486617801892855,-0.8494017518721526,-0.8500539273682876,-0.8505338909093978,-0.850950822053249,-0.8516987209471034,-0.8521788865910211,-0.8528347942482677,-0.8535232532873865,-0.8538449175685621,1
-0.8486616167649322,-0.8493556906789101,-0.8498280975110827,-0.8502365149936725,-0.8509880040982577,-0.8514755684484073,-0.8521044824475926,-0.8527975819576395,-0.8531138059743609,-0.8534725902568541,1
-0.8486155682392148,-0.8491299209860448,-0.84953080138022,-0.8502736869831381,-0.8507649118282059,-0.8514011842821751,-0.8520672803758783,-0.85238824676073,-0.8527415811443376,-0.8536959866438788,1
-0.8483898606364305,-0.8488327040591703,-0.8495679633965778,-0.850050655046344,-0.8506905477381885,-0.8513639921990592,-0.8516580575870216,-0.8520161238544486,-0.8529649160423516,-0.8531002629451461,0
-0.8480927254487075,-0.8488698561750296,-0.8493449912984308,-0.8499763110674126,-0.85065336569318,-0.8509548792847829,-0.8512860368698791,-0.8522393975982174,-0.8523693563143144,-0.8530257974828044,1
-0.8481298673471729,-0.8486469434798738,-0.8492706672657151,-0.8499391390779469,-0.850244363198085,-0.8505829584536226,-0.8515092493001647,-0.8516440009481673,-0.8522949113483097,-0.8532119611386584,1
-0.8479070159563806,-0.8485726392481552,-0.8492335052493573,-0.8495302471938244,-0.8498725427479987,-0.8508061109523188,-0.8509140161527368,-0.8515695763669109,-0.8524810237633214,-0.8514620227736308,1
-0.8478327321594498,-0.8485354871322959,-0.8488247230694209,-0.8491585272991676,-0.8500956350180505,-0.8502110376224624,-0.8508396120093081,-0.8517556378200517,-0.8507315670622121,-0.8508290663437271,1
-0.8477955902609844,-0.8481268138578434,-0.8484531029058426,-0.8493815592359617,-0.8495007222979125,-0.8501366534562302,-0.8510256223678795,-0.8500066601605292,-0.8500987848511726,-0.8494886880215783,0
-0.8473870293778651,-0.8477552926992503,-0.8486760750039897,-0.8487868074045108,-0.8494263582078951,-0.8503226138718105,-0.8492771249973099,-0.8493740512198509,-0.8487587754630888,-0.8503078081073359,1
-0.8470156103932114,-0.8479782053944063,-0.8480814827422642,-0.8487124634255794,-0.8496122684329384,-0.8485745859653573,-0.8486446897781678,-0.8480344087572378,-0.84957767008914,-0.8498982480644571,1
-0.8472384617840036,-0.8473837715406574,-0.8480071587095486,-0.8488983233729078,-0.8478647123175328,-0.8479423205523848,-0.8473054151964547,-0.8488530791510568,-0.8491682227761145,-0.8493769898280659,0
-0.8466441914085575,-0.8473094673089386,-0.8481929687913378,-0.8471512398680209,-0.8472326175523861,-0.8466034055602079,-0.8481238607741682,-0.8484437439541473,-0.8486471080140818,-0.849525920752749,0
-0.8465699076116266,-0.8474952278882353,-0.8464463540225193,-0.8465193160471043,-0.8458940639320754,-0.8474216313887604,-0.8477146379853115,-0.8479227718853534,-0.8487959979460911,-0.8496748516774323,0
-0.8467556171039536,-0.8457490784428477,-0.8458145997444362,-0.8451811244263397,-0.8467120689222652,-0.8470125184744842,-0.847193808981312,-0.8480716210478659,-0.8489448878781005,-0.8501961099138234,1
-0.8450099478760806,-0.8451174924732396,-0.844476767155554,-0.8459989081945847,-0.8463030664271705,-0.8464918293108598,-0.8473426172681691,-0.8482204702103785,-0.8494660026401329,-0.8505684372255314,1
-0.8443785356021691,-0.8437800163023045,-0.8452943315154263,-0.8455900163104623,-0.8457825177970496,-0.8466405976433238,-0.8474914255550261,-0.8487414422791724,-0.8498382274701562,-0.8497120844086031,1
-0.8430414272574153,-0.8445973628512092,-0.8448855493354902,-0.8450696084579427,-0.845931245977084,-0.846789365975788,-0.8480122545590255,-0.8491135651854538,-0.8489821103611027,-0.8493769898280659,1
-0.8438585490236536,-0.8441886895767569,-0.8443652811064805,-0.8452182964158054,-0.8460799741571187,-0.8473100551394124,-0.8483842752761679,-0.8482576825010066,-0.8486471080140818,-0.8491908261722118,0
-0.8434499881405345,-0.8436685599547266,-0.8445139291719117,-0.8453669843736682,-0.8466005227872394,-0.8476819759705726,-0.8475286276267403,-0.8479227718853534,-0.8484609955990702,-0.8493397570968951,1
-0.842930001562019,-0.8438171684181637,-0.8446625772373432,-0.8458873922261877,-0.8469723432373256,-0.846826558058904,-0.847193808981312,-0.8477367104322127,-0.8486098855310795,-0.8493769898280659,1
-0.8430785691558806,-0.843965776881601,-0.8451828454663528,-0.8462591121208445,-0.8461171562021272,-0.8464918293108598,-0.8470077986227408,-0.8478855595947252,-0.8486471080140818,-0.8477759823877213,1
-0.8432271367497421,-0.8444859065036313,-0.8455544656299312,-0.8454041563631338,-0.8457825177970496,-0.8463058688952796,-0.8471566069095978,-0.8479227718853534,-0.8470465412449818,-0.8469568623019638,1
-0.8437471233282575,-0.8448574276622244,-0.844699739253701,-0.8450696084579427,-0.8455966075720064,-0.8464546372277437,-0.847193808981312,-0.8463226433883434,-0.8462276466189306,-0.8437548474212748,1
-0.8441185423129114,-0.8440029289974603,-0.8443652811064805,-0.8448837485106142,-0.8457453357520409,-0.8464918293108598,-0.8455941198975995,-0.8455039729945244,-0.8430265130807306,-0.8422655381744427,1
-0.8432642786482075,-0.8436685599547266,-0.8441794710246912,-0.845032436468477,-0.8457825177970496,-0.8448925697368705,-0.844775674319886,-0.8423037160005045,-0.8415376137606375,-0.8364199993806269,0
-0.842930001562019,-0.8434827993754299,-0.8443281190901226,-0.8450696084579427,-0.8441836898616785,-0.844074343908318,-0.8415762961524609,-0.8408152243753789,-0.8356936839292723,-0.8381327050144837,0
-0.8427442920696921,-0.8436314078388673,-0.8443652811064805,-0.8434712129109184,-0.8433656848714887,-0.8408758247603398,-0.8400882132838909,-0.8349728947467612,-0.8374059181473793,-0.8387284287132166,0
-0.8428928596635538,-0.8436685599547266,-0.8427673144030934,-0.8426534291426734,-0.8401680290007466,-0.8393881414356987,-0.8342474880247543,-0.8366846601156555,-0.8380014778754166,-0.8392869196807785,0
-0.842930001562019,-0.8420710189727763,-0.8419497500432209,-0.8394566380486249,-0.8386807472004014,-0.8335489843864826,-0.8359587833236095,-0.8372800567657058,-0.8385598151204514,-0.8391007560249246,0
-0.8413328999280075,-0.8412536724238715,-0.8387538166364469,-0.8379697584699977,-0.8328431661340466,-0.8352598202098198,-0.8365540164710376,-0.8378382411251278,-0.8383737027054399,-0.8427123309484924,0
