price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,price 41,price 42,price 43,price 44,price 45,price 46,price 47,price 48,price 49,price 50,price 51,price 52,price 53,price 54,price 55,price 56,price 57,price 58,price 59,price 60,transaction
0.10693372657379692,0.26699786676593124,0.3790713989147708,0.4051283519693042,0.4291809240196429,0.4921184875513623,0.6517388005211391,0.6450957091929502,0.8615831746531705,0.7987028791501423,0.6542585937835554,0.8235858376165046,1.0,0.9575500737325868,0.8503872750440248,0.5093132131659198,0.4528469368763153,0.484387303678039,0.48842469970077435,0.6545735679413576,0.5034289232178903,0.43711254599338545,0.412730682778072,0.5166005698168854,0.5126633928443597,0.5114321302274972,0.585737397454436,0.7846578951136054,0.6935301444586022,0.534282073675319,0.6018297135166863,0.48511747104385283,0.31188168425272367,0.3809326098472374,0.19575643907397583,0.0,0.13625495726373352,0.08464214640571535,0.17160364797342748,0.2661817973570804,0.23260841553681605,0.16709379071398903,0.24447721448308443,0.2109038326628201,0.3230059988260053,0.3422194224519306,0.3525706186378799,0.39539278709178627,0.32352141108422683,0.352083840394004,0.2826463556058241,0.21764714304121863,0.1645024124157086,0.23800592724096956,0.2041175712629031,0.21025956734004309,0.24535055192062652,0.25816427334030084,0.22513493779260382,0.24947384998639882,0
0.26699786676593124,0.3790713989147708,0.4051283519693042,0.4291809240196429,0.4921184875513623,0.6517388005211391,0.6450957091929502,0.8615831746531705,0.7987028791501423,0.6542585937835554,0.8235858376165046,1.0,0.9575500737325868,0.8503872750440248,0.5093132131659198,0.4528469368763153,0.484387303678039,0.48842469970077435,0.6545735679413576,0.5034289232178903,0.43711254599338545,0.412730682778072,0.5166005698168854,0.5126633928443597,0.5114321302274972,0.585737397454436,0.7846578951136054,0.6935301444586022,0.534282073675319,0.6018297135166863,0.48511747104385283,0.31188168425272367,0.3809326098472374,0.19575643907397583,0.0,0.13625495726373352,0.08464214640571535,0.17160364797342748,0.2661817973570804,0.23260841553681605,0.16709379071398903,0.24447721448308443,0.2109038326628201,0.3230059988260053,0.3422194224519306,0.3525706186378799,0.39539278709178627,0.32352141108422683,0.352083840394004,0.2826463556058241,0.21764714304121863,0.1645024124157086,0.23800592724096956,0.2041175712629031,0.21025956734004309,0.24535055192062652,0.25816427334030084,0.22513493779260382,0.24947384998639882,0.2274972439761192,0
0.3790713989147708,0.4051283519693042,0.4291809240196429,0.4921184875513623,0.6517388005211391,0.6450957091929502,0.8615831746531705,0.7987028791501423,0.6542585937835554,0.8235858376165046,1.0,0.9575500737325868,0.8503872750440248,0.5093132131659198,0.4528469368763153,0.484387303678039,0.48842469970077435,0.6545735679413576,0.5034289232178903,0.43711254599338545,0.412730682778072,0.5166005698168854,0.5126633928443597,0.5114321302274972,0.585737397454436,0.7846578951136054,0.6935301444586022,0.534282073675319,0.6018297135166863,0.48511747104385283,0.31188168425272367,0.3809326098472374,0.19575643907397583,0.0,0.13625495726373352,0.08464214640571535,0.17160364797342748,0.2661817973570804,0.23260841553681605,0.16709379071398903,0.24447721448308443,0.2109038326628201,0.3230059988260053,0.3422194224519306,0.3525706186378799,0.39539278709178627,0.32352141108422683,0.352083840394004,0.2826463556058241,0.21764714304121863,0.1645024124157086,0.23800592724096956,0.2041175712629031,0.21025956734004309,0.24535055192062652,0.25816427334030084,0.22513493779260382,0.24947384998639882,0.2274972439761192,0.22804129024868636,0
0.4051283519693042,0.4291809240196429,0.4921184875513623,0.6517388005211391,0.6450957091929502,0.8615831746531705,0.7987028791501423,0.6542585937835554,0.8235858376165046,1.0,0.9575500737325868,0.8503872750440248,0.5093132131659198,0.4528469368763153,0.484387303678039,0.48842469970077435,0.6545735679413576,0.5034289232178903,0.43711254599338545,0.412730682778072,0.5166005698168854,0.5126633928443597,0.5114321302274972,0.585737397454436,0.7846578951136054,0.6935301444586022,0.534282073675319,0.6018297135166863,0.48511747104385283,0.31188168425272367,0.3809326098472374,0.19575643907397583,0.0,0.13625495726373352,0.08464214640571535,0.17160364797342748,0.2661817973570804,0.23260841553681605,0.16709379071398903,0.24447721448308443,0.2109038326628201,0.3230059988260053,0.3422194224519306,0.3525706186378799,0.39539278709178627,0.32352141108422683,0.352083840394004,0.2826463556058241,0.21764714304121863,0.1645024124157086,0.23800592724096956,0.2041175712629031,0.21025956734004309,0.24535055192062652,0.25816427334030084,0.22513493779260382,0.24947384998639882,0.2274972439761192,0.22804129024868636,0.24157086202700173,0
0.4291809240196429,0.4921184875513623,0.6517388005211391,0.6450957091929502,0.8615831746531705,0.7987028791501423,0.6542585937835554,0.8235858376165046,1.0,0.9575500737325868,0.8503872750440248,0.5093132131659198,0.4528469368763153,0.484387303678039,0.48842469970077435,0.6545735679413576,0.5034289232178903,0.43711254599338545,0.412730682778072,0.5166005698168854,0.5126633928443597,0.5114321302274972,0.585737397454436,0.7846578951136054,0.6935301444586022,0.534282073675319,0.6018297135166863,0.48511747104385283,0.31188168425272367,0.3809326098472374,0.19575643907397583,0.0,0.13625495726373352,0.08464214640571535,0.17160364797342748,0.2661817973570804,0.23260841553681605,0.16709379071398903,0.24447721448308443,0.2109038326628201,0.3230059988260053,0.3422194224519306,0.3525706186378799,0.39539278709178627,0.32352141108422683,0.352083840394004,0.2826463556058241,0.21764714304121863,0.1645024124157086,0.23800592724096956,0.2041175712629031,0.21025956734004309,0.24535055192062652,0.25816427334030084,0.22513493779260382,0.24947384998639882,0.2274972439761192,0.22804129024868636,0.24157086202700173,0.22295875270233495,0
0.4921184875513623,0.6517388005211391,0.6450957091929502,0.8615831746531705,0.7987028791501423,0.6542585937835554,0.8235858376165046,1.0,0.9575500737325868,0.8503872750440248,0.5093132131659198,0.4528469368763153,0.484387303678039,0.48842469970077435,0.6545735679413576,0.5034289232178903,0.43711254599338545,0.412730682778072,0.5166005698168854,0.5126633928443597,0.5114321302274972,0.585737397454436,0.7846578951136054,0.6935301444586022,0.534282073675319,0.6018297135166863,0.48511747104385283,0.31188168425272367,0.3809326098472374,0.19575643907397583,0.0,0.13625495726373352,0.08464214640571535,0.17160364797342748,0.2661817973570804,0.23260841553681605,0.16709379071398903,0.24447721448308443,0.2109038326628201,0.3230059988260053,0.3422194224519306,0.3525706186378799,0.39539278709178627,0.32352141108422683,0.352083840394004,0.2826463556058241,0.21764714304121863,0.1645024124157086,0.23800592724096956,0.2041175712629031,0.21025956734004309,0.24535055192062652,0.25816427334030084,0.22513493779260382,0.24947384998639882,0.2274972439761192,0.22804129024868636,0.24157086202700173,0.22295875270233495,0.17037238535656507,0
0.6517388005211391,0.6450957091929502,0.8615831746531705,0.7987028791501423,0.6542585937835554,0.8235858376165046,1.0,0.9575500737325868,0.8503872750440248,0.5093132131659198,0.4528469368763153,0.484387303678039,0.48842469970077435,0.6545735679413576,0.5034289232178903,0.43711254599338545,0.412730682778072,0.5166005698168854,0.5126633928443597,0.5114321302274972,0.585737397454436,0.7846578951136054,0.6935301444586022,0.534282073675319,0.6018297135166863,0.48511747104385283,0.31188168425272367,0.3809326098472374,0.19575643907397583,0.0,0.13625495726373352,0.08464214640571535,0.17160364797342748,0.2661817973570804,0.23260841553681605,0.16709379071398903,0.24447721448308443,0.2109038326628201,0.3230059988260053,0.3422194224519306,0.3525706186378799,0.39539278709178627,0.32352141108422683,0.352083840394004,0.2826463556058241,0.21764714304121863,0.1645024124157086,0.23800592724096956,0.2041175712629031,0.21025956734004309,0.24535055192062652,0.25816427334030084,0.22513493779260382,0.24947384998639882,0.2274972439761192,0.22804129024868636,0.24157086202700173,0.22295875270233495,0.17037238535656507,0.07857173536443941,0
0.6450957091929502,0.8615831746531705,0.7987028791501423,0.6542585937835554,0.8235858376165046,1.0,0.9575500737325868,0.8503872750440248,0.5093132131659198,0.4528469368763153,0.484387303678039,0.48842469970077435,0.6545735679413576,0.5034289232178903,0.43711254599338545,0.412730682778072,0.5166005698168854,0.5126633928443597,0.5114321302274972,0.585737397454436,0.7846578951136054,0.6935301444586022,0.534282073675319,0.6018297135166863,0.48511747104385283,0.31188168425272367,0.3809326098472374,0.19575643907397583,0.0,0.13625495726373352,0.08464214640571535,0.17160364797342748,0.2661817973570804,0.23260841553681605,0.16709379071398903,0.24447721448308443,0.2109038326628201,0.3230059988260053,0.3422194224519306,0.3525706186378799,0.39539278709178627,0.32352141108422683,0.352083840394004,0.2826463556058241,0.21764714304121863,0.1645024124157086,0.23800592724096956,0.2041175712629031,0.21025956734004309,0.24535055192062652,0.25816427334030084,0.22513493779260382,0.24947384998639882,0.2274972439761192,0.22804129024868636,0.24157086202700173,0.22295875270233495,0.17037238535656507,0.07857173536443941,0.009520809769925661,0
0.8615831746531705,0.7987028791501423,0.6542585937835554,0.8235858376165046,1.0,0.9575500737325868,0.8503872750440248,0.5093132131659198,0.4528469368763153,0.484387303678039,0.48842469970077435,0.6545735679413576,0.5034289232178903,0.43711254599338545,0.412730682778072,0.5166005698168854,0.5126633928443597,0.5114321302274972,0.585737397454436,0.7846578951136054,0.6935301444586022,0.534282073675319,0.6018297135166863,0.48511747104385283,0.31188168425272367,0.3809326098472374,0.19575643907397583,0.0,0.13625495726373352,0.08464214640571535,0.17160364797342748,0.2661817973570804,0.23260841553681605,0.16709379071398903,0.24447721448308443,0.2109038326628201,0.3230059988260053,0.3422194224519306,0.3525706186378799,0.39539278709178627,0.32352141108422683,0.352083840394004,0.2826463556058241,0.21764714304121863,0.1645024124157086,0.23800592724096956,0.2041175712629031,0.21025956734004309,0.24535055192062652,0.25816427334030084,0.22513493779260382,0.24947384998639882,0.2274972439761192,0.22804129024868636,0.24157086202700173,0.22295875270233495,0.17037238535656507,0.07857173536443941,0.009520809769925661,0.044339771214225256,0
0.8018406550815327,0.6596479359576057,0.8263357433794202,1.0,0.9582117739912335,0.852719405803842,0.5169619325468973,0.4613758403450171,0.49242456273871427,0.49639902470649566,0.6599580003664398,0.511169365636407,0.44588671374008143,0.4218849097289755,0.5241356954603751,0.5202598903499499,0.5190478203881443,0.5921948331994418,0.7880146012148886,0.6983073302045014,0.5415415838653758,0.608036305723507,0.4931433484137386,0.3226079235550293,0.39058249827350494,0.20829281355263335,0.015587783462292022,0.14971882795653463,0.09891054641805147,0.18451651092977034,0.2776203966005666,0.24457034938621333,0.18007695234873786,0.25625414006454983,0.2232040928501966,0.33355883472157616,0.35247276366045127,0.36266260764167835,0.4048172734063394,0.3340662128451227,0.3621834171916621,0.2938283088805265,0.22984228996659764,0.17752596789423988,0.2498837258466873,0.21652361422350003,0.2225698701957633,0.257113864107226,0.2697278480120643,0.23721336659478814,0.26117288909559855,0.23953884966104325,0.24007441545812017,0.2533930912012176,0.23507110340648027,0.18330444096796478,0.09293475962961403,0.024960184911138408,0.05923639592406236,0.0,0
