0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,transaction
-1.256942450486459,-1.2526185760247137,-1.2486519870843338,-1.220417211077089,-1.2610847505038496,-1.2936841452510748,-1.294221668948138,-1.2958033131544804,-1.3003740655433862,-1.3013248935287363,-1.3393823752330385,-1.3343722408468714,-1.331481073618321,-1.335406207131209,-1.3369271786160841,-1.3366871648463032,-1.317990904216156,-1.3262827907325203,-1.3252433484773867,-1.3288014981820682,-1.3241681543721404,-1.32619134953878,-1.3300202742514704,-1.3407938306077247,-1.3412534257997935,-1.3397560971729707,-1.342169061146145,-1.3446448354567588,-1.3482804680887708,-1.3509876494027868,-1.3399013306168712,-1.3375855616980585,-1.3341095745206923,-1.3318814562585701,-1.3311535106471897,-1.3384927400948405,-1.3384253712739502,-1.334844142001038,-1.337342737147482,-1.3598308521368465,-1.364576993864775,-1.3632982888629361,-1.3679608693208611,-1.373470601558516,-1.3726258374464184,-1.3749042078617502,-1.3723227114767136,-1.370044189073608,-1.370820323439525,-1.3758563975768243,1
-1.2505524899622869,-1.246586339522497,-1.2183448045997443,-1.2590825864330788,-1.2915220115130337,-1.2919332515262065,-1.2935058482995947,-1.298101022154731,-1.2990414214446324,-1.3370566069377405,-1.3319303799212006,-1.3290952589713034,-1.3330174459291175,-1.3344702316501966,-1.3342380571730326,-1.3155483744251668,-1.3238949656566672,-1.3228317232558942,-1.3263643118127129,-1.3213691782756494,-1.3233674053532378,-1.3272100584374766,-1.3379111836200177,-1.3383252466906885,-1.3367715607772512,-1.3391522595208918,-1.34165410818443,-1.3452304060586435,-1.3480336352596558,-1.3369418067624848,-1.3346668912523458,-1.3311746096374741,-1.3290072790391116,-1.3282176775721746,-1.3355469559086341,-1.3354371395634226,-1.3318602869360128,-1.3343568804359487,-1.3568235273066747,-1.3614520265393,-1.3600916146193933,-1.364797998154765,-1.3703939487934786,-1.3695030220933253,-1.3717891333941634,-1.36919771208565,-1.3669501683540133,-1.3676915112621717,-1.3726994882364083,-1.3666334516392247,1
-1.244525409348326,-1.2163050038171637,-1.2569769647963058,-1.2894951540459472,-1.2897726492370065,-1.2912180977512604,-1.2958014110690614,-1.2967696137137255,-1.3347397969724868,-1.3296115832155904,-1.3266586506924711,-1.3306301304620038,-1.3320823827094403,-1.3317837887504185,-1.3131203008047307,-1.3214465423584039,-1.3204472374702523,-1.323951587722205,-1.318939317047037,-1.320569287344017,-1.3243850238980932,-1.3350925272929646,-1.3354452744423468,-1.3338483233157248,-1.3361683938957127,-1.3386378792987506,-1.3422390275811606,-1.3449838500157447,-1.3340034328592831,-1.3317132263953828,-1.328262996046981,-1.3260779308922075,-1.3253474878571274,-1.3326063147053782,-1.3324946973433247,-1.3288793289872058,-1.3313735651661311,-1.3538161809626865,-1.3584429087567982,-1.3569717932519594,-1.3615895834801766,-1.3672282671020553,-1.366430935273091,-1.3686672918393348,-1.3660892655160006,-1.3638314332420935,-1.3646002174196836,-1.3695684953870082,-1.363487277300848,-1.3564884983375731,1
-1.21426995578191,-1.2549042174698721,-1.2873634067535307,-1.287747211007215,-1.2890581209834182,-1.2935115219260878,-1.294471246262381,-1.3324348889004152,-1.3273017194975867,-1.3243447858650483,-1.3281919943898093,-1.329695980667843,-1.329398558188067,-1.3106870670677815,-1.3190125997940279,-1.3180022557369782,-1.321566018343595,-1.3165338716037698,-1.3181402144713588,-1.3215858154029665,-1.3322590559173022,-1.3326292557756245,-1.3309732018658924,-1.3332458214783467,-1.3356545850706987,-1.3392221481380306,-1.3419927457299057,-1.3309693803955216,-1.3287806745886923,-1.3253164991793478,-1.3231719274706353,-1.322422168501207,-1.3297313485801199,-1.3295573964913725,-1.325944059164308,-1.3283931464789693,-1.3508113084063438,-1.3554337760421402,-1.353967630423532,-1.3584680435323322,-1.364017032070516,-1.3632698313811176,-1.3655961667889263,-1.3629740577541287,-1.3607292194201535,-1.3614842223041286,-1.3664750260213718,-1.3603669747383822,-1.3533541321671205,-1.3558738267615387,1
-1.2528361778182784,-1.2852647450532337,-1.2856169652702902,-1.2870332624420993,-1.2913495391759606,-1.2921825963289655,-1.3301032074343169,-1.3250037081791737,-1.3220398360973529,-1.3258766950683132,-1.3272587744375695,-1.3270147778663144,-1.308322398714463,-1.3165734969365661,-1.3155717403936174,-1.3191199198293926,-1.3141554796874935,-1.315735552380261,-1.319155740661283,-1.3294514095640197,-1.3297984209112996,-1.328161966752652,-1.3303713528462575,-1.3327325791724318,-1.3362382048773724,-1.338976140205702,-1.3279938614119784,-1.3257524786696406,-1.3223910702168313,-1.3202311291230528,-1.3195201891599375,-1.326801203359095,-1.3266857486819486,-1.3230139272439219,-1.32545840840276,-1.3478093537410514,-1.3524271114912412,-1.3509634344740529,-1.355462225912525,-1.3608927071745305,-1.3600631901628317,-1.362436027163839,-1.3599094845555015,-1.3576202499495542,-1.3583847346867008,-1.3633568449160252,-1.3572841704182865,-1.350245588587355,-1.3527401760350093,-1.3417191467302425,0
-1.2831707555756424,-1.2835197929821986,-1.2849036300165724,-1.2893228216336776,-1.2900217759461121,-1.3277813620151753,-1.3226789679875475,-1.319746703716234,-1.323570316021076,-1.324944348174405,-1.324580240474356,-1.3059592068421801,-1.3142030912936706,-1.3131360648602826,-1.3166882923596943,-1.3117167784647856,-1.3133579329262988,-1.3167500830601366,-1.3270135826554514,-1.3269934113886905,-1.32533591335804,-1.3275607615009624,-1.3298586666443462,-1.3333155554873024,-1.3359924702219308,-1.3249928256885786,-1.3227827613320144,-1.3193700392864203,-1.317311362790387,-1.3165834782654455,-1.3238944037953844,-1.3237589561345597,-1.3201494010744015,-1.3225288079721285,-1.3448533798043412,-1.3494233666026976,-1.347961722230351,-1.352456381246158,-1.3578842079762827,-1.356943401406032,-1.359230353585584,-1.3567559137928886,-1.3545618379862943,-1.3552784938453688,-1.36025518231205,-1.3541767056690028,-1.3471745154852142,-1.3496323449190877,-1.3386019712731154,-1.3397200279595887,1
-1.2814272949544014,-1.2828070660799449,-1.2871912223819435,-1.2879961356027152,-1.3255894045691845,-1.3203640391462892,-1.3174268739570474,-1.3212757645443582,-1.322638839011844,-1.3222683200688816,-1.3035456279225444,-1.3118341548101757,-1.310769009557689,-1.3142515046665626,-1.3092925174556795,-1.3109200278246487,-1.3143714819353172,-1.3246002220913058,-1.3245580070322738,-1.32253568588428,-1.3247353515938631,-1.3270486236939674,-1.3304410112976042,-1.3330700917757778,-1.322024689011491,-1.3197875214840835,-1.31640741977339,-1.3142960279944924,-1.3136677736424294,-1.3209527967677064,-1.3208555053243574,-1.3172298039042898,-1.319664809786256,-1.3419025537741696,-1.3464656273906424,-1.3449629247538748,-1.3494530150950461,-1.3548756915751483,-1.3539392699778205,-1.3561115203203598,-1.353556832055938,-1.3514144444555773,-1.3522227768071151,-1.3571467645496824,-1.3510857054799958,-1.3440788383938602,-1.3465619825985558,-1.3355105468012336,-1.336605179366809,-1.3482909624590587,1
-1.2807151772358667,-1.2850927075251035,-1.2858656760292493,-1.3235349086218178,-1.3181785693873298,-1.3151168380772396,-1.318954506528843,-1.320345151221676,-1.319965307654963,-1.301253386097345,-1.3094147280351556,-1.3084034276900283,-1.3118833621852684,-1.3068630964447674,-1.3084965596184763,-1.3119325650964895,-1.3222140250870658,-1.3221470536440654,-1.3201046749699008,-1.3219357676855557,-1.3242237619428976,-1.32763034544213,-1.3301958135488638,-1.3191177112638977,-1.3168251670974886,-1.3134192706903993,-1.3113390512208578,-1.3106565245885209,-1.3180322268481428,-1.3179172997876654,-1.3143335400581388,-1.3167457460665284,-1.3390174700087727,-1.3435130369380894,-1.342010064008535,-1.346452565345972,-1.351869645278063,-1.3509351053132919,-1.3531083089184752,-1.3504445078732543,-1.3482215615593716,-1.3490780851982875,-1.3540888974799072,-1.3479879596160174,-1.3409995665292593,-1.3434670197084466,-1.3324565523861598,-1.3335160720670562,-1.3451661377697088,-1.342155735887052,1
-1.282998865091858,-1.2837682916339423,-1.3213739197698737,-1.3161300857644664,-1.312935957871537,-1.316643047474347,-1.3180247624680912,-1.317674098823535,-1.2989699807300599,-1.3071169954714212,-1.3059874158211777,-1.309516691751506,-1.304502155176845,-1.30606793143435,-1.3095080893699222,-1.3197672797245037,-1.3197632303521443,-1.3176980871380533,-1.3195053480381422,-1.3214247262570127,-1.3248048610573095,-1.3273854099692195,-1.316258550603428,-1.3139239222768684,-1.3104639904486717,-1.3083565392648675,-1.3077035952574454,-1.3150160837106852,-1.3150001099359472,-1.3114026346686125,-1.3138500150470227,-1.3360771023896856,-1.3406262003897682,-1.3390623496654703,-1.34349807535351,-1.3488665180322172,-1.3479334244530323,-1.350105060902994,-1.3474475639544703,-1.345115358392685,-1.3458879136756843,-1.3509420502573921,-1.3449406326244335,-1.3379135594211542,-1.3403884584501375,-1.329378036149018,-1.3304643893529156,-1.3420670959273804,-1.3390380522641478,-1.337913353093581,1
-1.2816755812087566,-1.3192462529905742,-1.3139754579621559,-1.3108917275185008,-1.3144608323437545,-1.3157141695827501,-1.3153562050311844,-1.2966982392405997,-1.3048281193249944,-1.3036928896221132,-1.3070995717524605,-1.3021426951462731,-1.303707765184907,-1.3070784536350886,-1.3173350081024222,-1.3173189314032494,-1.315318568714236,-1.3170993477204218,-1.3189948102814588,-1.32200520266226,-1.3245601877459783,-1.313463055020367,-1.3110703891471298,-1.307569759380814,-1.3054068829372552,-1.304725126718337,-1.3120583061728184,-1.3119873668655313,-1.308492698986554,-1.3109196508753036,-1.3331600923804952,-1.3376840618394634,-1.3361803570601523,-1.3405487325505592,-1.3459093878556136,-1.3449346583289772,-1.3471042995775944,-1.3444505604150967,-1.3421243082944319,-1.3427843878420471,-1.3477497155804532,-1.341804352845508,-1.3348778261873315,-1.3373031625803555,-1.3263158387589629,-1.3273881959385143,-1.3390055021276293,-1.3359461217431805,-1.3348006073710235,-1.337913353093581,1
