price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,transaction
0.0,0.39528329872441426,0.2423613171165827,0.1830317413230496,0.30020765351527756,1.0,0.8813408484129338,0.39646989024028473,0.26713141501038257,0.3187481459507566,0
0.3922182468694098,0.23852116875372695,0.1788908765652952,0.29666070363744795,1.0,0.8807394156231365,0.39341085271317816,0.263416815742397,0.3152951699463329,0.0,1
0.23852116875372695,0.1788908765652952,0.29666070363744795,1.0,0.8807394156231365,0.39341085271317816,0.263416815742397,0.3152951699463329,0.0,0.11165772212283856,0
0.1788908765652952,0.29666070363744795,1.0,0.8807394156231365,0.39341085271317816,0.263416815742397,0.3152951699463329,0.0,0.11165772212283856,0.4445438282647585,0
0.29666070363744795,1.0,0.8807394156231365,0.39341085271317816,0.263416815742397,0.3152951699463329,0.0,0.11165772212283856,0.4445438282647585,0.1387895050685749,0
1.0,0.8807394156231365,0.39341085271317816,0.263416815742397,0.3152951699463329,0.0,0.11165772212283856,0.4445438282647585,0.1387895050685749,0.05068574836016706,0
1.0,0.6734918098282061,0.5863963244107071,0.621154614462645,0.4099081102676788,0.48471833799440683,0.7077506991610069,0.5028965241709948,0.4438673591689973,0.0,1
0.9528003302600797,0.8328058345947432,0.8806935461676071,0.5896518508325307,0.6927205174074585,1.0,0.7177652401265998,0.6364386954726848,0.024907114352552672,0.0,1
0.8328058345947432,0.8806935461676071,0.5896518508325307,0.6927205174074585,1.0,0.7177652401265998,0.6364386954726848,0.024907114352552672,0.0,0.0869684876840511,0
0.8806935461676071,0.5896518508325307,0.6927205174074585,1.0,0.7177652401265998,0.6364386954726848,0.024907114352552672,0.0,0.0869684876840511,0.08861978808311544,0
0.5896518508325307,0.6927205174074585,1.0,0.7177652401265998,0.6364386954726848,0.024907114352552672,0.0,0.0869684876840511,0.08861978808311544,0.3371404981422871,0
0.6927205174074585,1.0,0.7177652401265998,0.6364386954726848,0.024907114352552672,0.0,0.0869684876840511,0.08861978808311544,0.3371404981422871,0.05366726296958825,0
1.0,0.7409699419045215,0.6663298812831525,0.10507703965647917,0.08221773175044227,0.16203586764334443,0.1635514018691591,0.39163930285425635,0.13147259408941647,0.0,0
1.0,0.9029078363725974,0.1728273369475934,0.14309183505832113,0.24691966485953673,0.2488910793494333,0.5455889600788567,0.20716280597995704,0.03614259898143566,0.0,1
1.0,0.19141193595342082,0.1584788937409026,0.273471615720524,0.2756550218340612,0.6042576419213974,0.2294395924308585,0.040029112081513614,0.0,0.03966521106259109,1
0.31677205660945523,0.2622704004817828,0.45257452574525736,0.45618789521228553,1.0,0.3797049081601922,0.06624510689551304,0.0,0.06564287865100892,0.07407407407407429,1
