0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,transaction
-0.7242517489794666,-0.7247914848842221,-0.7257404632546296,-0.7267340785521281,-0.7273677641365246,-0.7283107128613403,-0.7290544436582201,-0.7301435533990001,-0.7308473009224488,-0.73173465544495,-0.7326722807274567,-0.733533360682209,-0.7344622891156991,-0.7359041654733199,-0.737437368950922,-0.7385053590372578,-0.7389239819434592,-0.7395694454039144,-0.7405019412569613,-0.7410300532649212,0
-0.7239758122171317,-0.7249119197868268,-0.7258885298639575,-0.7265182061336195,-0.7274707022691461,-0.7282203085176374,-0.7293206924010336,-0.7300204490778596,-0.7309126359827378,-0.7318879754674289,-0.732775354900761,-0.7336842346871452,-0.7351287988737814,-0.7366588746110759,-0.7377317720084012,-0.7381177662691449,-0.7387729374628476,-0.7397079343693763,-0.7402249001395856,-0.7412013541877477,0
-0.7240962209861506,-0.7250599543546117,-0.7256727039588355,-0.7266211220540714,-0.727380317567332,-0.7284864990852067,-0.7291976151519973,-0.7300857697380565,-0.731065922085724,-0.7319910266300785,-0.7329261951543771,-0.7343505948756136,-0.7358833382225536,-0.7369532111748007,-0.737344267129326,-0.7379667560997503,-0.7389113949034082,-0.7394309564384524,-0.7403961619212361,-0.7417026613001368,1
-0.7242442234314029,-0.7248441751541116,-0.7257755977043007,-0.7265307568556257,-0.7276464503004512,-0.7283634487285002,-0.7292629214474042,-0.7302390220562112,-0.731168950450026,-0.7321418332095659,-0.7335924062745147,-0.7351049649002948,-0.7361776085685747,-0.7365657938174194,-0.7371932912024135,-0.738105182088362,-0.7386344800222867,-0.7396021791593872,-0.740897354488125,-0.7416875465128286,1
-0.7240284910535775,-0.7249470466334198,-0.7256852519765751,-0.7267968321621597,-0.7275234266785376,-0.7284287407545077,-0.7294161400635517,-0.7303420277126756,-0.7313197236660778,-0.7328078956023022,-0.7343466075425951,-0.7353991692099203,-0.7357902783695384,-0.7364148519898682,-0.7373316858020832,-0.7378283301111385,-0.73880566376698,-0.7401032574162407,-0.7408822431544498,-0.7414381525222432,0
-0.7241313402104478,-0.7248567204564662,-0.7259512699526557,-0.7266738350864979,-0.7275887045187366,-0.7285819258924485,-0.7295191230678474,-0.7304927676977457,-0.7319856387036401,-0.7335619284997393,-0.7346407460371464,-0.7350119259305841,-0.7356393704997839,-0.7365532153317901,-0.7370548966027437,-0.7379994749697858,-0.7393066279610088,-0.7400881495290994,-0.7406329061488118,-0.7416497595445581,1
-0.7240410336336836,-0.725122680866385,-0.7258282993788072,-0.7267390988409307,-0.7277418563745883,-0.7286848863949988,-0.7296698299034021,-0.7311585359651385,-0.7327395047838992,-0.7338560013297398,-0.7342535893861984,-0.7348610519256479,-0.7357777027137254,-0.7362764886479461,-0.7372260026532446,-0.7385003253649446,-0.7392915235129476,-0.7398388693912679,-0.7408444648202623,-0.7409343262786359,1
-0.7243069363319335,-0.7249997369033094,-0.7258935490710533,-0.7268922176494078,-0.7278447945072097,-0.7288355603011701,-0.7303354517604357,-0.7319122358904889,-0.7330335125552002,-0.7334689311090554,-0.7341027491325824,-0.7349993530968393,-0.7355010382858422,-0.7364475560525042,-0.7377267394775041,-0.7384852243480051,-0.7390423001199384,-0.7400503798112462,-0.7401291950263105,-0.7381960306446306,0
-0.7241840190468936,-0.7250649724755536,-0.7260466348874771,-0.7269951335698596,-0.7279954356768998,-0.7295010367200933,-0.7310889859382095,-0.7322061788613755,-0.7326465279673339,-0.733318124529568,-0.7342410193650637,-0.7347227507544563,-0.7356720672048973,-0.736948179780549,-0.7377116418848129,-0.7382360575685041,-0.7392537623927947,-0.739335273153224,-0.7373915250755158,-0.7389013873856808,1
-0.7242492404634454,-0.7252180251642805,-0.7261495286329421,-0.7271457422339354,-0.7286607675096978,-0.7302544062509497,-0.7313828642675412,-0.7318192795663623,-0.732495754751282,-0.7334563638940981,-0.733964478900101,-0.734893741293384,-0.7361725783062496,-0.7369330855977939,-0.7374625316054074,-0.7384474718056565,-0.7385388185178994,-0.7365982275994564,-0.7380967206470177,-0.7373546408178066,0
-0.7244022599407403,-0.7253208966435886,-0.726300104845818,-0.7278109305002703,-0.7294139733581482,-0.7305482203679837,-0.730996050056284,-0.7316685395812923,-0.7326339635326629,-0.7331798851650377,-0.7341354311875326,-0.7353941400764225,-0.7361574875192741,-0.7366840315823345,-0.7376738979030848,-0.7377326903371886,-0.7358023960108176,-0.7373032623327176,-0.7365503275009386,-0.7378735818487221,0
-0.7245051090976106,-0.7254714402718444,-0.7269651497860196,-0.7285639738206496,-0.7297077236390438,-0.7301614906754774,-0.7308453432207292,-0.7318067179009398,-0.7323575459699011,-0.7333507992884569,-0.7346357180286924,-0.7353790526759288,-0.7359084895341794,-0.7368953501409061,-0.7369592785156992,-0.7349968894349892,-0.7365072702536722,-0.7357572218819234,-0.737069149957115,-0.7384655776849606,1
-0.7246556200588842,-0.7261363412966413,-0.7277180308503987,-0.7288576607155974,-0.7293210779701726,-0.7300108167693061,-0.7309834911533211,-0.7315303612616446,-0.7325284222814266,-0.7338509744437569,-0.7346206340033309,-0.7351301105677842,-0.7361197605518356,-0.7361808921571638,-0.7342240979731354,-0.7357016035588307,-0.7349615817354126,-0.7362759260071086,-0.737661010526054,-0.7381053419207814,1
-0.7253203768045094,-0.7268890594379208,-0.7280116544655065,-0.7284710984778028,-0.7291704368004825,-0.7301489345166298,-0.7307071952881373,-0.7317011999113907,-0.7330284867813318,-0.7338358937858082,-0.7343717475848645,-0.7353413341746948,-0.7354054633016645,-0.7334463293813612,-0.7349286522987268,-0.7341562661586923,-0.7354801677855128,-0.7368676515868099,-0.7373008570734656,-0.7375360182655052,1
-0.7260729316108777,-0.7271826195130198,-0.7276251755191252,-0.728320489813727,-0.729308524539365,-0.7298726990219824,-0.7308779963684328,-0.7322011541952065,-0.7330134094597266,-0.7335870629296539,-0.7345829239399269,-0.7346271972179966,-0.7326715157279463,-0.7341507245766001,-0.7333836653133228,-0.7346747344069474,-0.7360717586679086,-0.7365075802766086,-0.7367316635050392,-0.7372463181754311,1
-0.7263664279853612,-0.7267962242004964,-0.7274745993062495,-0.7284585477557964,-0.7290323490615999,-0.7300434627823099,-0.731377840706356,-0.7321860801966994,-0.7327646336532412,-0.7337981921409363,-0.7338689467394774,-0.731893863161902,-0.7333757524534671,-0.7326060865413262,-0.7339020159957224,-0.735266190903743,-0.7357117693224507,-0.7359385165276191,-0.7364420296096009,-0.7370271537594619,1
-0.7259801165180922,-0.7266456805722404,-0.7276126275013856,-0.7281824318716574,-0.729203075720582,-0.7305431979044447,-0.7313627700228006,-0.731937359221334,-0.7329757161557137,-0.7330843743313624,-0.7311362241447997,-0.7325979418516043,-0.7318314619196465,-0.7331243201492521,-0.7344933383761293,-0.7349062833333524,-0.7351428351121467,-0.735648948690744,-0.7362229152713129,-0.7362915674437953,1
-0.7258296055568186,-0.7267836788981415,-0.7273365711111132,-0.7283531216909434,-0.7297027022667207,-0.7305281305138275,-0.7311141037441353,-0.732148395200432,-0.7322620562664017,-0.7303522617996485,-0.7318401453283414,-0.7310539978677569,-0.7323495789391369,-0.7337155089738275,-0.734133512416988,-0.734337478361966,-0.7348533331909743,-0.735429884327195,-0.7354874970324609,-0.7346289408398915,1
-0.725967573937986,-0.7265076822463391,-0.7275072241523725,-0.7288526404267949,-0.7296876381497518,-0.730279518568645,-0.7313250933139119,-0.7314348926044336,-0.7295305481689295,-0.7310560258372566,-0.7302965467330036,-0.731571998618038,-0.7329406347623418,-0.7333557642848305,-0.7335648364256178,-0.7340480422039597,-0.7346343186940875,-0.7346946338196512,-0.7338252503282066,-0.7335809822531885,0
