0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,transaction
-1.1787932858999597,-1.1792680953420258,-1.1756429731033788,-1.17136285005215,-1.176214194302072,-1.177456206750615,-1.1800841252947536,-1.1797742583484114,-1.1808486185753442,-1.1812774833610775,-1.1855226893107738,-1.186227499640292,-1.1877753622238716,-1.1894828848402024,-1.189829337828403,-1.1920646427130857,-1.1909373899591473,-1.1924693768821362,-1.1931284737800691,-1.1938593775678668,-1.1941666120947785,-1.1963521173310594,-1.1973924937698144,-1.1995764139359117,-1.2013567600902082,-1.2028919597292451,-1.2046555772498213,-1.2061752352988397,-1.2079719662891815,-1.209139811475115,-1.2100490343113997,-1.211576883962247,-1.2127238923498318,-1.2131824590491673,-1.213523001624752,-1.215398601156933,-1.2168334089383563,-1.217937537828951,-1.2198292811015923,-1.2228919557451032,-1.2235457472893774,-1.2248217449791963,-1.226078105231683,-1.2280229404494916,-1.22294875924207,-1.224810859185307,-1.226323887836478,-1.2286463171974866,-1.229656581456206,-1.2313516880551791,0
-1.1780318964743324,-1.1743707438654216,-1.170125788995521,-1.1749945861842002,-1.176214194302072,-1.17883778362893,-1.1785562702706949,-1.179628668911305,-1.1800474391896443,-1.1843017786840533,-1.1850122885829728,-1.1865557932569284,-1.1882133263563281,-1.1885699429116732,-1.190779331779006,-1.1896517392418973,-1.1911934507343527,-1.191847161118928,-1.192396036890612,-1.192723374355204,-1.1949366493656437,-1.1959118223789003,-1.198090077959361,-1.1997968464690614,-1.2012832330019525,-1.203075904653846,-1.2045819490791925,-1.2064699504354568,-1.2076401944573887,-1.2085496085635399,-1.2100490343113997,-1.2112444562632867,-1.2116520420868915,-1.2119989387967374,-1.213819078406605,-1.2152504614635307,-1.216351624674669,-1.2182713100440699,-1.221313718121335,-1.221963547348313,-1.22328561428436,-1.2246358110744657,-1.2265618409486527,-1.221469690415788,-1.2233586043666043,-1.224885424139725,-1.2271446229372636,-1.2281610181333762,-1.2298433575009042,-1.2325852251413847,1
-1.1731372501667285,-1.1688566888695413,-1.1737555153822696,-1.1749945861842002,-1.177595005543391,-1.177310777605529,-1.1784107602684037,-1.178827927007218,-1.1830700705084205,-1.1837916565813829,-1.1853404033365593,-1.1869935180791102,-1.1873009010803768,-1.1895194025173437,-1.188367808673629,-1.1899076532464172,-1.1905715888517114,-1.191115142573977,-1.1912607597119536,-1.1934929249186208,-1.1944966280680065,-1.196608956053152,-1.1983103677034284,-1.1997233689580116,-1.2014670507225917,-1.2030023266840058,-1.204876461761708,-1.2061383959067626,-1.2070503778675348,-1.2085496085635399,-1.2097168276649692,-1.2101733003444146,-1.2104693107622677,-1.2122948188598448,-1.2136710400156787,-1.214769007459972,-1.2166851676264525,-1.2197547421112656,-1.220385944983996,-1.2217035929972115,-1.2230998049950623,-1.2251192392267654,-1.2200128035496753,-1.2218792685428943,-1.2234331216619745,-1.22570563863832,-1.226659643104981,-1.2283476716195727,-1.2310760793959128,-1.231688107260508,1
-1.1676262409907598,-1.1724843566299887,-1.1737555153822696,-1.1763746459143791,-1.176068845750354,-1.1771653484604434,-1.1776104552558015,-1.1818489078271817,-1.182560229081157,-1.1841195922188141,-1.1857778896746747,-1.1860815913662315,-1.1882498233673662,-1.1871092358260262,-1.1886235762757142,-1.1892861478068688,-1.189839986636839,-1.1899805138293031,-1.1920298184458835,-1.1930531817395253,-1.195193328455932,-1.1968291035292318,-1.1982369377887394,-1.199907062735636,-1.201393523634336,-1.2032966385633672,-1.204545134993878,-1.205548965633528,-1.2070503778675348,-1.208217619425779,-1.208646384026471,-1.2089913351925556,-1.2107649935934235,-1.2121468788282912,-1.2131899152451673,-1.2151023217701278,-1.2181675807454901,-1.2188275970692684,-1.220126168505541,-1.2215179113178538,-1.2235829091472368,-1.2185743657802492,-1.2204221183871113,-1.2219537372932774,-1.2242528119110432,-1.2252209664346048,-1.2268461738097052,-1.229579584628468,-1.230179554381361,-1.2319497666424304,1
-1.1712519049223182,-1.1724843566299887,-1.1751348114092341,-1.174849316738918,-1.1759234971986365,-1.1763654881624712,-1.1806297878033458,-1.1813393447973084,-1.182887984284398,-1.184556839735389,-1.1848664598036012,-1.1870299951476253,-1.1858410206388543,-1.1873648595660142,-1.1880024263849354,-1.1885549649368117,-1.1887060032037868,-1.1907491333015017,-1.1915903563122094,-1.193749441773093,-1.1954133391047503,-1.1967557210372053,-1.1984205125754621,-1.1998335852245863,-1.2016876319873588,-1.2029655376990855,-1.2039561096288465,-1.205548965633528,-1.2067186060357422,-1.2071478766485493,-1.2074652048391625,-1.2092868264805203,-1.2106171521778457,-1.2116660737257416,-1.213523001624752,-1.216583718704155,-1.2172410725460916,-1.218567996457509,-1.219940613878073,-1.2220006836841846,-1.2170424221639502,-1.2189834203706562,-1.2204965392666454,-1.2227728935474902,-1.223768449491139,-1.2254073788206492,-1.2280772764608836,-1.2286836478947258,-1.2304410408439386,-1.230006011233864,1
-1.1712519049223182,-1.1738628703789589,-1.1736103263267996,-1.174704047293636,-1.1751240801641885,-1.179383142923002,-1.1801205027953263,-1.1816669210307986,-1.1833249912220525,-1.1836459074091914,-1.1858143468695175,-1.1846225086256257,-1.1860964997161207,-1.1867440590546146,-1.187271661807548,-1.187421631488223,-1.1894741855294029,-1.190309922174531,-1.1922861713571935,-1.1939693133626406,-1.195340002221811,-1.1969391772672713,-1.198347082660773,-1.2001274952687857,-1.2013567600902082,-1.2023769139403622,-1.2039561096288465,-1.205217411104834,-1.205649563466632,-1.2059674708253993,-1.2077604996359896,-1.209139080836538,-1.2101366675772174,-1.2119989387967374,-1.2150033855340177,-1.2156578456203881,-1.21698165025026,-1.2183825674491096,-1.2204230559094895,-1.2154646885707816,-1.2174512026004056,-1.2190577939325487,-1.2213151689415174,-1.2222888466700008,-1.2239547427295636,-1.226637700568542,-1.2271819290782082,-1.2289449627754006,-1.2284985699790765,-1.2301929107923801,1
-1.1726296572163104,-1.1723392499195708,-1.1734651372713298,-1.173905065344585,-1.1781400626123328,-1.1788741409152017,-1.180447900300482,-1.1821036893421186,-1.1824145601019391,-1.1845932770284366,-1.1834081720098835,-1.1848778481052316,-1.1854760505284738,-1.186013705511791,-1.1861389767125983,-1.1881893735017832,-1.1890352242004796,-1.1910053397922344,-1.1925059024240305,-1.1938960228327915,-1.1955233444291595,-1.1968657947752448,-1.1986408023195294,-1.1997968464690614,-1.2007685433841624,-1.2023769139403622,-1.2036247828610165,-1.2041490687345966,-1.2044699302869244,-1.2062625722811868,-1.2076128522375762,-1.2086589074935954,-1.2104693107622677,-1.213478339112275,-1.2140781455907268,-1.215398601156933,-1.2167963486103803,-1.2188646828709482,-1.213891533022623,-1.215873188265369,-1.2175255263161249,-1.219875903113363,-1.2208314332245476,-1.2224750185459583,-1.225184278103167,-1.225742921115529,-1.227443072064822,-1.227003766518959,-1.2286853460237748,-1.2283986750306266,1
-1.1711068783650558,-1.1721941432091532,-1.1726665974662451,-1.1769194063341866,-1.1776313426813205,-1.1792013564916448,-1.1808844303073558,-1.1811937553602019,-1.183361408466857,-1.182188415687275,-1.1836633723737842,-1.1842577379404744,-1.1847461103077126,-1.1848816575204146,-1.1869062795188547,-1.187750663779749,-1.1897302463046082,-1.1912249453557198,-1.1924326587350849,-1.1940792491574144,-1.1954500075462202,-1.197159324743351,-1.1983103677034284,-1.1992090263806623,-1.2007685433841624,-1.2020458130760805,-1.2025571743868968,-1.202970208188128,-1.2047648385818512,-1.2061150215532932,-1.2071329981927321,-1.2089913351925556,-1.2119477249180475,-1.212553713915064,-1.213819078406605,-1.21521342654018,-1.2172781328740676,-1.2123375817752875,-1.214299753203052,-1.2159474609371126,-1.2183430871890355,-1.2193924749610636,-1.2210174854233822,-1.2237037529272776,-1.224290070558728,-1.2260038984559911,-1.225503152735692,-1.2271904200051555,-1.226892295994671,-1.2247728235954165,1
-1.1709618518077936,-1.1713960563018546,-1.1756792703672463,-1.1764109632756996,-1.1779583769226858,-1.1796376439269023,-1.1799749927930352,-1.1821400867013954,-1.1809578703097576,-1.1824434767386103,-1.1830436000614544,-1.1835281965701712,-1.1836147029655326,-1.1856485287403793,-1.1864678207724224,-1.1884452875063032,-1.1899497269690698,-1.1911517435012247,-1.192615767957449,-1.194005958627565,-1.1957433550779781,-1.1968291035292318,-1.1977229283859154,-1.1992090263806623,-1.2004376714870117,-1.2009789325133946,-1.2013791236568339,-1.2032649233247452,-1.204617384434388,-1.2056354816876387,-1.2074652048391625,-1.2104687916323793,-1.2110237160706852,-1.2122948188598448,-1.213634030417947,-1.2156948805437389,-1.2107555151503022,-1.212745525593766,-1.2143739750540392,-1.2167644603262877,-1.217859983036861,-1.2195784088657942,-1.2222454299356904,-1.2228101279226817,-1.2245508810925227,-1.2240652096411295,-1.225689683440416,-1.2253985465376709,-1.2232688407275245,-1.221483391365535,1
-1.1701642057428507,-1.174407020543026,-1.1751711086731016,-1.1767378195275844,-1.178394422577839,-1.178728711770116,-1.1809208078079287,-1.179737860989135,-1.1812127910233894,-1.181824042756796,-1.1823144561645953,-1.1823974074462018,-1.184381140197332,-1.1852103166146852,-1.1871620471209403,-1.1886646423673204,-1.1898765667475828,-1.1913347481374623,-1.1925425242685035,-1.194299120746962,-1.1954133391047503,-1.1962420435930194,-1.1977229283859154,-1.198878377580938,-1.1993715287073037,-1.1998016849959483,-1.2016736363393496,-1.2031175657564366,-1.2041381584551318,-1.2059674708253993,-1.208941678823298,-1.2095453813574897,-1.2107649935934235,-1.2121098938204027,-1.2141151551884584,-1.2091767340340198,-1.2111631787580375,-1.212819697197126,-1.2151904154148976,-1.216281687959957,-1.218045792326159,-1.220805572637016,-1.2213523793812844,-1.223070768549022,-1.2226134314129053,-1.224251622027174,-1.2238989886750653,-1.2217774689054626,-1.2199815823408346,-1.2199134350740006,1
