0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,transaction
-1.2579661787589798,-1.25364586123148,-1.24963430327323,-1.22119725421148,-1.262076722300735,-1.2948327353226607,-1.295358467484254,-1.2969292376232557,-1.3015347467103169,-1.3025325943229276,-1.341165483443633,-1.3365605562934673,-1.3340988328199777,-1.3385284853910249,-1.3404971078780954,-1.3407642890387572,-1.3224918602514057,-1.331326741836164,-1.3308269039562433,-1.3348209829765727,-1.3302270273062202,-1.3322917400921306,-1.3362254402133995,-1.347053672268258,-1.347565378330401,-1.3460559292409418,-1.3484618579417427,-1.350968191110388,-1.3546058067842617,-1.3574101291237755,-1.3463602430882902,-1.3441981251353015,-1.3407981177341688,-1.3385956863961095,-1.3378584293755593,-1.3452263039738332,-1.3451295032472954,-1.3414791955079082,-1.3439744962324027,-1.3666123471992062,1
-1.2515438666726209,-1.2475830393437686,-1.219173664342863,-1.2600577548521184,-1.2926676396167474,-1.2930730065006022,-1.2946390377130097,-1.2992385193136198,-1.3001953863693247,-1.3384447966952413,-1.333675210366814,-1.3312559707671328,-1.3356433981003817,-1.337587418853931,-1.3377931082132393,-1.3195063367700666,-1.3284298233891199,-1.3278555060933048,-1.331954539529012,-1.3273437566410384,-1.329421431384454,-1.33331661994572,-1.344164246635688,-1.3445701070038176,-1.3430562850876526,-1.3454484235133353,-1.3479437782774264,-1.3515573179892266,-1.3543574755515508,-1.3432788775856321,-1.3410939117848615,-1.3377480089576288,-1.3356646013764593,-1.3349094657435958,-1.3422787852668585,-1.3421519920743503,-1.3385242367859485,-1.340988954185288,-1.3635743787392895,-1.3682434342722258,1
-1.245486271711576,-1.2171481674954974,-1.2580014334185898,-1.290623799855487,-1.2909094460419197,-1.2923542440239868,-1.296946174565621,-1.2979004050724887,-1.3360736741016335,-1.3309621664749631,-1.328376402482769,-1.3327988711003798,-1.3347033484952524,-1.3348863635719475,-1.3165585126950823,-1.3254377533695758,-1.3249622980108584,-1.3289819151215096,-1.3244853494479982,-1.3265390327304876,-1.3304452095350319,-1.3412468378292322,-1.341683369628723,-1.3400660140666125,-1.3424494538475071,-1.344930918634263,-1.3485322492004812,-1.3513092645665576,-1.3402421025286098,-1.3380185036623966,-1.334650999481311,-1.3326201949112,-1.3319824159823872,-1.339324984862388,-1.3392078310775948,-1.3355540238904466,-1.338034535996573,-1.3605672544473693,-1.3652036599900441,-1.3637358065993277,1
-1.215077638609256,-1.2559430916162762,-1.288541733141542,-1.288867035801057,-1.290191310638117,-1.2946592409317537,-1.2956093031516227,-1.3337453127441883,-1.328598110301498,-1.3256687653401893,-1.3299176223216271,-1.3318598348113837,-1.3320052120179937,-1.3136748903862996,-1.322483412269053,-1.3219740508994122,-1.3260875030332018,-1.3215208493802313,-1.3236814904258263,-1.3275617027001458,-1.338366902765735,-1.3387686447406348,-1.3371841520059218,-1.339459855764783,-1.3419325235318276,-1.3455187366762527,-1.3482844719697213,-1.3372096825189477,-1.3349876394001177,-1.3315828797111988,-1.3295289124831855,-1.3289420996896033,-1.3363931014890662,-1.336257390924461,-1.3326170690802845,-1.3350648641802607,-1.3575912494978617,-1.3621947416288585,-1.3607010228382217,-1.3652412057017467,1
-1.2538391165514775,-1.2864575568709504,-1.2867864487807787,-1.2881494842858674,-1.292494296588243,-1.2933236095096903,-1.3314209184313408,-1.3262767039797725,-1.323309708130364,-1.327208412563202,-1.3289796088110832,-1.3291646067606664,-1.3108166602988431,-1.3195933383423004,-1.3190235154728085,-1.3230980153957546,-1.318634412340649,-1.3207178647264615,-1.3247030612665032,-1.335474821153895,-1.3358913736311404,-1.3342742945630086,-1.336578649821171,-1.3389434986928541,-1.3425196889447462,-1.3452712343427833,-1.3342005889212978,-1.331961097598386,-1.3285592468079026,-1.3264665869211993,-1.3258549251775171,-1.333347885805696,-1.3333288656068554,-1.3296738405673922,-1.3321284436218634,-1.3545999691178623,-1.3592169422346845,-1.357697062517843,-1.3622047552710546,-1.36768069494931,1
-1.28432727444052,-1.2847037573298694,-1.2860695016475094,-1.2904505977656138,-1.2911598304164256,-1.329102008345662,-1.3239592464360979,-1.3209932219761316,-1.32484790134672,-1.3262713561743307,-1.3262873163457176,-1.3079988950078079,-1.3167287126827234,-1.3161372090246546,-1.3201462450356058,-1.315653141652656,-1.3178322859880873,-1.3217383243906273,-1.3326076749845268,-1.3330019716370984,-1.3314018546921296,-1.3336694474363,-1.3360628516637905,-1.339530012975643,-1.3422724614024646,-1.3312029767062656,-1.3289578479704447,-1.3255398964979348,-1.32344870291655,-1.3227967557040763,-1.330255790649126,-1.3302870536774851,-1.3267525221778733,-1.329185749765058,-1.3516422126561405,-1.3562238655976078,-1.3547242222019238,-1.3591991391284293,-1.3646415436916226,-1.3637072411514637,1
-1.2825749868985972,-1.283987416672245,-1.2883686769369598,-1.2891172165975409,-1.3269070149612747,-1.3216472572950944,-1.3186806716777342,-1.3225299841046056,-1.3239117298918823,-1.3235818108458008,-1.3051446578381536,-1.3139045745598423,-1.3132763181152136,-1.317258716048212,-1.3127095511988582,-1.3148518996354615,-1.3188516548944678,-1.3296343401526978,-1.3301374831976442,-1.328517312343925,-1.3307976577508047,-1.333154207291326,-1.336648731092554,-1.339283059593416,-1.3282198231468718,-1.325966052332176,-1.3225437964741815,-1.3204350698109653,-1.3197829952882414,-1.327192642827897,-1.3271983770406368,-1.3237180152524632,-1.3262649656822765,-1.3486781667489822,-1.3532643355442715,-1.3517361096518317,-1.3562246426437898,-1.3616332443000434,-1.3606724890159667,-1.362870273529056,1
-1.2818592638180935,-1.286284647057041,-1.2870364188540644,-1.324835336464762,-1.3194587676888836,-1.3163735785873598,-1.3202160064769033,-1.3215946836350314,-1.3212247245067579,-1.302460725691333,-1.3110439050490064,-1.3104559014630868,-1.3143966132198515,-1.3098301200208866,-1.3119091895303294,-1.3158701446989793,-1.326739230694658,-1.3271668352270507,-1.3256576438553322,-1.327913769411012,-1.330282971467454,-1.3337394528907802,-1.336402045017285,-1.3252460048445684,-1.322988713104506,-1.3195591169271401,-1.3174446536911557,-1.3167734630377053,-1.3241739429938981,-1.3241386878273507,-1.3206366753091898,-1.323231000334746,-1.345736044567482,-1.3502985147032436,-1.3487814810478254,-1.353234872252227,-1.3586560640049925,-1.357668560115365,-1.3598364480238982,-1.3571686101354536,1
-1.28415451369695,-1.2849535159499608,-1.3227244539323693,-1.3173931450792504,-1.3141896899176868,-1.3179074893133171,-1.319281574705057,-1.3189101781574637,-1.300123585608777,-1.3083539534821096,-1.3075989881740009,-1.3115749889579376,-1.3069760446554688,-1.3090306298654792,-1.312926315817418,-1.3237490245347248,-1.3242743632570988,-1.322691868666979,-1.3250547495887033,-1.3273996402459376,-1.330867587952347,-1.33349303369101,-1.3223801842389353,-1.3200206957797236,-1.316588891044082,-1.3144656314054022,-1.313787123887097,-1.321159498556714,-1.3211234195557138,-1.317584408825253,-1.320150204318755,-1.3426804507405548,-1.3473546187476322,-1.3458205653655477,-1.3502786067256625,-1.3556636070923365,-1.354695751225797,-1.356833439722762,-1.3541410971018217,-1.3518068755714294,1
-1.2828245301948646,-1.320611362018384,-1.315288530983095,-1.312128351395004,-1.3157222624077949,-1.3169739242574832,-1.3165995625693456,-1.2978286711131704,-1.3060112479737154,-1.3049125516999722,-1.3087168567824363,-1.3041624193138268,-1.3061774184422617,-1.3100466486046427,-1.3207965388912857,-1.3212868745860544,-1.3198041799381348,-1.3220896301766516,-1.3245411729912047,-1.327983623917136,-1.3306214336429183,-1.31948634235862,-1.3171605311463146,-1.3136279707261698,-1.3115010606000839,-1.3108121594602127,-1.3181682758309887,-1.3181123877623384,-1.3145765052387957,-1.3170984881406147,-1.33957793241932,-1.3442972270080926,-1.3428815713636093,-1.3473160528820025,-1.3527046889436378,-1.3517076701337976,-1.353861551625291,-1.3511443601881699,-1.3487852986645779,-1.3494616523018164,1
