0,1,2,3,4,5,6,7,8,9,transaction
-1.0723713268568917,-1.0722082268476127,-1.074459495681734,-1.0732180536799971,-1.0836360007539065,-1.0921993322922914,-1.0925974256277011,-1.0941957821648967,-1.091468480132625,-1.0890380357250578,0
-1.070224510147584,-1.0725151245335276,-1.0712348729198151,-1.0816692870649234,-1.0902478460057916,-1.0906606261836316,-1.092135489602549,-1.0894190562185986,-1.0869967509606289,-1.1004567326205494,1
-1.0705311982489139,-1.0692926988314233,-1.0796803134867452,-1.0882766149840477,-1.0887102075751207,-1.0901990143510336,-1.0873621506759787,-1.0849505061398035,-1.0984073702271022,-1.0987593587577063,0
-1.0673109731849522,-1.077732385194077,-1.086283112475436,-1.0867400270958794,-1.0882489160459194,-1.085429025414188,-1.0828967690995095,-1.0963530132374184,-1.0967111970928967,-1.0998395057613337,1
-1.0757448959715181,-1.084330685441243,-1.0847475778269033,-1.0862790507294289,-1.0834822369108397,-1.0809667776990743,-1.0942911910532584,-1.0946580459661512,-1.097790579996482,-1.0996851990465297,0
-1.0823386901501062,-1.0827961970116695,-1.0842869174323435,-1.0815156282761067,-1.079023085461894,-1.0923532029031575,-1.0925974256277011,-1.095736661502412,-1.0976363824388269,-1.0992222789021178,1
-1.080805249643458,-1.0823358504827976,-1.079526760021892,-1.077059523400418,-1.0904016098488587,-1.0906606261836316,-1.0936752763530555,-1.0955825735686604,-1.0971737897658616,-1.0996851990465297,0
-1.0803452174914634,-1.07757893635112,-1.075073709541147,-1.0884302737728646,-1.0887102075751207,-1.0917377204596934,-1.0935212976780049,-1.0951203097674058,-1.0976363824388269,-1.099067972187314,0
-1.0755915519208534,-1.0731289199053569,-1.0864366659402893,-1.0867400270958794,-1.0897865544765903,-1.0915838498488275,-1.0930593616528528,-1.0955825735686604,-1.0970195922082067,-1.1006110393353534,1
-1.071144574451573,-1.0844841342842002,-1.0847475778269033,-1.0878156386175972,-1.089632790633523,-1.0911222380162293,-1.0935212976780049,-1.0949662218336542,-1.098561567784757,-1.1003024259057455,1
-1.0824920342007711,-1.0827961970116695,-1.0858224520808761,-1.0876619798287803,-1.0891714991043218,-1.0915838498488275,-1.0929053829778024,-1.0965071011711698,-1.098253172669447,-1.0998395057613337,0
-1.080805249643458,-1.0838703389123707,-1.0856688986160228,-1.0872010034623298,-1.089632790633523,-1.0909683674053636,-1.0944451697283089,-1.0961989253036666,-1.097790579996482,-1.0996851990465297,0
-1.0818786579981117,-1.0837168900694134,-1.085208238221463,-1.0876619798287803,-1.089017735261255,-1.0925070735140234,-1.0941372123782076,-1.095736661502412,-1.0976363824388269,-1.1006110393353534,0
-1.0817253139474468,-1.0832565435405415,-1.0856688986160228,-1.087047344673513,-1.0905553736919258,-1.0921993322922914,-1.0936752763530555,-1.0955825735686604,-1.098561567784757,-1.1006110393353534,0
-1.0812652817954522,-1.0837168900694134,-1.0850546847566098,-1.0885839325616813,-1.0902478460057916,-1.0917377204596934,-1.0935212976780049,-1.0965071011711698,-1.098561567784757,-1.101382572909373,1
-1.0817253139474468,-1.0831030946975841,-1.0865902194051424,-1.0882766149840477,-1.0897865544765903,-1.0915838498488275,-1.0944451697283089,-1.0965071011711698,-1.0993325555730322,-1.1026170266278048,1
-1.0811119377447875,-1.0846375831271575,-1.086283112475436,-1.0878156386175972,-1.089632790633523,-1.0925070735140234,-1.0944451697283089,-1.0972775408399273,-1.100566136034273,-1.1007653460501574,1
-1.0826453782514358,-1.084330685441243,-1.0858224520808761,-1.0876619798287803,-1.0905553736919258,-1.0925070735140234,-1.0952150631035622,-1.09851024430994,-1.0987157653424122,-1.1003024259057455,0
-1.0823386901501062,-1.0838703389123707,-1.0856688986160228,-1.0885839325616813,-1.0905553736919258,-1.0932764265683532,-1.0964468925039677,-1.0966611891049214,-1.098253172669447,-1.1004567326205494,1
-1.0818786579981117,-1.0837168900694134,-1.0865902194051424,-1.0885839325616813,-1.091324192907261,-1.0945073914552814,-1.0945991484033597,-1.0961989253036666,-1.0984073702271022,-1.1004567326205494,1
-1.0817253139474468,-1.0846375831271575,-1.0865902194051424,-1.0893522265057656,-1.092554303651798,-1.0926609441248893,-1.0941372123782076,-1.0963530132374184,-1.0984073702271022,-1.0978335184688826,1
-1.0826453782514358,-1.0846375831271575,-1.087357986729409,-1.0905814968163006,-1.0907091375349929,-1.0921993322922914,-1.0942911910532584,-1.0963530132374184,-1.0957860117469664,-1.0969076781800589,1
-1.0826453782514358,-1.085404827341944,-1.0885864144482353,-1.0887375913504982,-1.0902478460057916,-1.0923532029031575,-1.0942911910532584,-1.0937335183636419,-1.0948608264010362,-1.0969076781800589,0
-1.08341209850476,-1.086632418085603,-1.0867437728699958,-1.0882766149840477,-1.0904016098488587,-1.0923532029031575,-1.0916735535773971,-1.0928089907611327,-1.0948608264010362,-1.0967533714652549,0
-1.0846388509100788,-1.0847910319701148,-1.086283112475436,-1.0884302737728646,-1.0904016098488587,-1.0897374025184356,-1.0907496815270932,-1.0928089907611327,-1.094706628843381,-1.0969076781800589,0
-1.0827987223021007,-1.084330685441243,-1.0864366659402893,-1.0884302737728646,-1.0877876245167182,-1.0888141788532397,-1.0907496815270932,-1.092654902827381,-1.0948608264010362,-1.0972162916096666,0
-1.0823386901501062,-1.0844841342842002,-1.0864366659402893,-1.0858180743629784,-1.0868650414583156,-1.0888141788532397,-1.0905957028520423,-1.0928089907611327,-1.0951692215163462,-1.0975249050392746,0
-1.0824920342007711,-1.0844841342842002,-1.0838262570377837,-1.0848961216300772,-1.0868650414583156,-1.0886603082423736,-1.0907496815270932,-1.0931171666286357,-1.0954776166316562,-1.0975249050392746,0
-1.0824920342007711,-1.0818755039539254,-1.082904936248664,-1.0848961216300772,-1.0867112776152485,-1.0888141788532397,-1.0910576388771944,-1.0934253424961387,-1.0954776166316562,-1.0975249050392746,0
-1.0798851853394689,-1.0809548108961813,-1.082904936248664,-1.0847424628412603,-1.0868650414583156,-1.0891219200749718,-1.0913655962272957,-1.0934253424961387,-1.0954776166316562,-1.0978335184688826,0
-1.0789651210354798,-1.0809548108961813,-1.0827513827838107,-1.0848961216300772,-1.0871725691444498,-1.0894296612967036,-1.0913655962272957,-1.0934253424961387,-1.0957860117469664,-1.1012282661945691,0
-1.0789651210354798,-1.080801362053224,-1.082904936248664,-1.0852034392077108,-1.0874800968305838,-1.0894296612967036,-1.0913655962272957,-1.0937335183636419,-1.0991783580153773,-1.1015368796241771,0
-1.078811776984815,-1.0809548108961813,-1.0832120431783705,-1.0855107567853444,-1.0874800968305838,-1.0894296612967036,-1.0916735535773971,-1.097123452906176,-1.0994867531306873,-1.101382572909373,0
-1.0789651210354798,-1.081261708582096,-1.083519150108077,-1.0855107567853444,-1.0874800968305838,-1.0897374025184356,-1.0950610844285116,-1.097431628773679,-1.0993325555730322,-1.1018454930537849,1
-1.0792718091368094,-1.0815686062680105,-1.083519150108077,-1.0855107567853444,-1.0877876245167182,-1.0931225559574873,-1.0953690417786128,-1.0972775408399273,-1.0997951482459976,-1.1024627199130006,1
-1.079578497238139,-1.0815686062680105,-1.083519150108077,-1.0858180743629784,-1.0911704290641941,-1.0934302971792194,-1.0952150631035622,-1.0977398046411821,-1.1004119384766178,-1.101691186338981,1
-1.079578497238139,-1.0815686062680105,-1.0838262570377837,-1.089198567716949,-1.0914779567503283,-1.0932764265683532,-1.095676999128714,-1.0983561563761883,-1.0996409506883424,-1.1010739594797652,1
-1.079578497238139,-1.0818755039539254,-1.0872044332645558,-1.0895058852945825,-1.091324192907261,-1.0937380384009512,-1.0962929138289168,-1.0975857167074308,-1.0990241604577222,-1.101382572909373,0
-1.0798851853394689,-1.085251378498987,-1.0875115401942623,-1.0893522265057656,-1.0917854844364623,-1.0943535208444153,-1.0955230204536637,-1.0969693649724244,-1.0993325555730322,-1.1007653460501574,0
-1.0832587544540953,-1.0855582761849016,-1.087357986729409,-1.089813202872216,-1.0924005398087309,-1.0935841677900853,-1.094907105753461,-1.0972775408399273,-1.0987157653424122,-1.101382572909373,0
-1.0835654425554249,-1.085404827341944,-1.0878186471239688,-1.0904278380274837,-1.0916317205933954,-1.0929686853466214,-1.0952150631035622,-1.0966611891049214,-1.0993325555730322,-1.1018454930537849,1
-1.08341209850476,-1.0858651738708163,-1.088432860983382,-1.0896595440833994,-1.091016665221127,-1.0932764265683532,-1.0945991484033597,-1.0972775408399273,-1.0997951482459976,-1.101691186338981,1
-1.0838721306567545,-1.0864789692426458,-1.0876650936591157,-1.089044908928132,-1.091324192907261,-1.0926609441248893,-1.0952150631035622,-1.0977398046411821,-1.0996409506883424,-1.1015368796241771,1
-1.084485506859414,-1.085711725027859,-1.0870508797997025,-1.0893522265057656,-1.0907091375349929,-1.0932764265683532,-1.095676999128714,-1.0975857167074308,-1.0994867531306873,-1.1010739594797652,1
-1.0837187866060898,-1.0850979296560295,-1.087357986729409,-1.0887375913504982,-1.091324192907261,-1.0937380384009512,-1.0955230204536637,-1.097431628773679,-1.0990241604577222,-1.1006110393353534,0
-1.0831054104034303,-1.085404827341944,-1.0867437728699958,-1.0893522265057656,-1.0917854844364623,-1.0935841677900853,-1.0953690417786128,-1.0969693649724244,-1.098561567784757,-1.1004567326205494,0
-1.08341209850476,-1.0847910319701148,-1.087357986729409,-1.089813202872216,-1.0916317205933954,-1.0934302971792194,-1.094907105753461,-1.0965071011711698,-1.0984073702271022,-1.1007653460501574,0
-1.0827987223021007,-1.085404827341944,-1.0878186471239688,-1.0896595440833994,-1.0914779567503283,-1.0929686853466214,-1.0944451697283089,-1.0963530132374184,-1.0987157653424122,-1.1007653460501574,0
-1.08341209850476,-1.0858651738708163,-1.0876650936591157,-1.0895058852945825,-1.091016665221127,-1.0925070735140234,-1.0942911910532584,-1.0966611891049214,-1.0987157653424122,-1.1012282661945691,0
-1.0838721306567545,-1.085711725027859,-1.0875115401942623,-1.089044908928132,-1.0905553736919258,-1.0923532029031575,-1.0945991484033597,-1.0966611891049214,-1.0991783580153773,-1.101691186338981,1
-1.0837187866060898,-1.0855582761849016,-1.0870508797997025,-1.0885839325616813,-1.0904016098488587,-1.0926609441248893,-1.0945991484033597,-1.097123452906176,-1.0996409506883424,-1.1012282661945691,1
-1.0835654425554249,-1.0850979296560295,-1.0865902194051424,-1.0884302737728646,-1.0907091375349929,-1.0926609441248893,-1.0950610844285116,-1.0975857167074308,-1.0991783580153773,-1.0993765856169218,0
-1.0831054104034303,-1.0846375831271575,-1.0864366659402893,-1.0887375913504982,-1.0907091375349929,-1.0931225559574873,-1.0955230204536637,-1.097123452906176,-1.0973279873235169,-1.0993765856169218,0
-1.0826453782514358,-1.0844841342842002,-1.0867437728699958,-1.0887375913504982,-1.0911704290641941,-1.0935841677900853,-1.0950610844285116,-1.0952743977011574,-1.0973279873235169,-1.0999938124761377,1
-1.0824920342007711,-1.0847910319701148,-1.0867437728699958,-1.089198567716949,-1.0916317205933954,-1.0931225559574873,-1.0932133403279036,-1.0952743977011574,-1.097944777554137,-1.0996851990465297,0
-1.0827987223021007,-1.0847910319701148,-1.0872044332645558,-1.0896595440833994,-1.0911704290641941,-1.0912761086270955,-1.0932133403279036,-1.0958907494361636,-1.0976363824388269,-1.0993765856169218,0
-1.0827987223021007,-1.085251378498987,-1.0876650936591157,-1.089198567716949,-1.089325262947389,-1.0912761086270955,-1.0938292550281064,-1.0955825735686604,-1.0973279873235169,-1.1009196527649614,1
-1.0832587544540953,-1.085711725027859,-1.0872044332645558,-1.0873546622511467,-1.089325262947389,-1.0918915910705596,-1.0935212976780049,-1.0952743977011574,-1.0988699629000673,-1.1015368796241771,0
-1.0837187866060898,-1.085251378498987,-1.0853617916863163,-1.0873546622511467,-1.0899403183196574,-1.0915838498488275,-1.0932133403279036,-1.096815277038673,-1.0994867531306873,-1.1006110393353534,0
