0,1,2,3,4,5,6,7,8,9,transaction
-1.2728730588770107,-1.2690363799236097,-1.2654565757744172,-1.2370253107474183,-1.2791112872581942,-1.3129485071808005,-1.3139405402906295,-1.3160332826730428,-1.3212394606562314,-1.3227822459545773,0
-1.2663366593508647,-1.2628652390483432,-1.234448468552548,-1.2765884103009857,-1.310258142642218,-1.311156627113262,-1.3132078992675165,-1.3183851925054781,-1.3198752442358506,-1.359364293315678,1
-1.2601714558695423,-1.2318866147089,-1.2739740881378236,-1.3077070902328258,-1.3084679968794555,-1.310424732437789,-1.3155574032381894,-1.3170223773695984,-1.3564193673978846,-1.3517420948699808,1
-1.2292226367638912,-1.27137465285824,-1.3050632878936848,-1.3059185638363116,-1.3077368105819893,-1.3127718429487896,-1.314195982179914,-1.3535289634424816,-1.348805070800007,-1.3463499596562716,0
-1.2686726825803198,-1.3024342926279155,-1.3032764558515912,-1.3051880389701298,-1.3100816493980019,-1.3114118087817221,-1.350665224219319,-1.3459224880345926,-1.3434185255525244,-1.347918324833314,1
-1.299702439169429,-1.3006491595272838,-1.302546623045666,-1.3075307566444372,-1.3087229315655453,-1.3478438992941744,-1.3430665297765334,-1.3405414756939542,-1.344985264822941,-1.3469637901923492,1
-1.297919023585651,-1.299920020655195,-1.3048871213543234,-1.3061732679084286,-1.345119760594978,-1.3402529457060273,-1.337691021886643,-1.3421066056541298,-1.3440317197373552,-1.3442240786712325,1
-1.2971905862345308,-1.302258293589825,-1.3035309186306687,-1.3425371723583717,-1.3375361540538242,-1.3348829138917304,-1.3392545508133629,-1.3411540400230715,-1.341294848444509,-1.322709036808073,0
-1.299526609463986,-1.3009033803600811,-1.3398603738589605,-1.3349604259493513,-1.3321713197256713,-1.3364448500382387,-1.3383029595994345,-1.3384199799669667,-1.3198021109844487,-1.3287121868214553,1
-1.2981729998268463,-1.337198293104066,-1.3322908052549745,-1.3296004446515033,-1.333731744122946,-1.3354942282183708,-1.3355716963216988,-1.316949319238603,-1.3257990375994009,-1.3252065949984435,1
-1.3344329924159544,-1.3296359217372276,-1.3269359017172453,-1.3311594574885275,-1.3327820423802597,-1.3327657473017596,-1.3141229987829754,-1.322940085980243,-1.3222970799841967,-1.3263441525056698,1
-1.3268778969773216,-1.3242861097063832,-1.3284934376287414,-1.3302106148462451,-1.330056202275146,-1.3113388997335906,-1.3201076373319298,-1.3194417254767994,-1.3234334581982872,-1.3188092418884974,0
-1.3215332321213993,-1.3258421646939447,-1.327545493869321,-1.327487240536686,-1.3086500930838054,-1.3173174416803695,-1.3166128554400687,-1.3205769364353466,-1.3159063589386193,-1.317998309804138,0
-1.3230877899933309,-1.3248951222508865,-1.324824699539185,-1.306100495316395,-1.3146228485864804,-1.3138262199525368,-1.3177469051463433,-1.3130575687990291,-1.3150962675384756,-1.3190288693280112,0
-1.3221416587211858,-1.322176914884823,-1.3034582149795035,-1.3120678478631378,-1.3111350059031641,-1.314959114392733,-1.3102352293691384,-1.312248309501847,-1.3161257586928248,-1.327003034824212,1
-1.3194260666037905,-1.3008307458364248,-1.3094199143750331,-1.3085831602830746,-1.3122668038502001,-1.3074550908235116,-1.3094267978953584,-1.3132767431920158,-1.3240916574609036,-1.3245111081066492,1
-1.298100435186505,-1.3067867767762475,-1.3059385280019404,-1.3097139344054405,-1.3047700431911204,-1.306647482905748,-1.3104541795599536,-1.321234459614307,-1.321602314095879,-1.319991851178188,1
-1.3040507356945081,-1.3033087005473174,-1.3070682308892734,-1.3022239553176904,-1.3039632169318471,-1.307673817967906,-1.3184037557187893,-1.318747673232341,-1.3170877422304954,-1.3193836521149185,0
-1.3005760058012323,-1.3044373292995164,-1.29958534740783,-1.3014178589136276,-1.3049885586363401,-1.3156152958259157,-1.3159195131691532,-1.3142377386074198,-1.3164801736803877,-1.3188655566165777,0
-1.3017035486742312,-1.2969615606339604,-1.298780014656464,-1.3024422730937908,-1.3129223501858593,-1.3131335839952878,-1.3114141919350673,-1.313630794134533,-1.3159626152858515,-1.3194540455250192,1
-1.294234972614467,-1.2961569936026898,-1.2998034583613252,-1.3103688877337414,-1.3104430403266347,-1.3086328523702504,-1.3108078683297324,-1.3131137673613333,-1.316550494114428,-1.319206260721465,1
-1.2934311796752997,-1.2971794642049295,-1.307722563749758,-1.3078918206587569,-1.305946664819227,-1.3080271464319277,-1.3102913704437062,-1.3137010423374136,-1.3163029661866061,-1.305121947228529,1
-1.2944526665354916,-1.3050910400124236,-1.3052478433158727,-1.3033995125736153,-1.3053415451247723,-1.3075111747066896,-1.3108780446729424,-1.3134537686632746,-1.3022332537438344,-1.2998790460442333,1
-1.3023566304373047,-1.3026186725725817,-1.3007597910035722,-1.3027949402705683,-1.3048260727924588,-1.3080972512859002,-1.3106310239448429,-1.2993985082309654,-1.2969957878165168,-1.2934647985158627,1
-1.299886641717988,-1.2981348875545633,-1.3001557914400477,-1.3022799342346392,-1.3054115821264451,-1.3078504821999168,-1.296590141195374,-1.2941664220804336,-1.2905881898667697,-1.2883654998881724,0
-1.2954071706507528,-1.2975314622811103,-1.2996412732933416,-1.3028649139167543,-1.3051650518805562,-1.2938239030170902,-1.2913634071530884,-1.287765405833972,-1.2854941776248947,-1.284707858299343,0
-1.2948043259463773,-1.2970174333444653,-1.3002256987969372,-1.3026186066821794,-1.2911520485858192,-1.2886024934932148,-1.2849689387597878,-1.2826766260173164,-1.2818403278721635,-1.2890891441440069,1
-1.294290791568576,-1.2976013031692415,-1.2999796249006863,-1.2886182795532837,-1.2859356927012129,-1.2822145391992366,-1.2798853644576509,-1.2790265293956509,-1.2862170716868282,-1.2860453330912551,1
