0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,transaction
-1.2656392396657095,-1.2617147979377188,-1.2581629657477775,-1.22985697965665,-1.2716771284284765,-1.3053029589789065,-1.3063293915351204,-1.3084135816603142,-1.313584905347751,-1.3150720412420738,-1.354333277267562,-1.3498569742797843,-1.3475351499143382,-1.3520447092333172,-1.3540806392770384,-1.3543330730884746,-1.3357921671122808,-1.3447059598949826,-1.3441640205491072,-1.3482965361621826,1
-1.2591452995794232,-1.2555837937369732,-1.2273565369690664,-1.2691625008972844,-1.3026212089785052,-1.3035227438923918,-1.3056015178089737,-1.3107501883211583,-1.312229565336107,-1.3514159907805325,-1.346752813067169,-1.3444884353882307,-1.3490983646704104,-1.3510922760398645,-1.3513439641940055,-1.3328182707869738,-1.3418018488176702,-1.3411928075832413,-1.3453052686113962,-1.3407289735435985,0
-1.2530201443058933,-1.2248066522330943,-1.266625079740018,-1.3000785804978061,-1.3008427175707458,-1.3027956137866323,-1.3079357335514443,-1.3093962406144564,-1.3485359105552366,-1.3438434021567174,-1.3413902017100385,-1.346049937300813,-1.348146964666266,-1.3483585961070348,-1.3298527675758607,-1.338821353957606,-1.3382924427561271,-1.3423328184538788,-1.3377459126344524,-1.3399145273424953,0
-1.2222723639400397,-1.264037862906494,-1.2975120736223982,-1.2983016984268638,-1.300116291502788,-1.3051274448154473,-1.3065831712633937,-1.3456652892855279,-1.340971157129422,-1.338486362180875,-1.3429499795303632,-1.3450995797633525,-1.3454162502000935,-1.3268909204988608,-1.335849264263452,-1.3353158011680015,-1.3394312379760978,-1.3347816573404494,-1.3369323496593553,-1.340949552723064,0
-1.261466148363463,-1.294895492921836,-1.2957368632346629,-1.2975759296936624,-1.302445864755205,-1.3037762643507216,-1.3428151078538109,-1.3381083069308028,-1.3356196599700445,-1.340044519500219,-1.3420006713057848,-1.3423718573918217,-1.323971862496059,-1.3328808543290698,-1.332347557708081,-1.3364533460089654,-1.3318881290438171,-1.3339689763237574,-1.3379662526068745,-1.3489582737005787,1
-1.2922943404554068,-1.2931219702037389,-1.2950117773016443,-1.299903394941516,-1.3010959925599572,-1.3399711851707503,-1.3352658581347332,-1.3327623072228978,-1.337176205096819,-1.339096197541049,-1.3392759606788982,-1.3209509667023376,-1.3299552985103242,-1.329382980211523,-1.3334838544537597,-1.3289185192901045,-1.3310763146295808,-1.3350017584491367,-1.3459662885286623,-1.3464555483951055,1
-1.2905225096632902,-1.2923975736005724,-1.2973370528799453,-1.298554744230394,-1.3372558679427575,-1.3324296480202102,-1.3299253286881008,-1.3343172533520378,-1.3362288643464122,-1.3363743176995373,-1.3178787213160597,-1.3269278465544487,-1.326461218849086,-1.3305180333388233,-1.3259572948214922,-1.3281075962351598,-1.3321079954476729,-1.342993121779941,-1.3434662773031036,-1.3419167075868739,1
-1.2897988041284822,-1.2947206385693475,-1.2959896709737613,-1.334681898949766,-1.3297216328241277,-1.3270945746388716,-1.3314786837281918,-1.3333708857797244,-1.3335098007766606,-1.3149993085844383,-1.3238490019496905,-1.3234375954212976,-1.3275950406829335,-1.3229997111391802,-1.3251472614978401,-1.329138144284152,-1.3400908371876648,-1.3404958207390647,-1.3389323586398023,-1.3413058729360465,1
-1.292119652912522,-1.2933745376017776,-1.3320828374173554,-1.327154481475525,-1.3243917250841288,-1.328646342718979,-1.3305332845206677,-1.3306546154320527,-1.3121569079334208,-1.3209633865105463,-1.320362604487744,-1.3245701749054688,-1.3200848742785367,-1.322190564355362,-1.326176678846648,-1.3371122209911077,-1.3375961991439174,-1.3359668171564585,-1.3383221864084796,-1.340785532307564,1
-1.2907748361141236,-1.3294333907371727,-1.3245625017059324,-1.3218293967089305,-1.3259419906774341,-1.3277019093632223,-1.3278197935798983,-1.309323657850798,-1.3181148149536783,-1.3174806111737714,-1.3214939334633475,-1.3170682375301175,-1.319276605248467,-1.3232188550597974,-1.3341420065292269,-1.3346203220201842,-1.3330720250645787,-1.3353573063939395,-1.3378024100632786,-1.3413765713910035,1
-1.3267992894023528,-1.3219202045119947,-1.3192424267567728,-1.3233782594843837,-1.3249984717615804,-1.3249911906164638,-1.3065106627696013,-1.315275444470774,-1.3146356431712112,-1.3186107647770302,-1.3140002791595973,-1.3162608541354608,-1.3203037804741806,-1.3311754651006753,-1.331652841628421,-1.330101115411899,-1.3324631642539013,-1.3348380935221642,-1.3383928081945122,-1.3411277128295553,1
-1.3192932706945917,-1.3166051872895286,-1.3207898323686171,-1.3224355943481563,-1.322290377646166,-1.303703829934056,-1.3124563592605782,-1.3117998467494467,-1.315764627428333,-1.3111248958603956,-1.3131937872165926,-1.31728690386617,-1.3282517592698653,-1.328689024462901,-1.3271385934184847,-1.3294929231206905,-1.3319445050448058,-1.335427851621083,-1.338144219507677,-1.3269823659617834,1
-1.313983323954524,-1.3181511218027993,-1.3198480540877997,-1.3197299507565654,-1.3010236282773255,-1.3096434521006433,-1.3089843179232115,-1.3129276712309055,-1.308286503982644,-1.3103192418065874,-1.3142187040608275,-1.325226173913627,-1.3257680158962137,-1.3241797168655816,-1.3265310684257459,-1.3289748333911424,-1.3325336342551373,-1.335179532421538,-1.3240142125582481,-1.3217167450365952,1
