0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,transaction
-1.169124874915706,-1.1697749564945248,-1.1662612235121907,-1.1621720658326649,-1.167327179924492,-1.1688081341572987,-1.1716936064112984,-1.1715660127883385,-1.1728232122842812,-1.1734199660746762,-1.1778985242676776,-1.178779057571275,-1.1805525445389997,-1.1824355530542527,-1.1830128480476747,-1.1854679265096872,-1.1845380308372746,-1.1862663269229896,-1.1871264818421123,-1.187872979047658,-1.1881693876024566,-1.190297620400452,-1.1912253148007748,-1.1933184375515395,-1.1949263881217007,-1.1962244105967068,-1.197840191701358,-1.1991889465692738,-1.2009220367721973,-1.2020734373428381,1
-1.168358263745635,-1.164843708163685,-1.1607055780641193,-1.1658294102869156,-1.167327179924492,-1.170199701876009,-1.17015457100683,-1.1714193479349788,-1.1720160624219922,-1.1764669852888479,-1.1773842501603569,-1.1791098638112543,-1.1809938957865662,-1.181515495426489,-1.183970326461951,-1.1830358338844664,-1.1847961474681425,-1.1856390728720778,-1.1863880609144248,-1.1867276906737647,-1.1889457153462808,-1.1898537405672367,-1.1919285482508304,-1.1935406466214658,-1.194852273369025,-1.1964098093321085,-1.1977659858516543,-1.199485954803082,-1.2005876928094528,-1.2014786642158768,0
-1.1634300490808915,-1.1592914878208138,-1.1643606079641664,-1.1658294102869156,-1.1687178614789477,-1.1686616533448027,-1.1700079962064045,-1.1706126912415002,-1.175061218720628,-1.1759530302406744,-1.1777148549436347,-1.1795509387978929,-1.1800744140208026,-1.1824723553593632,-1.181539804333403,-1.1832937831022927,-1.1841692927931773,-1.1849011269298282,-1.1852435084765096,-1.1875035311851119,-1.188502099492667,-1.1905565503031612,-1.1921506219719007,-1.1934665769314905,-1.195037560250714,-1.1963356498379478,-1.1980628092504684,-1.1991518205400475,-1.1999933035423511,-1.2014786642158768,1
-1.157881244421329,-1.1629442643621766,-1.1643606079641664,-1.1672192011795308,-1.167180792392444,-1.168515172532307,-1.1692018348040638,-1.1736559869487144,-1.1745475778991714,-1.1762834299145004,-1.1781556613213382,-1.1786320325757291,-1.1810306750571968,-1.1800434032220668,-1.1817975869834005,-1.1826673350018573,-1.1834318167049827,-1.1837573107193418,-1.1860188504505813,-1.1870601937500564,-1.1892044912608888,-1.1907784902197691,-1.1920765973982106,-1.1936517511564286,-1.1949634454980385,-1.196632287814591,-1.1977288829268027,-1.1985578040724307,-1.1999933035423511,-1.2011441043319613,1
-1.1615317738026203,-1.1629442643621766,-1.1657495193261842,-1.1656831165087456,-1.167034404860396,-1.1677095280635799,-1.1722432619128942,-1.1731426599619554,-1.1748777755701079,-1.176723962812935,-1.1772373147011226,-1.1795876950467794,-1.1786032431955804,-1.1803010193578405,-1.1811715434048353,-1.1819303372366388,-1.182288728768281,-1.1845321539587037,-1.185575797893969,-1.1877621446888942,-1.1894262991876958,-1.1907045102475664,-1.1922616588324355,-1.1935776814664534,-1.195259904508741,-1.1962985700908675,-1.1971352361291743,-1.1985578040724307,-1.1996589595796066,-1.200066078039344,1
-1.1615317738026203,-1.1643323194478943,-1.1642144067681643,-1.1655368227305756,-1.166229273434132,-1.1707490049228684,-1.1717302501114046,-1.173472655882015,-1.1753180391313565,-1.1758061859411963,-1.1781923951861468,-1.177161782620267,-1.1788606980899943,-1.1796753801709614,-1.1804350215476993,-1.1807879907005503,-1.1830630786608853,-1.1840893863933541,-1.186277297775272,-1.187983813406422,-1.1893523632120935,-1.1908894601780728,-1.1921876342587456,-1.1938739602263548,-1.1949263881217007,-1.1957052941375812,-1.1971352361291743,-1.1982236698093962,-1.1985816290329852,-1.1988765317854215,0
-1.1629189749675108,-1.162798153300522,-1.1640682055721627,-1.1647322069506403,-1.1692668147241276,-1.170236322079133,-1.1720600434123623,-1.173912650442094,-1.1744008233787553,-1.1767606738878045,-1.1757679601087776,-1.1774190763624728,-1.178235450489275,-1.1789393340687502,-1.179293412669139,-1.1815618383540296,-1.1826205930079687,-1.184790435038491,-1.186498824053578,-1.1879099238339128,-1.1895372031510991,-1.1908154802058704,-1.1924837325535058,-1.1935406466214658,-1.1943334701002954,-1.1957052941375812,-1.1968013098055084,-1.1971470149618406,-1.197392850498782,-1.199173918348902,1
-1.1613857526273685,-1.1626520422388675,-1.1632640989941523,-1.1677678028476683,-1.1687544583619598,-1.170565903907249,-1.172499767813639,-1.1729959951085958,-1.1753547277614607,-1.1743377429464146,-1.176025097162438,-1.1767942201314014,-1.1774998650766637,-1.177798462610323,-1.1800667606191315,-1.1811196396948986,-1.1833211952917535,-1.1850118188211658,-1.1864249819608095,-1.1880946477651857,-1.1894632671754968,-1.1911114000946805,-1.1921506219719007,-1.1929480891016626,-1.1943334701002954,-1.1953715764138577,-1.195725324984807,-1.195958982026607,-1.197690045132333,-1.1990252250671618,1
-1.161239731452117,-1.1618484313997677,-1.1662977738111913,-1.1672557746240733,-1.1690838303090678,-1.1710053463447363,-1.1715836753109794,-1.173949316655434,-1.1729332781745934,-1.1745947204705014,-1.1754006214606916,-1.1760590951536702,-1.1763597076871168,-1.1785713110176448,-1.17962484750485,-1.1818197875718561,-1.1835424381182118,-1.184938024226941,-1.1866095871927311,-1.1880207581926765,-1.189759011077906,-1.1907784902197691,-1.1915584253823799,-1.1929480891016626,-1.193999953713255,-1.1942962637485264,-1.1945380313895504,-1.1962559902604153,-1.1975414478155575,-1.1985419719015058,0
-1.1604366149882328,-1.1648802359290986,-1.1657860696251847,-1.1675849356249561,-1.1695229929052118,-1.1700898412666374,-1.1725364115137453,-1.1715293465749985,-1.1731900985853216,-1.1739706321977195,-1.1746659441645189,-1.1749196514381872,-1.1771320723703584,-1.1781296833563182,-1.1803245432691292,-1.1820408869014216,-1.1834686905093925,-1.185122510712503,-1.1865357450999625,-1.1883163164827135,-1.1894262991876958,-1.190186650442148,-1.1915584253823799,-1.1926147754967735,-1.192925289799458,-1.1931097118419538,-1.1948348547883645,-1.1961074861435113,-1.1970585065360377,-1.1988765317854215,0
