price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,transaction
0.6317239670694268,0.6652036064267516,0.8995610819280254,0.9330407212853504,0.8772413223564756,0.8921211620708421,1.0,0.6577636865695683,0.5238451291402689,0.47548565006857757,0.46804573021139423,0.5015253695687191,0.49408544971153573,0.43456609085406944,0.36760681213941965,0.1816088157098372,0.22996829478152866,0.3378471327106865,0.31924733306772823,0.3304072128535032,0.25600801428167014,0.24856809442448694,0.24112817456730362,0.24856809442448694,0.22996829478152866,0.1964886554242038,0.1964886554242038,0.2634479341388535,0.2336882547101203,0.16672897599547057,0.17416889585265388,0.10071084714275456,0.07178964668192597,0.08639383736558395,0.046091791499221976,0.0,0.031468629019928224,0.011939583386807763,0.042208153333772334,0.09769693560860968,1
0.6652036064267516,0.8995610819280254,0.9330407212853504,0.8772413223564756,0.8921211620708421,1.0,0.6577636865695683,0.5238451291402689,0.47548565006857757,0.46804573021139423,0.5015253695687191,0.49408544971153573,0.43456609085406944,0.36760681213941965,0.1816088157098372,0.22996829478152866,0.3378471327106865,0.31924733306772823,0.3304072128535032,0.25600801428167014,0.24856809442448694,0.24112817456730362,0.24856809442448694,0.22996829478152866,0.1964886554242038,0.1964886554242038,0.2634479341388535,0.2336882547101203,0.16672897599547057,0.17416889585265388,0.10071084714275456,0.07178964668192597,0.08639383736558395,0.046091791499221976,0.0,0.031468629019928224,0.011939583386807763,0.042208153333772334,0.09769693560860968,0.1406892564953291,0
0.8995610819280254,0.9330407212853504,0.8772413223564756,0.8921211620708421,1.0,0.6577636865695683,0.5238451291402689,0.47548565006857757,0.46804573021139423,0.5015253695687191,0.49408544971153573,0.43456609085406944,0.36760681213941965,0.1816088157098372,0.22996829478152866,0.3378471327106865,0.31924733306772823,0.3304072128535032,0.25600801428167014,0.24856809442448694,0.24112817456730362,0.24856809442448694,0.22996829478152866,0.1964886554242038,0.1964886554242038,0.2634479341388535,0.2336882547101203,0.16672897599547057,0.17416889585265388,0.10071084714275456,0.07178964668192597,0.08639383736558395,0.046091791499221976,0.0,0.031468629019928224,0.011939583386807763,0.042208153333772334,0.09769693560860968,0.1406892564953291,0.11464953699518751,1
0.9330407212853504,0.8772413223564756,0.8921211620708421,1.0,0.6577636865695683,0.5238451291402689,0.47548565006857757,0.46804573021139423,0.5015253695687191,0.49408544971153573,0.43456609085406944,0.36760681213941965,0.1816088157098372,0.22996829478152866,0.3378471327106865,0.31924733306772823,0.3304072128535032,0.25600801428167014,0.24856809442448694,0.24112817456730362,0.24856809442448694,0.22996829478152866,0.1964886554242038,0.1964886554242038,0.2634479341388535,0.2336882547101203,0.16672897599547057,0.17416889585265388,0.10071084714275456,0.07178964668192597,0.08639383736558395,0.046091791499221976,0.0,0.031468629019928224,0.011939583386807763,0.042208153333772334,0.09769693560860968,0.1406892564953291,0.11464953699518751,0.14440921642392074,1
0.8772413223564756,0.8921211620708421,1.0,0.6577636865695683,0.5238451291402689,0.47548565006857757,0.46804573021139423,0.5015253695687191,0.49408544971153573,0.43456609085406944,0.36760681213941965,0.1816088157098372,0.22996829478152866,0.3378471327106865,0.31924733306772823,0.3304072128535032,0.25600801428167014,0.24856809442448694,0.24112817456730362,0.24856809442448694,0.22996829478152866,0.1964886554242038,0.1964886554242038,0.2634479341388535,0.2336882547101203,0.16672897599547057,0.17416889585265388,0.10071084714275456,0.07178964668192597,0.08639383736558395,0.046091791499221976,0.0,0.031468629019928224,0.011939583386807763,0.042208153333772334,0.09769693560860968,0.1406892564953291,0.11464953699518751,0.14440921642392074,0.12580941678096247,1
0.8921211620708421,1.0,0.6577636865695683,0.5238451291402689,0.47548565006857757,0.46804573021139423,0.5015253695687191,0.49408544971153573,0.43456609085406944,0.36760681213941965,0.1816088157098372,0.22996829478152866,0.3378471327106865,0.31924733306772823,0.3304072128535032,0.25600801428167014,0.24856809442448694,0.24112817456730362,0.24856809442448694,0.22996829478152866,0.1964886554242038,0.1964886554242038,0.2634479341388535,0.2336882547101203,0.16672897599547057,0.17416889585265388,0.10071084714275456,0.07178964668192597,0.08639383736558395,0.046091791499221976,0.0,0.031468629019928224,0.011939583386807763,0.042208153333772334,0.09769693560860968,0.1406892564953291,0.11464953699518751,0.14440921642392074,0.12580941678096247,0.16672897599547057,1
1.0,0.6577636865695683,0.5238451291402689,0.47548565006857757,0.46804573021139423,0.5015253695687191,0.49408544971153573,0.43456609085406944,0.36760681213941965,0.1816088157098372,0.22996829478152866,0.3378471327106865,0.31924733306772823,0.3304072128535032,0.25600801428167014,0.24856809442448694,0.24112817456730362,0.24856809442448694,0.22996829478152866,0.1964886554242038,0.1964886554242038,0.2634479341388535,0.2336882547101203,0.16672897599547057,0.17416889585265388,0.10071084714275456,0.07178964668192597,0.08639383736558395,0.046091791499221976,0.0,0.031468629019928224,0.011939583386807763,0.042208153333772334,0.09769693560860968,0.1406892564953291,0.11464953699518751,0.14440921642392074,0.12580941678096247,0.16672897599547057,0.1704489359240622,1
1.0,0.7964032369623137,0.7228821836431493,0.7115712523632778,0.7624704431226993,0.7511595118428278,0.6606720616038563,0.558873680085013,0.2761003980882264,0.349621451407391,0.5136299549655272,0.48535262676584856,0.5023190236856557,0.389209710886941,0.3778987796070697,0.3665878483271982,0.3778987796070697,0.349621451407391,0.29872226064796936,0.29872226064796936,0.4005206421668125,0.3552769170473267,0.2534785355284835,0.2647894668083549,0.15311098681654403,0.10914200365229976,0.13134479620812348,0.07007348146505969,0.0,0.04784184603447236,0.018151782517937733,0.06416917533696685,0.1485289285550682,0.21389027604893343,0.17430201656938327,0.21954574168886917,0.1912684134891905,0.2534785355284835,0.25913400116841917,0.2534785355284835,1
1.0,0.9076836332313356,0.8934811152669258,0.9573924461067702,0.9431899281423604,0.8295697844270813,0.7017471227473918,0.3466841736371441,0.4390005404058086,0.6449370508897523,0.6094307559787275,0.6307345329253424,0.4887093532812432,0.4745068353168334,0.4603043173524235,0.4745068353168334,0.4390005404058086,0.375089209565964,0.375089209565964,0.5029118712456531,0.4461017993880136,0.3182791377083243,0.3324816556727342,0.19225309455113293,0.13704364646808237,0.16492247910632085,0.08798743929311229,0.0,0.06007239023406464,0.02279220082928503,0.08057372491569038,0.18649965452375059,0.26857032483288973,0.21886151195745498,0.27567158381509466,0.24016528890406985,0.3182791377083243,0.32538039669052926,0.3182791377083243,0.36088669160155407,0
0.9480789585529162,0.9332443752823207,1.0,0.9851654167294046,0.8664887505646416,0.7329775011292826,0.36211291936439743,0.4585377106232677,0.6736391680469012,0.6365527098704126,0.6588045847763058,0.5104587520703515,0.49562416879975624,0.48078958552916085,0.49562416879975624,0.4585377106232677,0.3917820859055883,0.3917820859055883,0.5252933353409469,0.4659550022585654,0.3324437528232066,0.34727833609380204,0.20080907817157823,0.1431426026237928,0.1722621478548081,0.09190321027799268,0.0,0.06274583685963744,0.02380653923265152,0.08415955781074196,0.19479958848866016,0.2805227113761228,0.22860166992903883,0.28794000301142053,0.25085354483493194,0.3324437528232066,0.3398610444585043,0.3324437528232066,0.3769475026349929,0.31760916955261137,0
