Date	Open	High	Low	Close	Volume	Market Cap
Dec 22, 2019	1.01	1.01	0.999044	1.00	26,913,344,236	4,124,011,171
Dec 21, 2019	1.01	1.01	0.987017	1.01	22,141,256,341	4,131,700,084
Dec 20, 2019	1.01	1.01	0.997677	1.01	27,492,020,303	4,132,042,361
Dec 19, 2019	1.01	1.02	0.992406	1.01	30,032,554,753	4,143,245,799
Dec 18, 2019	0.998285	1.03	0.991518	1.01	36,156,312,247	4,133,220,482
Dec 17, 2019	1.00	1.02	0.992619	0.993339	28,074,801,122	4,080,682,163
Dec 16, 2019	1.00	1.02	0.993509	1.00	23,894,286,942	4,124,418,769
Dec 15, 2019	1.01	1.02	0.983907	1.00	19,575,469,230	4,127,007,370
Dec 14, 2019	1.00	1.01	0.997095	1.01	19,018,920,700	4,133,054,794
Dec 13, 2019	1.01	1.01	0.996657	1.00	19,588,662,449	4,115,239,097
Dec 12, 2019	1.01	1.01	0.999792	1.01	21,128,996,533	4,132,023,198
Dec 11, 2019	1.01	1.04	0.979262	1.01	19,625,934,979	4,157,024,797
Dec 10, 2019	1.00	1.01	0.999571	1.01	19,145,357,481	4,132,097,335
Dec 09, 2019	1.01	1.01	0.997568	1.00	19,283,208,376	4,125,515,159
Dec 08, 2019	1.01	1.01	1.00	1.01	16,556,799,286	4,134,238,975
Dec 07, 2019	1.00	1.01	1.00	1.01	16,402,700,924	4,138,492,576
Dec 06, 2019	1.01	1.02	0.997518	1.00	19,022,188,750	4,122,124,904
Dec 05, 2019	1.01	1.02	0.997193	1.01	21,171,449,599	4,149,419,251
Dec 04, 2019	1.00	1.02	0.981153	1.01	24,761,899,935	4,140,656,482
Dec 03, 2019	1.00	1.01	0.991071	1.00	16,691,088,420	4,120,924,295
Dec 02, 2019	1.00	1.02	0.991988	1.00	19,093,390,526	4,114,951,368
Dec 01, 2019	1.00	1.02	0.995080	1.00	21,027,847,332	4,118,235,661
Nov 30, 2019	1.00	1.02	0.998375	1.00	19,145,198,648	4,115,041,871
Nov 29, 2019	1.00	1.01	0.992586	1.00	22,304,763,156	4,126,616,332
Nov 28, 2019	1.00	1.02	1.00	1.00	21,502,793,846	4,124,805,294
Nov 27, 2019	1.00	1.03	0.981392	1.01	27,416,693,309	4,128,694,013
Nov 26, 2019	1.00	1.02	0.995267	1.01	23,545,460,689	4,148,191,320
Nov 25, 2019	1.01	1.02	0.993995	1.00	33,648,447,519	4,120,837,393
